Set,Reference,pval,odds.ratio,intersection,union,FDR_AdjP,Jaccard,Bonf_AdjP,BH_AdjP,name_full,group,OR.ci95.down,OR.ci95.up,gwas,model_ID,qvalue,star,pathway,Pvalue,FDR,neg_log10p
IN,Modulation.of.chemical.synaptic.transmission (Re),0.0160240170254189,5.97681836729375,3,197,1,0.0152284263959391,1,1,AD,syngoAll,1.85869747898292,19.2190274100803,AD__IN_no_meta_analysis,IN_no_meta_analysis,1,"",IN_no_meta_analysis,0.0160240170254189,1,1.79522860227904
IN,Structural.constituent.of.postsynaptic.density (Re),0.0658237192144309,16.3805827349829,1,131,1,0.00763358778625954,1,1,AD,syngoAll,2.05927514124882,130.299970782388,AD__IN_no_meta_analysis,IN_no_meta_analysis,1,"",IN_no_meta_analysis,0.0658237192144309,1,
IN,Chemical.synaptic.transmission (Re),0.0664660491999289,3.33462821040992,3,256,1,0.01171875,1,1,AD,syngoAll,1.04711942798448,10.6193668119264,AD__IN_no_meta_analysis,IN_no_meta_analysis,1,"",IN_no_meta_analysis,0.0664660491999289,1,1.17740013530234
IN,Maintenance.of.synapse.structure (Re),0.0909333032723835,11.3403238425384,1,135,1,0.00740740740740741,1,1,AD,syngoAll,1.47187099839115,87.3737881881059,AD__IN_no_meta_analysis,IN_no_meta_analysis,1,"",IN_no_meta_analysis,0.0909333032723835,1,
IN,Regulation.of.synaptic.vesicle.cycle (Re),0.0909333032723835,11.3403238425384,1,135,1,0.00740740740740741,1,1,AD,syngoAll,1.47187099839115,87.3737881881059,AD__IN_no_meta_analysis,IN_no_meta_analysis,1,"",IN_no_meta_analysis,0.0909333032723835,1,
IN,Trans.synaptic.signaling (Re),0.0952329789691323,2.84246718350194,3,279,1,0.010752688172043,1,1,AD,syngoAll,0.894194842385749,9.03563664908723,AD__IN_no_meta_analysis,IN_no_meta_analysis,1,"",IN_no_meta_analysis,0.0952329789691323,1,1.02121263035411
IN,Synaptic.membrane (Re),0.0971053850243534,10.5275655478096,1,136,1,0.00735294117647059,1,1,AD,syngoAll,1.37347222390063,80.6930307252034,AD__IN_no_meta_analysis,IN_no_meta_analysis,1,"",IN_no_meta_analysis,0.0971053850243534,1,
IN,Synaptic.signaling (Re),0.0979426984686142,2.80640478767947,3,281,1,0.0106761565836299,1,1,AD,syngoAll,0.882967670672623,8.91981450046814,AD__IN_no_meta_analysis,IN_no_meta_analysis,1,"",IN_no_meta_analysis,0.0979426984686142,1,1.00902793468696
IN,Structural.constituent.of.postsynapse (Re),0.139161583070349,7.01713598725122,1,143,1,0.00699300699300699,1,1,AD,syngoAll,0.936393320553531,52.5849516253156,AD__IN_no_meta_analysis,IN_no_meta_analysis,1,"",IN_no_meta_analysis,0.139161583070349,1,
IN,Synaptic.vesicle (Re),0.157079961997696,2.9014387723859,2,224,1,0.00892857142857143,1,1,AD,syngoAll,0.707716104651804,11.8950902693475,AD__IN_no_meta_analysis,IN_no_meta_analysis,1,"",IN_no_meta_analysis,0.157079961997696,1,0.803879212470329
