Set,Reference,pval,odds.ratio,intersection,union,FDR_AdjP,Jaccard,Bonf_AdjP,BH_AdjP,name_full,group,OR.ci95.down,OR.ci95.up,gwas,model_ID,qvalue,star,pathway,Pvalue,FDR,neg_log10p
Endo,Protein.translation.at.presynapse (Re),0.110827073067701,8.8717758463778,1,91,1,0.010989010989011,1,1,BD,syngoAll,1.19667762628319,65.7724394103001,BD__Endo_no_meta_analysis,Endo_no_meta_analysis,1,"",Endo_no_meta_analysis,0.110827073067701,1,
Endo,Presynaptic.ribosome (Re),0.11295902555225,8.68995420074324,1,92,1,0.0108695652173913,1,1,BD,syngoAll,1.17263042360307,64.3982131889295,BD__Endo_no_meta_analysis,Endo_no_meta_analysis,1,"",Endo_no_meta_analysis,0.11295902555225,1,
Endo,Protein.translation.at.synapse (Re),0.121437018113393,8.03054851323259,1,96,1,0.0104166666666667,1,1,BD,syngoAll,1.08525202208997,59.4237173584696,BD__Endo_no_meta_analysis,Endo_no_meta_analysis,1,"",Endo_no_meta_analysis,0.121437018113393,1,
Endo,Protein.translation.at.postsynapse (Re),0.121437018113393,8.03054851323259,1,96,1,0.0104166666666667,1,1,BD,syngoAll,1.08525202208997,59.4237173584696,BD__Endo_no_meta_analysis,Endo_no_meta_analysis,1,"",Endo_no_meta_analysis,0.121437018113393,1,
Endo,Postsynaptic.ribosome (Re),0.15049130751469,6.34952976413612,1,110,1,0.00909090909090909,1,1,BD,syngoAll,0.861334286828043,46.8070629977131,BD__Endo_no_meta_analysis,Endo_no_meta_analysis,1,"",Endo_no_meta_analysis,0.15049130751469,1,
Endo,Integral.component.of.postsynaptic.density.membrane (Re),0.172659291559585,5.45178270222987,1,121,1,0.00826446280991736,1,1,BD,syngoAll,0.741051006859965,40.1078122250623,BD__Endo_no_meta_analysis,Endo_no_meta_analysis,1,"",Endo_no_meta_analysis,0.172659291559585,1,
Endo,Metabolism (Re),0.192321024696832,4.82873198354708,1,131,1,0.00763358778625954,1,1,BD,syngoAll,0.657282175676183,35.4743418151319,BD__Endo_no_meta_analysis,Endo_no_meta_analysis,1,"",Endo_no_meta_analysis,0.192321024696832,1,
Endo,Postsynaptic.density.membrane (Re),0.205811912092648,4.47206093459924,1,138,1,0.0072463768115942,1,1,BD,syngoAll,0.6092236905019,32.8275628715169,BD__Endo_no_meta_analysis,Endo_no_meta_analysis,1,"",Endo_no_meta_analysis,0.205811912092648,1,
Endo,Synapse (Re),0.379325641825585,1.39064204324611,3,961,1,0.00312174817898023,1,1,BD,syngoAll,0.429391102355891,4.50378520149416,BD__Endo_no_meta_analysis,Endo_no_meta_analysis,1,"",Endo_no_meta_analysis,0.379325641825585,1,0.420987798670905
Endo,Postsynapse (Re),0.387237147471229,1.52510525089999,2,599,1,0.00333889816360601,1,1,BD,syngoAll,0.367961784385419,6.32116193861704,BD__Endo_no_meta_analysis,Endo_no_meta_analysis,1,"",Endo_no_meta_analysis,0.387237147471229,1,0.41202298770679
