Set,Reference,pval,odds.ratio,intersection,union,FDR_AdjP,Jaccard,Bonf_AdjP,BH_AdjP,name_full,group,OR.ci95.down,OR.ci95.up,gwas,model_ID,qvalue,star,pathway,Pvalue,FDR,neg_log10p
IN,Regulation.of.presynaptic.cytosolic.calcium.levels (Re),0.0135477454580215,12.2765376825862,2,147,1,0.0136054421768707,1,1,BD,syngoAll,2.86948322251742,52.5228292987673,BD__IN_no_meta_analysis,IN_no_meta_analysis,1,"",IN_no_meta_analysis,0.0135477454580215,1,1.86813297169785
IN,Chemical.synaptic.transmission (Re),0.0677633415931626,3.30665446480514,3,257,1,0.0116731517509728,1,1,BD,syngoAll,1.03845586889454,10.5290596135349,BD__IN_no_meta_analysis,IN_no_meta_analysis,1,"",IN_no_meta_analysis,0.0677633415931626,1,1.16900518591689
IN,Calcium.dependent.activation.of.synaptic.vesicle.fusion (Re),0.0790824670123622,13.2881963549372,1,134,1,0.00746268656716418,1,1,BD,syngoAll,1.70232357916537,103.726556177961,BD__IN_no_meta_analysis,IN_no_meta_analysis,1,"",IN_no_meta_analysis,0.0790824670123622,1,
IN,Trans.synaptic.signaling (Re),0.0970079194767777,2.81862659365947,3,280,1,0.0107142857142857,1,1,BD,syngoAll,0.886798108589733,8.95881012547346,BD__IN_no_meta_analysis,IN_no_meta_analysis,1,"",IN_no_meta_analysis,0.0970079194767777,1,1.01319280960315
IN,Modulation.of.chemical.synaptic.transmission (Re),0.0997023354255197,3.86718837904171,2,199,1,0.0100502512562814,1,1,BD,syngoAll,0.939078342479149,15.9253443323098,BD__IN_no_meta_analysis,IN_no_meta_analysis,1,"",IN_no_meta_analysis,0.0997023354255197,1,1.0012946686639
IN,Synaptic.signaling (Re),0.0997607343050525,2.78286678568987,3,282,1,0.0106382978723404,1,1,BD,syngoAll,0.875663857625033,8.8439730376677,BD__IN_no_meta_analysis,IN_no_meta_analysis,1,"",IN_no_meta_analysis,0.0997607343050525,1,1.00104036282283
IN,Presynaptic.active.zone.cytoplasmic.component (Re),0.116264865962446,8.60057035406613,1,140,1,0.00714285714285714,1,1,BD,syngoAll,1.13559935130147,65.1372425763247,BD__IN_no_meta_analysis,IN_no_meta_analysis,1,"",IN_no_meta_analysis,0.116264865962446,1,
IN,Integral.component.of.postsynaptic.membrane (Re),0.124011993880167,3.37619930827043,2,210,1,0.00952380952380952,1,1,BD,syngoAll,0.821704841622752,13.8720391943351,BD__IN_no_meta_analysis,IN_no_meta_analysis,1,"",IN_no_meta_analysis,0.124011993880167,1,0.906536309804898
IN,Process.in.the.synapse (Re),0.143650194249002,1.6003050692962,8,867,1,0.00922722029988466,1,1,BD,syngoAll,0.778631427806495,3.28907391014222,BD__IN_no_meta_analysis,IN_no_meta_analysis,1,"",IN_no_meta_analysis,0.143650194249002,1,0.842693782402889
IN,Postsynaptic.membrane (Re),0.159105688263411,2.87730359622135,2,225,1,0.00888888888888889,1,1,BD,syngoAll,0.70189488121906,11.7950368443341,BD__IN_no_meta_analysis,IN_no_meta_analysis,1,"",IN_no_meta_analysis,0.159105688263411,1,0.798314293406526
