Set,Reference,pval,odds.ratio,intersection,union,FDR_AdjP,Jaccard,Bonf_AdjP,BH_AdjP,name_full,group,OR.ci95.down,OR.ci95.up,gwas,model_ID,qvalue,star,pathway,Pvalue,FDR,neg_log10p
OPC,Presynapse (Re),0.00157452790719096,3.30751063410671,10,574,0.0825892967918445,0.0174216027874564,0.16375090234786,0.0825892967918445,BD,syngoAll,1.72263286681993,6.35052703651481,BD__OPC_no_meta_analysis,OPC_no_meta_analysis,0.0825892967918444,"",OPC_no_meta_analysis,0.00157452790719096,0.0825892967918445,2.80284963745257
OPC,Postsynapse.to.nucleus.signaling.pathway (Re),0.00565100839929705,20.2109206974507,2,142,0.0825892967918445,0.0140845070422535,0.587704873526893,0.0825892967918445,BD,syngoAll,4.54613142817863,89.8525090820563,BD__OPC_no_meta_analysis,OPC_no_meta_analysis,0.0825892967918444,"",OPC_no_meta_analysis,0.00565100839929705,0.0825892967918445,2.24787404719411
OPC,Trans.synaptic.signaling (Re),0.00576209630873557,4.64096176838549,5,283,0.0825892967918445,0.0176678445229682,0.5992580161085,0.0825892967918445,BD,syngoAll,1.87174663147375,11.5071803915346,BD__OPC_no_meta_analysis,OPC_no_meta_analysis,0.0825892967918444,"",OPC_no_meta_analysis,0.00576209630873557,0.0825892967918445,2.23941948711724
OPC,Synapse (Re),0.00593028122748614,2.29463527770371,14,1035,0.0825892967918445,0.0135265700483092,0.616749247658559,0.0825892967918445,BD,syngoAll,1.31193465028723,4.01342479713423,BD__OPC_no_meta_analysis,OPC_no_meta_analysis,0.0825892967918444,"",OPC_no_meta_analysis,0.00593028122748614,0.0825892967918445,2.22692471091072
OPC,Synaptic.signaling (Re),0.00606785275394794,4.5808851710319,5,285,0.0825892967918445,0.0175438596491228,0.631056686410586,0.0825892967918445,BD,syngoAll,1.84783835658723,11.3562470848025,BD__OPC_no_meta_analysis,OPC_no_meta_analysis,0.0825892967918444,"",OPC_no_meta_analysis,0.00606785275394794,0.0825892967918445,2.2169649666005
OPC,Postsynaptic.membrane (Re),0.00651056344838662,5.72592526169436,4,228,0.0825892967918445,0.0175438596491228,0.677098598632209,0.0825892967918445,BD,syngoAll,2.07530594651075,15.7982586411578,BD__OPC_no_meta_analysis,OPC_no_meta_analysis,0.0825892967918444,"",OPC_no_meta_analysis,0.00651056344838662,0.0825892967918445,2.18638142434485
OPC,Postsynaptic.signaling.pathway (Re),0.00713840879185905,17.6814114732404,2,144,0.0825892967918445,0.0138888888888889,0.742394514353342,0.0825892967918445,BD,syngoAll,4.02331869254363,77.7050826884374,BD__OPC_no_meta_analysis,OPC_no_meta_analysis,0.0825892967918444,"",OPC_no_meta_analysis,0.00713840879185905,0.0825892967918445,2.1463985851328
OPC,Process.in.the.synapse (Re),0.00741028721857922,2.39240961329384,12,868,0.0825892967918445,0.0138248847926267,0.770669870732238,0.0825892967918445,BD,syngoAll,1.31444357887222,4.35440809311234,BD__OPC_no_meta_analysis,OPC_no_meta_analysis,0.0825892967918444,"",OPC_no_meta_analysis,0.00741028721857922,0.0825892967918445,2.13016495868374
OPC,Integral.component.of.presynaptic.membrane (Re),0.00766655030600982,5.45252279240583,4,233,0.0825892967918445,0.0171673819742489,0.797321231825021,0.0825892967918445,BD,syngoAll,1.97799646223959,15.0303629805502,BD__OPC_no_meta_analysis,OPC_no_meta_analysis,0.0825892967918444,"",OPC_no_meta_analysis,0.00766655030600982,0.0825892967918445,2.11540001024659
OPC,Pathway (Re),0.00794127853767735,16.6426745909015,2,145,0.0825892967918445,0.0137931034482759,0.825892967918445,0.0825892967918445,BD,syngoAll,3.80509604041886,72.7914918825938,BD__OPC_no_meta_analysis,OPC_no_meta_analysis,0.0825892967918444,"",OPC_no_meta_analysis,0.00794127853767735,0.0825892967918445,2.10010957097876
