Set,Reference,pval,odds.ratio,intersection,union,FDR_AdjP,Jaccard,Bonf_AdjP,BH_AdjP,name_full,group,OR.ci95.down,OR.ci95.up,gwas,model_ID,qvalue,star,pathway,Pvalue,FDR,neg_log10p
Astro,Synaptic.vesicle (Re),0.000948788649342211,7.17199027856636,5,229,0.09867401953159,0.0218340611353712,0.09867401953159,0.09867401953159,SCZ,syngoAll,2.87117056652052,17.915147625028,SCZ__Astro_no_meta_analysis,Astro_no_meta_analysis,0.0986740195315899,"",Astro_no_meta_analysis,0.000948788649342211,0.09867401953159,3.02283051955057
Astro,Process.in.the.presynapse (Re),0.00579167589101322,3.913668475757,6,348,0.213094301767081,0.0172413793103448,0.602334292665374,0.213094301767081,SCZ,syngoAll,1.70635995105782,8.97630123623025,SCZ__Astro_no_meta_analysis,Astro_no_meta_analysis,0.213094301767081,"",Astro_no_meta_analysis,0.00579167589101322,0.213094301767081,2.23719574976031
Astro,Synaptic.vesicle.cycle (Re),0.00614695101251195,4.56695760122914,5,285,0.213094301767081,0.0175438596491228,0.639282905301243,0.213094301767081,SCZ,syngoAll,1.8424069467746,11.3205726714926,SCZ__Astro_no_meta_analysis,Astro_no_meta_analysis,0.213094301767081,"",Astro_no_meta_analysis,0.00614695101251195,0.213094301767081,2.21134024793015
Astro,Synaptic.vesicle.exocytosis (Re),0.0116383466844571,6.77580508245794,3,192,0.302597013795885,0.015625,1,0.302597013795885,SCZ,syngoAll,2.09934355059735,21.8694717700679,SCZ__Astro_no_meta_analysis,Astro_no_meta_analysis,0.302597013795885,"",Astro_no_meta_analysis,0.0116383466844571,0.302597013795885,1.93410871013417
Astro,Presynapse (Re),0.0178169631817293,2.54735988218007,8,578,0.328412096537158,0.013840830449827,1,0.328412096537158,SCZ,syngoAll,1.23814159733749,5.2409533637304,SCZ__Astro_no_meta_analysis,Astro_no_meta_analysis,0.328412096537158,"",Astro_no_meta_analysis,0.0178169631817293,0.328412096537158,1.74916631746014
Astro,Synaptic.vesicle.membrane (Re),0.0189468517232976,5.59794445248654,3,205,0.328412096537158,0.0146341463414634,1,0.328412096537158,SCZ,syngoAll,1.74239019045674,17.9850542460356,SCZ__Astro_no_meta_analysis,Astro_no_meta_analysis,0.328412096537158,"",Astro_no_meta_analysis,0.0189468517232976,0.328412096537158,1.72246294362673
Astro,Integral.component.of.presynaptic.active.zone.membrane (Re),0.0353946692078499,7.13588218778199,2,169,0.525863656802342,0.0118343195266272,1,0.525863656802342,SCZ,syngoAll,1.70491911574507,29.8669972831241,SCZ__Astro_no_meta_analysis,Astro_no_meta_analysis,0.525863656802341,"",Astro_no_meta_analysis,0.0353946692078499,0.525863656802342,1.45106214215352
Astro,Presynaptic.active.zone.membrane (Re),0.0543891305209191,5.56202265452483,2,180,0.707058696771949,0.0111111111111111,1,0.707058696771949,SCZ,syngoAll,1.33901227659857,23.1036686893065,SCZ__Astro_no_meta_analysis,Astro_no_meta_analysis,0.707058696771948,"",Astro_no_meta_analysis,0.0543891305209191,0.707058696771949,1.26448788387623
Astro,Presynaptic.endocytic.zone.membrane (Re),0.0834057741290535,12.5660625248355,1,141,0.837366706942724,0.00709219858156028,1,0.837366706942724,SCZ,syngoAll,1.61048196645309,98.048864046486,SCZ__Astro_no_meta_analysis,Astro_no_meta_analysis,0.837366706942724,"",Astro_no_meta_analysis,0.0834057741290535,0.837366706942724,
Astro,Synaptic.vesicle.priming (Re),0.0900363038360175,11.5188693140585,1,142,0.837366706942724,0.00704225352112676,1,0.837366706942724,SCZ,syngoAll,1.48678397431726,89.2425211505847,SCZ__Astro_no_meta_analysis,Astro_no_meta_analysis,0.837366706942724,"",Astro_no_meta_analysis,0.0900363038360175,0.837366706942724,
