Set,Reference,pval,odds.ratio,intersection,union,FDR_AdjP,Jaccard,Bonf_AdjP,BH_AdjP,name_full,group,OR.ci95.down,OR.ci95.up,gwas,model_ID,qvalue,star,pathway,Pvalue,FDR,neg_log10p
IN,Synapse (Re),4.75649771891862e-05,3.13121044190573,19,1035,0.00494675762767536,0.0183574879227053,0.00494675762767536,0.00494675762767536,SCZ,syngoAll,1.91772729364232,5.11255112445,SCZ__IN_no_meta_analysis,IN_no_meta_analysis,0.00494675762767536,*,IN_no_meta_analysis,4.75649771891862e-05,0.00494675762767536,4.32271270719249
IN,Process.in.the.synapse (Re),0.000139115332585417,3.17948416752315,16,869,0.00723399729444169,0.0184119677790564,0.0144679945888834,0.00723399729444169,SCZ,syngoAll,1.87592781039426,5.38886385473745,SCZ__IN_no_meta_analysis,IN_no_meta_analysis,0.00723399729444169,*,IN_no_meta_analysis,0.000139115332585417,0.00723399729444169,3.85662500163791
IN,Postsynapse (Re),0.000256209364385517,3.4393861379335,13,678,0.00888192463203125,0.0191740412979351,0.0266457738960938,0.00888192463203125,SCZ,syngoAll,1.92838145052173,6.13435531782815,SCZ__IN_no_meta_analysis,IN_no_meta_analysis,0.00888192463203126,*,IN_no_meta_analysis,0.000256209364385517,0.00888192463203125,3.59140500095108
IN,Postsynaptic.density.membrane (Re),0.00562183644032448,5.98351611586319,4,225,0.101106529249467,0.0177777777777778,0.584670989793746,0.101106529249467,SCZ,syngoAll,2.16638355677722,16.5263741024952,SCZ__IN_no_meta_analysis,IN_no_meta_analysis,0.101106529249467,"",IN_no_meta_analysis,0.00562183644032448,0.101106529249467,2.25012179375132
IN,Presynapse (Re),0.00684972763040487,2.82547816901392,9,580,0.101106529249467,0.0155172413793103,0.712371673562107,0.101106529249467,SCZ,syngoAll,1.42698962605224,5.59452342036998,SCZ__IN_no_meta_analysis,IN_no_meta_analysis,0.101106529249467,"",IN_no_meta_analysis,0.00684972763040487,0.101106529249467,2.16432669726144
IN,Postsynaptic.density (Re),0.0070221140323152,3.75102239637189,6,355,0.101106529249467,0.0169014084507042,0.730299859360781,0.101106529249467,SCZ,syngoAll,1.6364805537858,8.59782231174937,SCZ__IN_no_meta_analysis,IN_no_meta_analysis,0.101106529249467,"",IN_no_meta_analysis,0.0070221140323152,0.101106529249467,2.15353212229261
IN,Synaptic.signaling (Re),0.0071130674126453,4.40141273920025,5,290,0.101106529249467,0.0172413793103448,0.739759010915111,0.101106529249467,SCZ,syngoAll,1.77663645127203,10.9039945042915,SCZ__IN_no_meta_analysis,IN_no_meta_analysis,0.101106529249467,"",IN_no_meta_analysis,0.0071130674126453,0.101106529249467,2.14794307534529
IN,Process.in.the.postsynapse (Re),0.0080585116930542,4.26431588208288,5,295,0.101106529249467,0.0169491525423729,0.838085216077637,0.101106529249467,SCZ,syngoAll,1.7220138215427,10.5599558578998,SCZ__IN_no_meta_analysis,IN_no_meta_analysis,0.101106529249467,"",IN_no_meta_analysis,0.0080585116930542,0.101106529249467,2.09374515958175
IN,Integral.component.of.presynaptic.membrane (Re),0.00874960349274237,5.23981964015813,4,238,0.101106529249467,0.0168067226890756,0.909958763245207,0.101106529249467,SCZ,syngoAll,1.90196084993954,14.4354758207876,SCZ__IN_no_meta_analysis,IN_no_meta_analysis,0.101106529249467,"",IN_no_meta_analysis,0.00874960349274237,0.101106529249467,2.05801162752806
IN,Presynaptic.membrane (Re),0.0128409242841002,4.65863725683303,4,251,0.133545612554642,0.0159362549800797,1,0.133545612554642,SCZ,syngoAll,1.69437148264287,12.8088210366364,SCZ__IN_no_meta_analysis,IN_no_meta_analysis,0.133545612554642,"",IN_no_meta_analysis,0.0128409242841002,0.133545612554642,1.89140371481566
