Set,Reference,pval,odds.ratio,intersection,union,FDR_AdjP,Jaccard,Bonf_AdjP,BH_AdjP,name_full,group,OR.ci95.down,OR.ci95.up,gwas,model_ID,qvalue,star,pathway,Pvalue,FDR,neg_log10p
OPC,Presynapse.assembly (Re),0.00315780436193925,27.4336583184252,2,109,0.328411653641682,0.018348623853211,0.328411653641682,0.328411653641682,SCZ,syngoAll,6.14846872383738,122.405373197114,SCZ__OPC_no_meta_analysis,OPC_no_meta_analysis,0.328411653641682,"",OPC_no_meta_analysis,0.00315780436193925,0.328411653641682,2.50061477969888
OPC,Neurotransmitter.receptor.transport.to.plasma.membrane (Re),0.06160165218617,17.2745101268602,1,106,1,0.00943396226415094,1,1,SCZ,syngoAll,2.20796014357003,135.151307414681,SCZ__OPC_no_meta_analysis,OPC_no_meta_analysis,1,"",OPC_no_meta_analysis,0.06160165218617,1,
OPC,Synapse.assembly (Re),0.0654782682530181,4.97387126015223,2,172,1,0.0116279069767442,1,1,SCZ,syngoAll,1.20402863351178,20.5471818725865,SCZ__OPC_no_meta_analysis,OPC_no_meta_analysis,1,"",OPC_no_meta_analysis,0.0654782682530181,1,1.18390281518104
OPC,Neurotransmitter.receptor.transport (Re),0.0665623022914206,15.8358022146808,1,107,1,0.00934579439252336,1,1,SCZ,syngoAll,2.03846319776525,123.020436207733,SCZ__OPC_no_meta_analysis,OPC_no_meta_analysis,1,"",OPC_no_meta_analysis,0.0665623022914206,1,
OPC,Integral.component.of.presynaptic.membrane (Re),0.1132153877383,3.57356771078697,2,202,1,0.0099009900990099,1,1,SCZ,syngoAll,0.86933919760796,14.6897623145462,SCZ__OPC_no_meta_analysis,OPC_no_meta_analysis,1,"",OPC_no_meta_analysis,0.1132153877383,1,0.946094541737297
OPC,Postsynaptic.density (Re),0.119906451051861,2.55954929115159,3,320,1,0.009375,1,1,SCZ,syngoAll,0.80447003037372,8.14361297063009,SCZ__OPC_no_meta_analysis,OPC_no_meta_analysis,1,"",OPC_no_meta_analysis,0.119906451051861,1,0.921157450922346
OPC,Regulation.of.postsynaptic.neurotransmitter.receptor.endocytosis (Re),0.128737610859206,7.59879004983932,1,120,1,0.00833333333333333,1,1,SCZ,syngoAll,1.01910296448265,56.6592505702796,SCZ__OPC_no_meta_analysis,OPC_no_meta_analysis,1,"",OPC_no_meta_analysis,0.128737610859206,1,
OPC,Presynaptic.membrane (Re),0.136021536375156,3.18380874789725,2,215,1,0.00930232558139535,1,1,SCZ,syngoAll,0.775589576375803,13.0695904792246,SCZ__OPC_no_meta_analysis,OPC_no_meta_analysis,1,"",OPC_no_meta_analysis,0.136021536375156,1,0.866392324067959
OPC,Regulation.of.synaptic.vesicle.exocytosis (Re),0.142493367324027,6.78302432030366,1,123,1,0.00813008130081301,1,1,SCZ,syngoAll,0.913436365452765,50.3695940625545,SCZ__OPC_no_meta_analysis,OPC_no_meta_analysis,1,"",OPC_no_meta_analysis,0.142493367324027,1,
OPC,Transport (Re),0.156034194052366,6.12618695202702,1,126,1,0.00793650793650794,1,1,SCZ,syngoAll,0.827721741335548,45.3415256564728,SCZ__OPC_no_meta_analysis,OPC_no_meta_analysis,1,"",OPC_no_meta_analysis,0.156034194052366,1,
