Set,Reference,pval,odds.ratio,intersection,union,FDR_AdjP,Jaccard,Bonf_AdjP,BH_AdjP,name_full,group,OR.ci95.down,OR.ci95.up,gwas,model_ID,qvalue,star,pathway,Pvalue,FDR,neg_log10p
EN,Regulation.of.postsynaptic.membrane.potential (Re),0.0195393838166787,3.0601458925889,6,831,1,0.0072202166064982,1,1,AD,syngoAll,1.29860583112162,7.21118961543586,AD__EN_no_meta_analysis,EN_no_meta_analysis,1,"",EN_no_meta_analysis,0.0195393838166787,1,1.70908913607455
EN,Transmitter.gated.ion.channel.activity.involved.in.regulation.of.postsynaptic.membrane.potential (Re),0.0241831119767441,3.32053114405359,5,821,1,0.00609013398294762,1,1,AD,syngoAll,1.29278611024352,8.52880997967474,AD__EN_no_meta_analysis,EN_no_meta_analysis,1,"",EN_no_meta_analysis,0.0241831119767441,1,1.61648781317893
EN,Synapse (Re),0.0363806486736542,1.32732077880107,52,1657,1,0.0313820156910078,1,1,AD,syngoAll,0.993781618454228,1.7728044241525,AD__EN_no_meta_analysis,EN_no_meta_analysis,1,"",EN_no_meta_analysis,0.0363806486736542,1,1.43912956165305
EN,Process.in.the.postsynapse (Re),0.0637325275576367,1.69996279201208,12,943,1,0.0127253446447508,1,1,AD,syngoAll,0.940747135956948,3.07189188653323,AD__EN_no_meta_analysis,EN_no_meta_analysis,1,"",EN_no_meta_analysis,0.0637325275576367,1,1.19563885756647
EN,Neuronal.dense.core.vesicle (Re),0.108721529270741,3.97464518057587,2,799,1,0.00250312891113892,1,1,AD,syngoAll,0.879480654844238,17.9626512811392,AD__EN_no_meta_analysis,EN_no_meta_analysis,1,"",EN_no_meta_analysis,0.108721529270741,1,0.963684447471541
EN,Integral.component.of.synaptic.vesicle.membrane (Re),0.110704175918863,2.3035148902458,4,826,1,0.00484261501210654,1,1,AD,syngoAll,0.820094139537128,6.47020944763611,AD__EN_no_meta_analysis,EN_no_meta_analysis,1,"",EN_no_meta_analysis,0.110704175918863,1,0.955835996607156
EN,Synaptic.vesicle.membrane (Re),0.126711493094712,1.82455655264192,6,860,1,0.00697674418604651,1,1,AD,syngoAll,0.790902049766801,4.20912629417277,AD__EN_no_meta_analysis,EN_no_meta_analysis,1,"",EN_no_meta_analysis,0.126711493094712,1,0.897183991578753
EN,Integral.component.of.postsynaptic.density.membrane (Re),0.132382732338229,1.79951128789186,6,861,1,0.00696864111498258,1,1,AD,syngoAll,0.780386700880581,4.14953364991512,AD__EN_no_meta_analysis,EN_no_meta_analysis,1,"",EN_no_meta_analysis,0.132382732338229,1,0.87816865945291
EN,Synaptic.membrane (Re),0.138314466428617,3.36265723115105,2,801,1,0.00249687890137328,1,1,AD,syngoAll,0.757515724853942,14.9270348894641,AD__EN_no_meta_analysis,EN_no_meta_analysis,1,"",EN_no_meta_analysis,0.138314466428617,1,0.859132394282925
EN,Voltage.gated.ion.channel.activity.involved.in.regulation.of.presynaptic.membrane.potential (Re),0.153697015121939,3.12232047319268,2,802,1,0.00249376558603491,1,1,AD,syngoAll,0.708384603126698,13.7621358429984,AD__EN_no_meta_analysis,EN_no_meta_analysis,1,"",EN_no_meta_analysis,0.153697015121939,1,0.813334566648977
