Set,Reference,pval,odds.ratio,intersection,union,FDR_AdjP,Jaccard,Bonf_AdjP,BH_AdjP,name_full,group,OR.ci95.down,OR.ci95.up,gwas,model_ID,qvalue,star,pathway,Pvalue,FDR,neg_log10p
Endo,Process.in.the.synapse (Re),4.51243879729937e-06,3.59366895806678,20,882,0.000418973756969015,0.0226757369614512,0.000469293634919134,0.000418973756969015,AD,syngoAll,2.2313792712849,5.78765642684142,AD__Endo_no_meta_analysis,Endo_no_meta_analysis,0.000418973756969015,*,Endo_no_meta_analysis,4.51243879729937e-06,0.000418973756969015,5.34558867542987
Endo,Synapse (Re),8.05718763401952e-06,3.23714443672751,22,1049,0.000418973756969015,0.0209723546234509,0.00083794751393803,0.000418973756969015,AD,syngoAll,2.04906472690679,5.1140913054781,AD__Endo_no_meta_analysis,Endo_no_meta_analysis,0.000418973756969015,*,Endo_no_meta_analysis,8.05718763401952e-06,0.000418973756969015,5.09381652248349
Endo,Synapse.organization (Re),1.22666332343939e-05,5.56452810502469,11,400,0.000425243285458987,0.0275,0.00127572985637696,0.000425243285458987,AD,syngoAll,2.97411636789364,10.4111504734226,AD__Endo_no_meta_analysis,Endo_no_meta_analysis,0.000425243285458989,*,Endo_no_meta_analysis,1.22666332343939e-05,0.000425243285458987,4.9112746196987
Endo,Presynapse (Re),2.8824045234075e-05,4.04973309523522,14,592,0.00074942517608595,0.0236486486486486,0.0029977007043438,0.00074942517608595,AD,syngoAll,2.31746971995078,7.07682952724479,AD__Endo_no_meta_analysis,Endo_no_meta_analysis,0.00074942517608595,*,Endo_no_meta_analysis,2.8824045234075e-05,0.00074942517608595,4.54024506933908
Endo,Calcium.dependent.activation.of.synaptic.vesicle.fusion (Re),0.000118424779989138,40.3080109461628,3,159,0.00212846293355474,0.0188679245283019,0.0123161771188704,0.00212846293355474,AD,syngoAll,10.8031709123936,150.3943388114,AD__Endo_no_meta_analysis,Endo_no_meta_analysis,0.00212846293355474,*,Endo_no_meta_analysis,0.000118424779989138,0.00212846293355474,3.92655741343633
Endo,Structural.constituent.of.synapse (Re),0.000122795938474312,18.0522127389508,4,177,0.00212846293355474,0.0225988700564972,0.0127707776013284,0.00212846293355474,AD,syngoAll,6.23778744391291,52.2432653729401,AD__Endo_no_meta_analysis,Endo_no_meta_analysis,0.00212846293355474,*,Endo_no_meta_analysis,0.000122795938474312,0.00212846293355474,3.91081599742421
Endo,Synaptic.vesicle.exocytosis (Re),0.000208532706628288,10.2092479926776,5,210,0.00309820021276313,0.0238095238095238,0.0216874014893419,0.00309820021276313,AD,syngoAll,4.04079279229255,25.7941324719244,AD__Endo_no_meta_analysis,Endo_no_meta_analysis,0.00309820021276314,*,Endo_no_meta_analysis,0.000208532706628288,0.00309820021276313,3.68082581985466
Endo,Postsynapse (Re),0.00081523777487296,3.00968932782444,13,695,0.0105980910733485,0.018705035971223,0.0847847285867878,0.0105980910733485,AD,syngoAll,1.69328034219827,5.34951574425097,AD__Endo_no_meta_analysis,Endo_no_meta_analysis,0.0105980910733485,*,Endo_no_meta_analysis,0.00081523777487296,0.0105980910733485,3.08871570505807
Endo,Modification.of.postsynaptic.structure (Re),0.00177282703834232,13.9732004788121,3,176,0.0203616099260094,0.0170454545454545,0.184374011987601,0.0203616099260094,AD,syngoAll,4.18312353557805,46.6757268726215,AD__Endo_no_meta_analysis,Endo_no_meta_analysis,0.0203616099260095,*,Endo_no_meta_analysis,0.00177282703834232,0.0203616099260094,2.75133363324153
Endo,Modification.of.synaptic.structure (Re),0.00195784710827014,13.4458437372755,3,177,0.0203616099260094,0.0169491525423729,0.203616099260094,0.0203616099260094,AD,syngoAll,4.03440087269648,44.8122830407768,AD__Endo_no_meta_analysis,Endo_no_meta_analysis,0.0203616099260095,*,Endo_no_meta_analysis,0.00195784710827014,0.0203616099260094,2.70822122602991
