Set,Reference,pval,odds.ratio,intersection,union,FDR_AdjP,Jaccard,Bonf_AdjP,BH_AdjP,name_full,group,OR.ci95.down,OR.ci95.up,gwas,model_ID,qvalue,star,pathway,Pvalue,FDR,neg_log10p
IN,Synapse (Re),0.00202789107022788,1.61717636352551,48,1482,0.2109006713037,0.0323886639676113,0.2109006713037,0.2109006713037,AD,syngoAll,1.19502632692191,2.18845336862315,AD__IN_no_meta_analysis,IN_no_meta_analysis,0.2109006713037,"",IN_no_meta_analysis,0.00202789107022788,0.2109006713037,2.69295537718363
IN,Regulation.of.postsynaptic.density.assembly (Re),0.0106425928756809,7.81316518475312,3,620,0.288896817025003,0.00483870967741936,1,0.288896817025003,AD,syngoAll,2.17410898217806,28.0784223351498,AD__IN_no_meta_analysis,IN_no_meta_analysis,0.288896817025003,"",IN_no_meta_analysis,0.0106425928756809,0.288896817025003,1.97295255113723
IN,Synaptic.membrane (Re),0.012973381582635,7.15980031913113,3,621,0.288896817025003,0.00483091787439614,1,0.288896817025003,AD,syngoAll,2.01519797889723,25.438066704435,AD__IN_no_meta_analysis,IN_no_meta_analysis,0.288896817025003,"",IN_no_meta_analysis,0.012973381582635,0.288896817025003,1.8869468079358
IN,Postsynapse.to.nucleus.signaling.pathway (Re),0.0155720497403506,6.60944331890941,3,622,0.288896817025003,0.00482315112540193,1,0.288896817025003,AD,syngoAll,1.878520496585,23.2548652331938,AD__IN_no_meta_analysis,IN_no_meta_analysis,0.288896817025003,"",IN_no_meta_analysis,0.0155720497403506,0.288896817025003,1.80765421772518
IN,Modulation.of.chemical.synaptic.transmission (Re),0.0163968186850576,2.83348060636722,7,680,0.288896817025003,0.0102941176470588,1,0.288896817025003,AD,syngoAll,1.29796070634169,6.18555885970373,AD__IN_no_meta_analysis,IN_no_meta_analysis,0.288896817025003,"",IN_no_meta_analysis,0.0163968186850576,0.288896817025003,1.78524040570522
IN,Synaptic.vesicle.endocytosis (Re),0.0191352111486343,3.49917435662754,5,650,0.288896817025003,0.00769230769230769,1,0.288896817025003,AD,syngoAll,1.37787189992436,8.88632766133915,AD__IN_no_meta_analysis,IN_no_meta_analysis,0.288896817025003,"",IN_no_meta_analysis,0.0191352111486343,0.288896817025003,1.71816674116455
IN,Postsynaptic.signaling.pathway (Re),0.0215844495528622,5.72734562687635,3,624,0.288896817025003,0.00480769230769231,1,0.288896817025003,AD,syngoAll,1.65366814316699,19.8361975256285,AD__IN_no_meta_analysis,IN_no_meta_analysis,0.288896817025003,"",IN_no_meta_analysis,0.0215844495528622,0.288896817025003,1.66585902225454
IN,Pathway (Re),0.0250006860887022,5.36948860361971,3,625,0.288896817025003,0.0048,1,0.288896817025003,AD,syngoAll,1.56039000641162,18.4770523689169,AD__IN_no_meta_analysis,IN_no_meta_analysis,0.288896817025003,"",IN_no_meta_analysis,0.0250006860887022,0.288896817025003,1.60204807291001
IN,Postsynaptic.density.assembly (Re),0.0250006860887022,5.36948860361971,3,625,0.288896817025003,0.0048,1,0.288896817025003,AD,syngoAll,1.56039000641162,18.4770523689169,AD__IN_no_meta_analysis,IN_no_meta_analysis,0.288896817025003,"",IN_no_meta_analysis,0.0250006860887022,0.288896817025003,1.60204807291001
IN,Postsynaptic.specialization (Re),0.0278369693172257,1.76216418245837,16,871,0.289504480899147,0.0183696900114811,1,0.289504480899147,AD,syngoAll,1.05675816516387,2.93844202799007,AD__IN_no_meta_analysis,IN_no_meta_analysis,0.289504480899147,"",IN_no_meta_analysis,0.0278369693172257,0.289504480899147,1.55537804925013
