Set,Reference,pval,odds.ratio,intersection,union,FDR_AdjP,Jaccard,Bonf_AdjP,BH_AdjP,name_full,group,OR.ci95.down,OR.ci95.up,gwas,model_ID,qvalue,star,pathway,Pvalue,FDR,neg_log10p
EN,Regulation.of.synaptic.vesicle.cycle (Re),0.0255229829047961,5.5463576332572,3,856,1,0.00350467289719626,1,1,BD,syngoAll,1.54441267311627,19.9183052117279,BD__EN_no_meta_analysis,EN_no_meta_analysis,1,"",EN_no_meta_analysis,0.0255229829047961,1,1.59306857041369
EN,Postsynaptic.cytoskeleton (Re),0.0649797621174397,3.58783228619646,3,862,1,0.00348027842227378,1,1,BD,syngoAll,1.0493806570503,12.2667979702018,BD__EN_no_meta_analysis,EN_no_meta_analysis,1,"",EN_no_meta_analysis,0.0649797621174397,1,1.18722188288442
EN,Postsynaptic.density..Intracellular.component (Re),0.0736089618659441,2.71208588761466,4,875,1,0.00457142857142857,1,1,BD,syngoAll,0.953261608603782,7.71604541231012,BD__EN_no_meta_analysis,EN_no_meta_analysis,1,"",EN_no_meta_analysis,0.0736089618659441,1,1.13306930723876
EN,Modification.of.postsynaptic.structure (Re),0.153673830046437,2.34464156838547,3,871,1,0.0034443168771527,1,1,BD,syngoAll,0.708235786564073,7.76202528662214,BD__EN_no_meta_analysis,EN_no_meta_analysis,1,"",EN_no_meta_analysis,0.153673830046437,1,0.81340008457646
EN,Postsynaptic.actin.cytoskeleton (Re),0.154835421553375,3.12492692573916,2,858,1,0.00233100233100233,1,1,BD,syngoAll,0.704039392543966,13.8702015748355,BD__EN_no_meta_analysis,EN_no_meta_analysis,1,"",EN_no_meta_analysis,0.154835421553375,1,0.810129679147856
EN,Regulation.of.postsynapse.organization (Re),0.159740148833103,1.98325683184526,4,886,1,0.00451467268623025,1,1,BD,syngoAll,0.708727957806394,5.54981303860935,BD__EN_no_meta_analysis,EN_no_meta_analysis,1,"",EN_no_meta_analysis,0.159740148833103,1,0.796585915262473
EN,Modification.of.synaptic.structure (Re),0.165161289932607,2.25786079865959,3,872,1,0.00344036697247706,1,1,BD,syngoAll,0.683584434304525,7.45765282281529,BD__EN_no_meta_analysis,EN_no_meta_analysis,1,"",EN_no_meta_analysis,0.165161289932607,1,0.782091733883885
EN,Synapse.assembly (Re),0.166703022971804,1.67168558211011,6,918,1,0.0065359477124183,1,1,BD,syngoAll,0.725097554014597,3.85400925704759,BD__EN_no_meta_analysis,EN_no_meta_analysis,1,"",EN_no_meta_analysis,0.166703022971804,1,0.778056524658679
EN,Voltage.gated.ion.channel.activity.involved.in.regulation.of.presynaptic.membrane.potential (Re),0.171721557160857,2.90158524582759,2,859,1,0.00232828870779977,1,1,BD,syngoAll,0.658377895908584,12.7877879727198,BD__EN_no_meta_analysis,EN_no_meta_analysis,1,"",EN_no_meta_analysis,0.171721557160857,1,0.765175182018237
EN,Presynapse.assembly (Re),0.171721557160857,2.90158524582759,2,859,1,0.00232828870779977,1,1,BD,syngoAll,0.658377895908584,12.7877879727198,BD__EN_no_meta_analysis,EN_no_meta_analysis,1,"",EN_no_meta_analysis,0.171721557160857,1,0.765175182018237
