Set,Reference,pval,odds.ratio,intersection,union,FDR_AdjP,Jaccard,Bonf_AdjP,BH_AdjP,name_full,group,OR.ci95.down,OR.ci95.up,gwas,model_ID,qvalue,star,pathway,Pvalue,FDR,neg_log10p
IN,Regulation.of.presynaptic.cytosolic.calcium.levels (Re),0.00197256678027495,6.50388049988247,5,660,0.205146945148595,0.00757575757575758,0.205146945148595,0.205146945148595,BD,syngoAll,2.44455262472966,17.3039684762072,BD__IN_no_meta_analysis,IN_no_meta_analysis,0.205146945148595,"",IN_no_meta_analysis,0.00197256678027495,0.205146945148595,2.70496828504428
IN,Process.in.the.presynapse (Re),0.0295413764160309,1.82745426781948,14,849,1,0.016489988221437,1,1,BD,syngoAll,1.05765728247498,3.15753425642452,BD__IN_no_meta_analysis,IN_no_meta_analysis,1,"",IN_no_meta_analysis,0.0295413764160309,1,1.52956927354807
IN,Regulation.of.presynaptic.membrane.potential (Re),0.044914830257288,3.20663505463871,4,673,1,0.00594353640416048,1,1,BD,syngoAll,1.13445829402174,9.06380466150548,BD__IN_no_meta_analysis,IN_no_meta_analysis,1,"",IN_no_meta_analysis,0.044914830257288,1,1.34761023727121
IN,Integral.component.of.presynaptic.active.zone.membrane (Re),0.0567685995149636,2.94617685115027,4,676,1,0.00591715976331361,1,1,BD,syngoAll,1.04692704332643,8.29089103541988,BD__IN_no_meta_analysis,IN_no_meta_analysis,1,"",IN_no_meta_analysis,0.0567685995149636,1,1.2458918197155
IN,Neurotransmitter.receptor.transport.to.plasma.membrane (Re),0.0657344387896143,5.44117548877813,2,649,1,0.00308166409861325,1,1,BD,syngoAll,1.1897318070192,24.8849282880458,BD__IN_no_meta_analysis,IN_no_meta_analysis,1,"",IN_no_meta_analysis,0.0657344387896143,1,1.18220704052128
IN,Neurotransmitter.receptor.transport (Re),0.0759073088884497,4.94638806220707,2,650,1,0.00307692307692308,1,1,BD,syngoAll,1.09408691849049,22.3627158395252,BD__IN_no_meta_analysis,IN_no_meta_analysis,1,"",IN_no_meta_analysis,0.0759073088884497,1,1.1197164051704
IN,Maintenance.of.synapse.structure (Re),0.0865372599480952,4.53385143071734,2,651,1,0.00307219662058372,1,1,BD,syngoAll,1.01258873984962,20.3002541771009,BD__IN_no_meta_analysis,IN_no_meta_analysis,1,"",IN_no_meta_analysis,0.0865372599480952,1,1.06279686009941
IN,Voltage.gated.ion.channel.activity.involved.in.regulation.of.presynaptic.membrane.potential (Re),0.108990189686149,3.88618375033802,2,653,1,0.00306278713629403,1,1,BD,syngoAll,0.881348991931765,17.1355777105836,BD__IN_no_meta_analysis,IN_no_meta_analysis,1,"",IN_no_meta_analysis,0.108990189686149,1,0.962612591572352
IN,Presynaptic.active.zone.membrane (Re),0.112718774883887,2.26975868106449,4,687,1,0.00582241630276565,1,1,BD,syngoAll,0.815941513877766,6.3139384167177,BD__IN_no_meta_analysis,IN_no_meta_analysis,1,"",IN_no_meta_analysis,0.112718774883887,1,0.948003740126335
IN,Modulation.of.chemical.synaptic.transmission (Re),0.144046802401679,1.86582573682984,5,712,1,0.00702247191011236,1,1,BD,syngoAll,0.751400740232088,4.63308790345524,BD__IN_no_meta_analysis,IN_no_meta_analysis,1,"",IN_no_meta_analysis,0.144046802401679,1,0.841496377888389
