Set,Reference,pval,odds.ratio,intersection,union,FDR_AdjP,Jaccard,Bonf_AdjP,BH_AdjP,name_full,group,OR.ci95.down,OR.ci95.up,gwas,model_ID,qvalue,star,pathway,Pvalue,FDR,neg_log10p
Immune,Synaptic.vesicle.exocytosis (Re),0.0260775442169263,3.16934629748343,5,524,1,0.00954198473282443,1,1,BD,syngoAll,1.26680706788706,7.92919159357536,BD__Immune_no_meta_analysis,Immune_no_meta_analysis,1,"",Immune_no_meta_analysis,0.0260775442169263,1,1.58373330953732
Immune,Synaptic.vesicle.priming (Re),0.0429391506205443,6.88819133569892,2,475,1,0.00421052631578947,1,1,BD,syngoAll,1.52244096184911,31.1652018476761,BD__Immune_no_meta_analysis,Immune_no_meta_analysis,1,"",Immune_no_meta_analysis,0.0429391506205443,1,1.36714655059514
Immune,Presynaptic.active.zone (Re),0.0582575227231789,2.50009551754627,5,540,1,0.00925925925925926,1,1,BD,syngoAll,1.00670462195591,6.20884960745586,BD__Immune_no_meta_analysis,Immune_no_meta_analysis,1,"",Immune_no_meta_analysis,0.0582575227231789,1,1.23464798676169
Immune,Synaptic.vesicle.cycle (Re),0.120810245376001,1.73848861286769,7,617,1,0.0113452188006483,1,1,BD,syngoAll,0.810402508044931,3.72943398751558,BD__Immune_no_meta_analysis,Immune_no_meta_analysis,1,"",Immune_no_meta_analysis,0.120810245376001,1,0.917896233582557
Immune,Presynaptic.active.zone.membrane (Re),0.150309142265487,2.31998433444911,3,513,1,0.00584795321637427,1,1,BD,syngoAll,0.720481661545,7.47045705583601,BD__Immune_no_meta_analysis,Immune_no_meta_analysis,1,"",Immune_no_meta_analysis,0.150309142265487,1,0.823014603480267
Immune,Presynaptic.membrane (Re),0.207653451059382,1.62013711303033,5,581,1,0.00860585197934595,1,1,BD,syngoAll,0.658792128194626,3.98432851984958,BD__Immune_no_meta_analysis,Immune_no_meta_analysis,1,"",Immune_no_meta_analysis,0.207653451059382,1,0.682660846814676
Immune,Process.in.the.presynapse (Re),0.22311476276779,1.40532478683674,8,680,1,0.0117647058823529,1,1,BD,syngoAll,0.689690550431606,2.86351285407902,BD__Immune_no_meta_analysis,Immune_no_meta_analysis,1,"",Immune_no_meta_analysis,0.22311476276779,1,0.651471692932326
Immune,Synapse.adhesion.between.pre..And.post.synapse (Re),0.228108713753757,2.29368447173196,2,497,1,0.00402414486921529,1,1,BD,syngoAll,0.548736647239296,9.58745599065136,BD__Immune_no_meta_analysis,Immune_no_meta_analysis,1,"",Immune_no_meta_analysis,0.228108713753757,1,0.641858124355567
Immune,Trans.synaptic.signaling.by.trans.synaptic.complex (Re),0.230084807163264,4.20137531652783,1,473,1,0.00211416490486258,1,1,BD,syngoAll,0.531171912570641,33.2313402357882,BD__Immune_no_meta_analysis,Immune_no_meta_analysis,1,"",Immune_no_meta_analysis,0.230084807163264,1,
Immune,Integral.component.of.presynaptic.active.zone.membrane (Re),0.285798792798537,1.94019228054023,2,503,1,0.00397614314115308,1,1,BD,syngoAll,0.46708944553751,8.05915466819425,BD__Immune_no_meta_analysis,Immune_no_meta_analysis,1,"",Immune_no_meta_analysis,0.285798792798537,1,0.543939609981862
