Set,Reference,pval,odds.ratio,intersection,union,FDR_AdjP,Jaccard,Bonf_AdjP,BH_AdjP,name_full,group,OR.ci95.down,OR.ci95.up,gwas,model_ID,qvalue,star,pathway,Pvalue,FDR,neg_log10p
Oligo,Neurotransmitter.receptor.transport.to.plasma.membrane (Re),0.0541506046957138,6.09307207012331,2,583,1,0.00343053173241852,1,1,BD,syngoAll,1.3319662333842,27.872724038499,BD__Oligo_no_meta_analysis,Oligo_no_meta_analysis,1,"",Oligo_no_meta_analysis,0.0541506046957138,1,1.2663966892779
Oligo,Postsynaptic.specialization (Re),0.062276285955103,1.62651081608719,14,837,1,0.016726403823178,1,1,BD,syngoAll,0.943965493537561,2.80257854016923,BD__Oligo_no_meta_analysis,Oligo_no_meta_analysis,1,"",Oligo_no_meta_analysis,0.062276285955103,1,1.20567729586791
Oligo,Synapse.maturation (Re),0.0626781179788182,5.5387669529154,2,584,1,0.00342465753424658,1,1,BD,syngoAll,1.22483202546521,25.0466502515361,BD__Oligo_no_meta_analysis,Oligo_no_meta_analysis,1,"",Oligo_no_meta_analysis,0.0626781179788182,1,1.20288405246645
Oligo,Neurotransmitter.receptor.transport (Re),0.0626781179788182,5.5387669529154,2,584,1,0.00342465753424658,1,1,BD,syngoAll,1.22483202546521,25.0466502515361,BD__Oligo_no_meta_analysis,Oligo_no_meta_analysis,1,"",Oligo_no_meta_analysis,0.0626781179788182,1,1.20288405246645
Oligo,Integral.component.of.postsynaptic.specialization.membrane (Re),0.106129385054896,2.77117633958168,3,606,1,0.00495049504950495,1,1,BD,syngoAll,0.847390571937941,9.06243066582024,BD__Oligo_no_meta_analysis,Oligo_no_meta_analysis,1,"",Oligo_no_meta_analysis,0.106129385054896,1,0.974164352193922
Oligo,Transmitter.gated.ion.channel.activity.involved.in.regulation.of.postsynaptic.membrane.potential (Re),0.119838055384495,2.61255705282827,3,608,1,0.00493421052631579,1,1,BD,syngoAll,0.801135190197593,8.51972855242984,BD__Oligo_no_meta_analysis,Oligo_no_meta_analysis,1,"",Oligo_no_meta_analysis,0.119838055384495,1,0.921405246896239
Oligo,Postsynaptic.specialization.membrane (Re),0.134157641573944,2.47098537658934,3,610,1,0.00491803278688525,1,1,BD,syngoAll,0.759628519052259,8.03783504460332,BD__Oligo_no_meta_analysis,Oligo_no_meta_analysis,1,"",Oligo_no_meta_analysis,0.134157641573944,1,0.872384585020523
Oligo,Presynaptic.process.involved.in.chemical.synaptic.transmission (Re),0.14152914106581,2.40588755417106,3,611,1,0.00490998363338789,1,1,BD,syngoAll,0.740473730409473,7.81701589888188,BD__Oligo_no_meta_analysis,Oligo_no_meta_analysis,1,"",Oligo_no_meta_analysis,0.14152914106581,1,0.849154129036766
Oligo,Presynaptic.modulation.of.chemical.synaptic.transmission (Re),0.14152914106581,2.40588755417106,3,611,1,0.00490998363338789,1,1,BD,syngoAll,0.740473730409473,7.81701589888188,BD__Oligo_no_meta_analysis,Oligo_no_meta_analysis,1,"",Oligo_no_meta_analysis,0.14152914106581,1,0.849154129036766
Oligo,Integral.component.of.presynaptic.active.zone.membrane (Re),0.14152914106581,2.40588755417106,3,611,1,0.00490998363338789,1,1,BD,syngoAll,0.740473730409473,7.81701589888188,BD__Oligo_no_meta_analysis,Oligo_no_meta_analysis,1,"",Oligo_no_meta_analysis,0.14152914106581,1,0.849154129036766
