Set,Reference,pval,odds.ratio,intersection,union,FDR_AdjP,Jaccard,Bonf_AdjP,BH_AdjP,name_full,group,OR.ci95.down,OR.ci95.up,gwas,model_ID,qvalue,star,pathway,Pvalue,FDR,neg_log10p
Astro,Presynapse (Re),0.00134786537520278,2.00929545304846,26,968,0.112091934291689,0.0268595041322314,0.14017799902109,0.112091934291689,PD,syngoAll,1.3395059413959,3.01399799200142,PD__Astro_no_meta_analysis,Astro_no_meta_analysis,0.112091934291689,"",Astro_no_meta_analysis,0.00134786537520278,0.112091934291689,2.87035348296857
Astro,Process.in.the.synapse (Re),0.00215561412099402,1.72797014371133,37,1253,0.112091934291689,0.0295291300877893,0.224183868583378,0.112091934291689,PD,syngoAll,1.22722122276206,2.43304203201241,PD__Astro_no_meta_analysis,Astro_no_meta_analysis,0.112091934291689,"",Astro_no_meta_analysis,0.00215561412099402,0.112091934291689,2.666428980091
Astro,Postsynapse.organization (Re),0.00963084622332405,3.56547207598689,6,593,0.19010586949952,0.0101180438448567,1,0.19010586949952,PD,syngoAll,1.52838213983531,8.31767840862897,PD__Astro_no_meta_analysis,Astro_no_meta_analysis,0.19010586949952,"",Astro_no_meta_analysis,0.00963084622332405,0.19010586949952,2.01633555150747
Astro,Regulation.of.postsynapse.organization (Re),0.01072473831025,4.08124066810414,5,578,0.19010586949952,0.00865051903114187,1,0.19010586949952,PD,syngoAll,1.60432807841476,10.3822438908166,PD__Astro_no_meta_analysis,Astro_no_meta_analysis,0.19010586949952,"",Astro_no_meta_analysis,0.01072473831025,0.19010586949952,1.96961329604776
Astro,Presynaptic.membrane (Re),0.0110722832421225,2.60927487010865,9,651,0.19010586949952,0.0138248847926267,1,0.19010586949952,PD,syngoAll,1.31617516617862,5.17280337961987,PD__Astro_no_meta_analysis,Astro_no_meta_analysis,0.19010586949952,"",Astro_no_meta_analysis,0.0110722832421225,0.19010586949952,1.95576281297787
Astro,Synapse (Re),0.0117699110296221,1.5100926086925,40,1419,0.19010586949952,0.0281888653981677,1,0.19010586949952,PD,syngoAll,1.08655344961708,2.09872757537272,PD__Astro_no_meta_analysis,Astro_no_meta_analysis,0.19010586949952,"",Astro_no_meta_analysis,0.0117699110296221,0.19010586949952,1.92922682003594
Astro,Synaptic.vesicle (Re),0.01279558737016,2.72743519672304,8,634,0.19010586949952,0.0126182965299685,1,0.19010586949952,PD,syngoAll,1.31908909092451,5.63942405672536,PD__Astro_no_meta_analysis,Astro_no_meta_analysis,0.19010586949952,"",Astro_no_meta_analysis,0.01279558737016,0.19010586949952,1.89293977341381
Astro,Integral.component.of.presynaptic.membrane (Re),0.0166073216298835,2.59182246991309,8,639,0.215895181188485,0.0125195618153365,1,0.215895181188485,PD,syngoAll,1.25521366729439,5.35171333023011,PD__Astro_no_meta_analysis,Astro_no_meta_analysis,0.215895181188486,"",Astro_no_meta_analysis,0.0166073216298835,0.215895181188485,1.77970040337976
Astro,Trans.synaptic.signaling (Re),0.0222878226265008,2.18358902008871,10,688,0.250070782473483,0.0145348837209302,1,0.250070782473483,PD,syngoAll,1.14454432975582,4.16590330727445,PD__Astro_no_meta_analysis,Astro_no_meta_analysis,0.250070782473483,"",Astro_no_meta_analysis,0.0222878226265008,0.250070782473483,1.65193235715838
Astro,Synaptic.signaling (Re),0.0240452675455272,2.15460190498895,10,690,0.250070782473483,0.0144927536231884,1,0.250070782473483,PD,syngoAll,1.12964517110506,4.10952880402325,PD__Astro_no_meta_analysis,Astro_no_meta_analysis,0.250070782473483,"",Astro_no_meta_analysis,0.0240452675455272,0.250070782473483,1.61897038627994
