Set,Reference,pval,odds.ratio,intersection,union,FDR_AdjP,Jaccard,Bonf_AdjP,BH_AdjP,name_full,group,OR.ci95.down,OR.ci95.up,gwas,model_ID,qvalue,star,pathway,Pvalue,FDR,neg_log10p
IN,Neurotransmitter.receptor.transport.to.plasma.membrane (Re),0.0064009414915644,9.74775066246774,3,606,0.422145282771963,0.00495049504950495,0.665697915122697,0.422145282771963,PD,syngoAll,2.63218171032468,36.0988159004872,PD__IN_no_meta_analysis,IN_no_meta_analysis,0.422145282771963,"",IN_no_meta_analysis,0.0064009414915644,0.422145282771963,2.19375614249752
IN,Neurotransmitter.receptor.transport (Re),0.00811817851484545,8.77309059976767,3,607,0.422145282771963,0.00494233937397035,0.844290565543927,0.422145282771963,PD,syngoAll,2.40817655137614,31.9607458297646,PD__IN_no_meta_analysis,IN_no_meta_analysis,0.422145282771963,"",IN_no_meta_analysis,0.00811817851484545,0.422145282771963,2.09054140298672
IN,Transport (Re),0.0206990439261561,4.18099052513506,4,625,0.523236449229374,0.0064,1,0.523236449229374,PD,syngoAll,1.4618336923008,11.9580509488436,PD__IN_no_meta_analysis,IN_no_meta_analysis,0.523236449229374,"",IN_no_meta_analysis,0.0206990439261561,0.523236449229374,1.68404971382733
IN,Postsynaptic.neurotransmitter.receptor.endocytosis (Re),0.0229530614727502,4.03666592626608,4,626,0.523236449229374,0.00638977635782748,1,0.523236449229374,PD,syngoAll,1.41455634923856,11.5192808042244,PD__IN_no_meta_analysis,IN_no_meta_analysis,0.523236449229374,"",IN_no_meta_analysis,0.0229530614727502,0.523236449229374,1.63915938018997
IN,Postsynaptic.ribosome (Re),0.025155598520643,2.83645313617506,6,659,0.523236449229374,0.00910470409711684,1,0.523236449229374,PD,syngoAll,1.22209031181041,6.58336484297855,PD__IN_no_meta_analysis,IN_no_meta_analysis,0.523236449229374,"",IN_no_meta_analysis,0.025155598520643,0.523236449229374,1.59936534515913
IN,Regulation.of.postsynaptic.neurotransmitter.receptor.endocytosis (Re),0.0537498548686743,3.8124489011587,3,620,0.831571041849867,0.00483870967741936,1,0.831571041849867,PD,syngoAll,1.14150741161856,12.7329586089477,PD__IN_no_meta_analysis,IN_no_meta_analysis,0.831571041849864,"",IN_no_meta_analysis,0.0537498548686743,0.831571041849867,1.26962270406015
IN,Synaptic.vesicle.endocytosis (Re),0.0656226391866462,2.78523628120313,4,639,0.831571041849867,0.00625978090766823,1,0.831571041849867,PD,syngoAll,0.995476408429991,7.79279255282907,PD__IN_no_meta_analysis,IN_no_meta_analysis,0.831571041849864,"",IN_no_meta_analysis,0.0656226391866462,0.831571041849867,1.18294630730644
IN,Metabolism (Re),0.0755330269208197,2.11630642986449,6,680,0.831571041849867,0.00882352941176471,1,0.831571041849867,PD,syngoAll,0.920389833633308,4.86614773590619,PD__IN_no_meta_analysis,IN_no_meta_analysis,0.831571041849864,"",IN_no_meta_analysis,0.0755330269208197,0.831571041849867,1.12186311097782
IN,Trans.synaptic.signaling (Re),0.0858973267420174,1.74695268547858,9,748,0.831571041849867,0.0120320855614973,1,0.831571041849867,PD,syngoAll,0.887228039938188,3.43975116646835,PD__IN_no_meta_analysis,IN_no_meta_analysis,0.831571041849864,"",IN_no_meta_analysis,0.0858973267420174,0.831571041849867,1.06602035187605
IN,Chemical.synaptic.transmission (Re),0.0863044108744001,1.81683103854677,8,726,0.831571041849867,0.0110192837465565,1,0.831571041849867,PD,syngoAll,0.885376892017071,3.72821456307364,PD__IN_no_meta_analysis,IN_no_meta_analysis,0.831571041849864,"",IN_no_meta_analysis,0.0863044108744001,0.831571041849867,1.06396700765142
