Set,Reference,pval,odds.ratio,intersection,union,FDR_AdjP,Jaccard,Bonf_AdjP,BH_AdjP,name_full,group,OR.ci95.down,OR.ci95.up,gwas,model_ID,qvalue,star,pathway,Pvalue,FDR,neg_log10p
Immune,Process.in.the.synapse (Re),0.000205820344018125,1.97109049885151,38,1205,0.021405315777885,0.0315352697095436,0.021405315777885,0.021405315777885,PD,syngoAll,1.40382211286726,2.76758552173487,PD__Immune_no_meta_analysis,Immune_no_meta_analysis,0.021405315777885,*,Immune_no_meta_analysis,0.000205820344018125,0.021405315777885,3.68651170023374
Immune,Synapse (Re),0.00260188540624083,1.67219158894648,40,1372,0.0797768000640056,0.0291545189504373,0.270596082249047,0.0797768000640056,PD,syngoAll,1.20172369154821,2.32684495596564,PD__Immune_no_meta_analysis,Immune_no_meta_analysis,0.0797768000640057,"",Immune_no_meta_analysis,0.00260188540624083,0.0797768000640056,2.58471183480487
Immune,Metabolism (Re),0.00297949421423378,3.55973479474659,8,572,0.0797768000640056,0.013986013986014,0.309867398280313,0.0797768000640056,PD,syngoAll,1.71206709152365,7.40141076927795,PD__Immune_no_meta_analysis,Immune_no_meta_analysis,0.0797768000640057,"",Immune_no_meta_analysis,0.00297949421423378,0.0797768000640056,2.52585745357827
Immune,Postsynapse (Re),0.00306833846400022,1.85864362326771,27,1022,0.0797768000640056,0.0264187866927593,0.319107200256022,0.0797768000640056,PD,syngoAll,1.24898004241363,2.76590177665116,PD__Immune_no_meta_analysis,Immune_no_meta_analysis,0.0797768000640057,"",Immune_no_meta_analysis,0.00306833846400022,0.0797768000640056,2.51309673568133
Immune,Postsynaptic.specialization (Re),0.00421829129590835,2.21509120234634,16,753,0.0877404589548937,0.0212483399734396,0.438702294774469,0.0877404589548937,PD,syngoAll,1.32629192531208,3.69950909077396,PD__Immune_no_meta_analysis,Immune_no_meta_analysis,0.0877404589548937,"",Immune_no_meta_analysis,0.00421829129590835,0.0877404589548937,2.37486343316992
Immune,Synaptic.membrane (Re),0.00720634946521403,8.95175648682425,3,503,0.124910057397043,0.00596421471172962,0.749460344382259,0.124910057397043,PD,syngoAll,2.51804120882936,31.8239208788225,PD__Immune_no_meta_analysis,Immune_no_meta_analysis,0.124910057397043,"",Immune_no_meta_analysis,0.00720634946521403,0.124910057397043,2.14228468099585
Immune,Voltage.gated.ion.channel.activity.involved.in.regulation.of.presynaptic.membrane.potential (Re),0.0086917935949795,8.2633638246179,3,504,0.12913521912541,0.00595238095238095,0.903946533877868,0.12913521912541,PD,syngoAll,2.34716523382947,29.091765979593,PD__Immune_no_meta_analysis,Immune_no_meta_analysis,0.12913521912541,"",Immune_no_meta_analysis,0.0086917935949795,0.12913521912541,2.06089059546999
Immune,Protein.translation.at.presynapse (Re),0.010558743283095,4.07906618352955,5,535,0.132606808756309,0.00934579439252336,1,0.132606808756309,PD,syngoAll,1.61040311695382,10.3320595659847,PD__Immune_no_meta_analysis,Immune_no_meta_analysis,0.132606808756309,"",Immune_no_meta_analysis,0.010558743283095,0.132606808756309,1.97638776908402
Immune,Presynaptic.ribosome (Re),0.011475589219296,3.98824629319389,5,536,0.132606808756309,0.00932835820895522,1,0.132606808756309,PD,syngoAll,1.57619299905299,10.0914726208856,PD__Immune_no_meta_analysis,Immune_no_meta_analysis,0.132606808756309,"",Immune_no_meta_analysis,0.011475589219296,0.132606808756309,1.94022500617247
Immune,Protein.translation.at.synapse (Re),0.0156827732844635,3.66151184994373,5,540,0.148273492871291,0.00925925925925926,1,0.148273492871291,PD,syngoAll,1.45251709815024,9.22995608406367,PD__Immune_no_meta_analysis,Immune_no_meta_analysis,0.148273492871291,"",Immune_no_meta_analysis,0.0156827732844635,0.148273492871291,1.80457713580718
