Set,Reference,pval,odds.ratio,intersection,union,FDR_AdjP,Jaccard,Bonf_AdjP,BH_AdjP,name_full,group,OR.ci95.down,OR.ci95.up,gwas,model_ID,qvalue,star,pathway,Pvalue,FDR,neg_log10p
Immune,Regulation.of.presynaptic.cytosolic.calcium.levels (Re),0.00453024787634556,6.74814154912098,4,497,0.471145779139938,0.00804828973843058,0.471145779139938,0.471145779139938,SCZ,syngoAll,2.31629990724168,19.6595502268962,SCZ__Immune_no_meta_analysis,Immune_no_meta_analysis,0.471145779139938,"",Immune_no_meta_analysis,0.00453024787634556,0.471145779139938,2.34387803454701
Immune,Trans.synaptic.signaling.by.trans.synaptic.complex (Re),0.0272265550644452,9.24601115248259,2,483,0.820616142815757,0.0041407867494824,1,0.820616142815757,SCZ,syngoAll,1.95812411534836,43.6584798490281,SCZ__Immune_no_meta_analysis,Immune_no_meta_analysis,0.820616142815756,"",Immune_no_meta_analysis,0.0272265550644452,0.820616142815757,1.56500730581937
Immune,Postsynaptic.density.membrane (Re),0.0417309064738444,2.47556470088877,6,565,0.820616142815757,0.0106194690265487,1,0.820616142815757,SCZ,syngoAll,1.07786937927094,5.685680200352,SCZ__Immune_no_meta_analysis,Immune_no_meta_analysis,0.820616142815756,"",Immune_no_meta_analysis,0.0417309064738444,0.820616142815757,1.37954218149215
Immune,Presynaptic.active.zone.membrane (Re),0.0481439606171744,3.08879166271477,4,523,0.820616142815757,0.00764818355640535,1,0.820616142815757,SCZ,syngoAll,1.10922980053511,8.60113380568547,SCZ__Immune_no_meta_analysis,Immune_no_meta_analysis,0.820616142815756,"",Immune_no_meta_analysis,0.0481439606171744,0.820616142815757,1.31745818486635
Immune,Maintenance.of.synapse.structure (Re),0.0513737896123813,6.16332101660738,2,487,0.820616142815757,0.00410677618069815,1,0.820616142815757,SCZ,syngoAll,1.37555536495367,27.6154104164566,SCZ__Immune_no_meta_analysis,Immune_no_meta_analysis,0.820616142815756,"",Immune_no_meta_analysis,0.0513737896123813,0.820616142815757,1.289258397152
Immune,Integral.component.of.postsynaptic.density.membrane (Re),0.0578907426908255,2.50626807719219,5,549,0.820616142815757,0.00910746812386157,1,0.820616142815757,SCZ,syngoAll,1.00854131664834,6.2281827933707,SCZ__Immune_no_meta_analysis,Immune_no_meta_analysis,0.820616142815756,"",Immune_no_meta_analysis,0.0578907426908255,0.820616142815757,1.23739087875487
Immune,Synaptic.membrane (Re),0.0582657692955357,5.68954802593401,2,488,0.820616142815757,0.00409836065573771,1,0.820616142815757,SCZ,syngoAll,1.28031362307078,25.283615011273,SCZ__Immune_no_meta_analysis,Immune_no_meta_analysis,0.820616142815756,"",Immune_no_meta_analysis,0.0582657692955357,0.820616142815757,1.2345865150883
Immune,Presynaptic.active.zone (Re),0.0631243186781351,2.43982100411201,5,551,0.820616142815757,0.00907441016333938,1,0.820616142815757,SCZ,syngoAll,0.982539811555168,6.05850924522248,SCZ__Immune_no_meta_analysis,Immune_no_meta_analysis,0.820616142815756,"",Immune_no_meta_analysis,0.0631243186781351,0.820616142815757,1.19980329633345
Immune,Integral.component.of.presynaptic.active.zone.membrane (Re),0.0934983698794107,2.92172650569093,3,513,1,0.00584795321637427,1,1,SCZ,syngoAll,0.898703268621432,9.49866999721886,SCZ__Immune_no_meta_analysis,Immune_no_meta_analysis,1,"",Immune_no_meta_analysis,0.0934983698794107,1,1.02919596087666
Immune,Process.in.the.presynapse (Re),0.140140142755962,1.55334764016638,9,690,1,0.0130434782608696,1,1,SCZ,syngoAll,0.792333569468367,3.04529428537204,SCZ__Immune_no_meta_analysis,Immune_no_meta_analysis,1,"",Immune_no_meta_analysis,0.140140142755962,1,0.853437444441309
