Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	GO_CELLULAR_RESPONSE_TO_HORMONE_STIMULUS	8.97064302138915e-05	3.46717351775252	15	791	0.418570203378018	0.0189633375474083	0.418570203378018	0.418570203378018	AD	msigdbSetsPruned	2.0115368399151	5.97617302535297
myTestGenes	GO_HORMONE_MEDIATED_SIGNALING_PATHWAY	0.000204418388413491	5.43857780531679	8	345	0.476908100168674	0.0231884057971014	0.953816200337349	0.476908100168674	AD	msigdbSetsPruned	2.6255367955539	11.265554759915
myTestGenes	GO_INTRACELLULAR_RECEPTOR_SIGNALING_PATHWAY	0.000577828179540298	4.62132851558791	8	383	0.723894129259619	0.02088772845953	1	0.723894129259619	AD	msigdbSetsPruned	2.23501483092477	9.55549688238502
myTestGenes	GO_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY	0.000655947942649105	11.1299474192818	4	179	0.723894129259619	0.0223463687150838	1	0.723894129259619	AD	msigdbSetsPruned	3.9641829208624	31.248742055785
myTestGenes	REACTOME_SIGNALING_BY_ROBO_RECEPTORS	0.000775711668730839	5.02122065906089	7	332	0.723894129259619	0.0210843373493976	1	0.723894129259619	AD	msigdbSetsPruned	2.3145714644963	10.8930129372638
myTestGenes	GO_NEGATIVE_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY	0.00121487082577885	15.9644574157884	3	154	0.944764545514016	0.0194805194805195	1	0.944764545514016	AD	msigdbSetsPruned	4.78048059484317	53.3134473666621
myTestGenes	GO_REGULATION_OF_ANIMAL_ORGAN_MORPHOGENESIS	0.00162891146082765	4.39219406092127	7	361	1	0.0193905817174515	1	1	AD	msigdbSetsPruned	2.02765713688251	9.51411770653307
myTestGenes	REACTOME_REGULATION_OF_COMMISSURAL_AXON_PATHFINDING_BY_SLIT_AND_ROBO	0.00214574400157704	35.6419903462198	2	135	1	0.0148148148148148	1	1	AD	msigdbSetsPruned	7.4936351322546	169.524063210937
myTestGenes	GO_REGULATION_OF_CELL_DIFFERENTIATION	0.00246856983567048	2.06930178680113	23	1851	1	0.0124257158292815	1	1	AD	msigdbSetsPruned	1.31372219227868	3.25944854248913
myTestGenes	SA_REG_CASCADE_OF_CYCLIN_EXPR	0.00366806789737299	25.9086026151892	2	138	1	0.0144927536231884	1	1	AD	msigdbSetsPruned	5.68411502489249	118.093262809101
myTestGenes	GO_NEGATIVE_REGULATION_OF_LEUKOCYTE_MIGRATION	0.00368825576618782	10.5052442374211	3	168	1	0.0178571428571429	1	1	AD	msigdbSetsPruned	3.21030980225154	34.3767932959206
myTestGenes	GO_ACTIVATION_OF_MAPK_ACTIVITY	0.00413221223602433	5.04060267530468	5	271	1	0.018450184501845	1	1	AD	msigdbSetsPruned	2.03052311631694	12.5128717452744
myTestGenes	GO_MYELOID_LEUKOCYTE_ACTIVATION	0.00455264241126262	2.6807369722517	11	737	1	0.0149253731343284	1	1	AD	msigdbSetsPruned	1.43690869886348	5.0012577139252
myTestGenes	GO_POSTSYNAPTIC_MODULATION_OF_CHEMICAL_SYNAPTIC_TRANSMISSION	0.00489240614161482	21.9313081829706	2	140	1	0.0142857142857143	1	1	AD	msigdbSetsPruned	4.89801601515994	98.1994091337664
myTestGenes	GO_SIGNAL_TRANSDUCTION_BY_PROTEIN_PHOSPHORYLATION	0.00498834111975162	2.34510218471161	14	1023	1	0.0136852394916911	1	1	AD	msigdbSetsPruned	1.34036902446576	4.1029777295332
myTestGenes	GO_RESPONSE_TO_STEROID_HORMONE	0.00509564968392793	3.2121516888143	8	493	1	0.0162271805273834	1	1	AD	msigdbSetsPruned	1.55833295380633	6.62112576567824
myTestGenes	GO_POSITIVE_REGULATION_OF_SIGNALING	0.00519791379692421	1.96179214843222	22	1850	1	0.0118918918918919	1	1	AD	msigdbSetsPruned	1.23566725847814	3.11461553038987
myTestGenes	GO_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY	0.00532757084120853	6.07821764661066	4	222	1	0.018018018018018	1	1	AD	msigdbSetsPruned	2.20052592826105	16.7890454209574
myTestGenes	REACTOME_DISEASES_ASSOCIATED_WITH_N_GLYCOSYLATION_OF_PROTEINS	0.00556559156025108	20.3743204523064	2	141	1	0.0141843971631206	1	1	AD	msigdbSetsPruned	4.58251108206455	90.586345883151
myTestGenes	GO_POSITIVE_REGULATION_OF_CELLULAR_BIOSYNTHETIC_PROCESS	0.0056624889911564	1.91918271845899	23	1972	1	0.0116632860040568	1	1	AD	msigdbSetsPruned	1.2186108038545	3.02250915155307
myTestGenes	GO_REGULATION_OF_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE	0.00590782925086992	8.78860918894901	3	176	1	0.0170454545454545	1	1	AD	msigdbSetsPruned	2.70315294942029	28.5739108816035
myTestGenes	GO_NEGATIVE_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION	0.0067709885673561	3.78295414028484	6	358	1	0.0167597765363128	1	1	AD	msigdbSetsPruned	1.64959053231932	8.67532987557668
myTestGenes	GO_ORGAN_GROWTH	0.00699759580902564	4.42053374129665	5	291	1	0.0171821305841924	1	1	AD	msigdbSetsPruned	1.78393028885678	10.953969827187
myTestGenes	GO_PROTEIN_LOCALIZATION_TO_VACUOLE	0.00726044716148305	8.12374551301986	3	180	1	0.0166666666666667	1	1	AD	msigdbSetsPruned	2.50494203125575	26.3460153316307
myTestGenes	KEGG_PATHWAYS_IN_CANCER	0.00743799388770389	3.29043631765838	7	438	1	0.0159817351598174	1	1	AD	msigdbSetsPruned	1.52303567553777	7.10880994743756
myTestGenes	REACTOME_DISEASE	0.00757479687384756	2.01898713834898	18	1477	1	0.012186865267434	1	1	AD	msigdbSetsPruned	1.22244673882813	3.33454942071854
myTestGenes	GO_SECRETION	0.00783543283351401	1.94159838404986	20	1695	1	0.0117994100294985	1	1	AD	msigdbSetsPruned	1.20109275577189	3.13864542669925
myTestGenes	GO_NEGATIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION	0.00838556565529273	7.68757473737434	3	183	1	0.0163934426229508	1	1	AD	msigdbSetsPruned	2.37436724611654	24.8903388637022
myTestGenes	GO_MATERNAL_PROCESS_INVOLVED_IN_FEMALE_PREGNANCY	0.00918939060997789	7.42207720720815	3	185	1	0.0162162162162162	1	1	AD	msigdbSetsPruned	2.29467614762166	24.0065379713188
myTestGenes	GO_REGULATION_OF_CIRCADIAN_SLEEP_WAKE_CYCLE	0.009518104367105	15.0120138061536	2	146	1	0.0136986301369863	1	1	AD	msigdbSetsPruned	3.45983485822377	65.1362182736791
myTestGenes	BIOCARTA_EICOSANOID_PATHWAY	0.009518104367105	15.0120138061536	2	146	1	0.0136986301369863	1	1	AD	msigdbSetsPruned	3.45983485822377	65.1362182736791
myTestGenes	GO_TYPE_B_PANCREATIC_CELL_PROLIFERATION	0.009518104367105	15.0120138061536	2	146	1	0.0136986301369863	1	1	AD	msigdbSetsPruned	3.45983485822377	65.1362182736791
myTestGenes	GO_LYSOSOME_LOCALIZATION	0.00960761433468779	7.29615917243484	3	186	1	0.0161290322580645	1	1	AD	msigdbSetsPruned	2.25682529378753	23.5879750267088
myTestGenes	GO_INOSITOL_LIPID_MEDIATED_SIGNALING	0.00990025696702748	4.04665061404479	5	306	1	0.0163398692810458	1	1	AD	msigdbSetsPruned	1.63481584469355	10.0166518726265
myTestGenes	SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES	0.0100367885929854	7.1744912178509	3	187	1	0.0160427807486631	1	1	AD	msigdbSetsPruned	2.22021796727184	23.1839058118555
myTestGenes	GO_RESPONSE_TO_ENDOGENOUS_STIMULUS	0.0103089876497274	1.88613168327334	20	1737	1	0.0115141047783535	1	1	AD	msigdbSetsPruned	1.16685738504333	3.04878108691527
myTestGenes	BIOCARTA_STRESS_PATHWAY	0.0104218953390808	14.2630956860281	2	147	1	0.0136054421768707	1	1	AD	msigdbSetsPruned	3.29858548096742	61.6736779212192
myTestGenes	GO_ASPARTATE_FAMILY_AMINO_ACID_CATABOLIC_PROCESS	0.0104218953390808	14.2630956860281	2	147	1	0.0136054421768707	1	1	AD	msigdbSetsPruned	3.29858548096742	61.6736779212192
myTestGenes	GO_BRANCHING_INVOLVED_IN_SALIVARY_GLAND_MORPHOGENESIS	0.0104218953390808	14.2630956860281	2	147	1	0.0136054421768707	1	1	AD	msigdbSetsPruned	3.29858548096742	61.6736779212192
myTestGenes	GO_ESTABLISHMENT_OF_LOCALIZATION_IN_CELL	0.0106220987376711	2.62567833539046	9	631	1	0.0142630744849445	1	1	AD	msigdbSetsPruned	1.32549609062551	5.20121241375022
myTestGenes	GO_ORGANIC_CYCLIC_COMPOUND_CATABOLIC_PROCESS	0.0109241015547884	2.4706404120713	10	724	1	0.0138121546961326	1	1	AD	msigdbSetsPruned	1.28864610846098	4.73680400358315
myTestGenes	BIOCARTA_CELLCYCLE_PATHWAY	0.0113621345003205	13.5745931588278	2	148	1	0.0135135135135135	1	1	AD	msigdbSetsPruned	3.14918899603688	58.5133441211661
myTestGenes	GO_REGULATION_OF_PROTEIN_STABILITY	0.0115689672339089	3.35544072670151	6	387	1	0.0155038759689922	1	1	AD	msigdbSetsPruned	1.46480625498391	7.68632877699641
myTestGenes	GO_POSITIVE_CHEMOTAXIS	0.0118640216759433	6.7234792118544	3	191	1	0.0157068062827225	1	1	AD	msigdbSetsPruned	2.08420263935395	21.6894326197815
myTestGenes	GO_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE	0.0122402853968167	3.83046586700587	5	316	1	0.0158227848101266	1	1	AD	msigdbSetsPruned	1.54844877169332	9.47559197728699
myTestGenes	GO_DECIDUALIZATION	0.0123382703707815	12.9598698881646	2	149	1	0.0134228187919463	1	1	AD	msigdbSetsPruned	3.01515453687982	55.7046829486772
myTestGenes	GO_SMOOTH_MUSCLE_CELL_APOPTOTIC_PROCESS	0.0123382703707815	12.9598698881646	2	149	1	0.0134228187919463	1	1	AD	msigdbSetsPruned	3.01515453687982	55.7046829486772
myTestGenes	KEGG_MELANOMA	0.0128446036214835	6.51929904507738	3	193	1	0.0155440414507772	1	1	AD	msigdbSetsPruned	2.02247946919558	21.0144333658187
myTestGenes	GO_REGULATION_OF_CELLULAR_EXTRAVASATION	0.0133497573343991	12.3982265940225	2	150	1	0.0133333333333333	1	1	AD	msigdbSetsPruned	2.89201194080883	53.151932226717
myTestGenes	GO_REGULATION_OF_TRANSFERASE_ACTIVITY	0.0134245516885875	2.12584598923413	13	1036	1	0.0125482625482625	1	1	AD	msigdbSetsPruned	1.19307948814117	3.78786259831173
myTestGenes	GO_RESPONSE_TO_INTERLEUKIN_1	0.0135403211267409	3.73079711318916	5	321	1	0.0155763239875389	1	1	AD	msigdbSetsPruned	1.50859435272037	9.22636829090698
myTestGenes	REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	0.0146365901855308	2.86719189919591	7	483	1	0.0144927536231884	1	1	AD	msigdbSetsPruned	1.32847574028558	6.18813662720515
myTestGenes	GO_POSITIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS	0.0154766310717255	11.4056777229616	2	152	1	0.0131578947368421	1	1	AD	msigdbSetsPruned	2.67274865685387	48.6725468878142
myTestGenes	GO_POSITIVE_REGULATION_OF_MUSCLE_CELL_APOPTOTIC_PROCESS	0.0154766310717255	11.4056777229616	2	152	1	0.0131578947368421	1	1	AD	msigdbSetsPruned	2.67274865685387	48.6725468878142
myTestGenes	GO_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	0.0158017634185168	2.32529793869278	10	760	1	0.0131578947368421	1	1	AD	msigdbSetsPruned	1.21317847236618	4.45689618374374
myTestGenes	GO_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION	0.0158731133092069	1.9692710740734	15	1264	1	0.0118670886075949	1	1	AD	msigdbSetsPruned	1.14503112023667	3.38683245777693
myTestGenes	REACTOME_METABOLISM_OF_RNA	0.0159571912499996	2.32147807188432	10	761	1	0.0131406044678055	1	1	AD	msigdbSetsPruned	1.21119443010968	4.44954195979228
myTestGenes	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	0.016535288747742	3.08980640764436	6	409	1	0.0146699266503667	1	1	AD	msigdbSetsPruned	1.34978290644834	7.07291786783751
myTestGenes	GO_TISSUE_MORPHOGENESIS	0.0165903433246298	2.30632816518664	10	765	1	0.0130718954248366	1	1	AD	msigdbSetsPruned	1.20332529051789	4.4203754773939
myTestGenes	BIOCARTA_G1_PATHWAY	0.0165909554472906	10.9679798139773	2	153	1	0.0130718954248366	1	1	AD	msigdbSetsPruned	2.5754241218728	46.7094255187517
myTestGenes	GO_HEART_FORMATION	0.0165909554472906	10.9679798139773	2	153	1	0.0130718954248366	1	1	AD	msigdbSetsPruned	2.5754241218728	46.7094255187517
myTestGenes	GO_ENDOSOMAL_TRANSPORT	0.017033320440809	3.51083311751881	5	333	1	0.015015015015015	1	1	AD	msigdbSetsPruned	1.42055396085105	8.67686094210909
myTestGenes	REACTOME_SIGNALING_BY_INSULIN_RECEPTOR	0.017220109917344	5.81208142188285	3	201	1	0.0149253731343284	1	1	AD	msigdbSetsPruned	1.80793854336348	18.6844240798977
myTestGenes	GO_POSITIVE_REGULATION_OF_ANIMAL_ORGAN_MORPHOGENESIS	0.0178184727283949	5.73429318909276	3	202	1	0.0148514851485149	1	1	AD	msigdbSetsPruned	1.78427008981173	18.4288906518324
myTestGenes	PID_RETINOIC_ACID_PATHWAY	0.0189187656698046	10.181938917851	2	155	1	0.0129032258064516	1	1	AD	msigdbSetsPruned	2.39958550755151	43.2040782879343
myTestGenes	GO_NEGATIVE_REGULATION_OF_LOCOMOTION	0.0192175719445399	2.98231732669613	6	419	1	0.0143198090692124	1	1	AD	msigdbSetsPruned	1.30319324468165	6.8249407165126
myTestGenes	GO_PLACENTA_DEVELOPMENT	0.0195415267529929	4.08509835791779	4	268	1	0.0149253731343284	1	1	AD	msigdbSetsPruned	1.48861114678638	11.2104686505195
myTestGenes	GO_POSITIVE_REGULATION_OF_OSSIFICATION	0.0196825736557988	5.51289476406899	3	205	1	0.0146341463414634	1	1	AD	msigdbSetsPruned	1.71682867995254	17.7024120313155
myTestGenes	GO_PEPTIDYL_AMINO_ACID_MODIFICATION	0.019836515639071	1.91174177386567	15	1296	1	0.0115740740740741	1	1	AD	msigdbSetsPruned	1.11167511461665	3.28761214665074
myTestGenes	GO_PROTEIN_PHOSPHORYLATION	0.0208972776089043	1.72124764014234	21	1970	1	0.0106598984771574	1	1	AD	msigdbSetsPruned	1.07509863520881	2.75574104707158
myTestGenes	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	0.0209623395708204	2.92128516541194	6	425	1	0.0141176470588235	1	1	AD	msigdbSetsPruned	1.27672801217776	6.68420128348188
myTestGenes	GO_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY	0.0216169303760174	1.98505774746727	13	1097	1	0.0118505013673655	1	1	AD	msigdbSetsPruned	1.11432108580633	3.53619285408072
myTestGenes	GO_CELL_PROJECTION_ORGANIZATION	0.0227606083402222	1.80529406974167	17	1535	1	0.0110749185667752	1	1	AD	msigdbSetsPruned	1.08009438322561	3.01740915318107
myTestGenes	GO_NEGATIVE_REGULATION_OF_CELL_CYCLE	0.0229732373852382	2.28783304542785	9	703	1	0.0128022759601707	1	1	AD	msigdbSetsPruned	1.15574971073848	4.52881795696684
myTestGenes	REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX	0.0230200092140373	5.18008012311954	3	210	1	0.0142857142857143	1	1	AD	msigdbSetsPruned	1.61523708453517	16.6125643961798
myTestGenes	GO_SCF_DEPENDENT_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	0.023722124246358	5.11753408770829	3	211	1	0.014218009478673	1	1	AD	msigdbSetsPruned	1.59611149482786	16.4080988224953
myTestGenes	GO_VESICLE_MEDIATED_TRANSPORT_TO_THE_PLASMA_MEMBRANE	0.023722124246358	5.11753408770829	3	211	1	0.014218009478673	1	1	AD	msigdbSetsPruned	1.59611149482786	16.4080988224953
myTestGenes	SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES	0.0239567461914925	8.90839600360753	2	159	1	0.0125786163522013	1	1	AD	msigdbSetsPruned	2.11196737687986	37.5761104200073
myTestGenes	GO_REGULATION_OF_CELLULAR_RESPONSE_TO_DRUG	0.0239567461914925	8.90839600360753	2	159	1	0.0125786163522013	1	1	AD	msigdbSetsPruned	2.11196737687986	37.5761104200073
myTestGenes	REACTOME_HIV_INFECTION	0.0240985783335597	3.19666860176776	5	353	1	0.0141643059490085	1	1	AD	msigdbSetsPruned	1.29461718788491	7.89321371997444
myTestGenes	REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI	0.0245680645186317	2.25968775336102	9	710	1	0.0126760563380282	1	1	AD	msigdbSetsPruned	1.14159835462073	4.47284171532129
myTestGenes	GO_HIPPO_SIGNALING	0.0252929870824513	8.63791120677343	2	160	1	0.0125	1	1	AD	msigdbSetsPruned	2.05043253490989	36.3891563100764
myTestGenes	GO_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	0.0252929870824513	8.63791120677343	2	160	1	0.0125	1	1	AD	msigdbSetsPruned	2.05043253490989	36.3891563100764
myTestGenes	GO_VESICLE_ORGANIZATION	0.0254449908190656	2.78800704986494	6	439	1	0.0136674259681093	1	1	AD	msigdbSetsPruned	1.21890551243241	6.37701875232731
myTestGenes	REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS	0.0258976955087744	4.93974714769998	3	214	1	0.014018691588785	1	1	AD	msigdbSetsPruned	1.54170469911913	15.8273513060912
myTestGenes	GO_PROTEIN_LOCALIZATION_TO_MEMBRANE	0.0262406070488844	2.23193051613511	9	717	1	0.0125523012552301	1	1	AD	msigdbSetsPruned	1.12763983063319	4.41764621426855
myTestGenes	GO_CELLULAR_KETONE_METABOLIC_PROCESS	0.0265374673495721	3.11293616218292	5	359	1	0.0139275766016713	1	1	AD	msigdbSetsPruned	1.26101302924494	7.68459272433408
myTestGenes	GO_HYALURONAN_METABOLIC_PROCESS	0.0266589491247312	8.3835143671665	2	161	1	0.0124223602484472	1	1	AD	msigdbSetsPruned	1.99241619607837	35.275417497019
myTestGenes	REACTOME_MAPK6_MAPK4_SIGNALING	0.0274056974499239	4.82854845277851	3	216	1	0.0138888888888889	1	1	AD	msigdbSetsPruned	1.50764171101835	15.4644700995182
myTestGenes	REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS	0.0280541529687965	8.14370307174759	2	162	1	0.0123456790123457	1	1	AD	msigdbSetsPruned	1.93759908568813	34.2278752145663
myTestGenes	GO_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY	0.0282741352187052	2.7169855406581	6	447	1	0.0134228187919463	1	1	AD	msigdbSetsPruned	1.18807613479742	6.21341529548014
myTestGenes	GO_REGULATION_OF_RESPONSE_TO_DRUG	0.0289597005225795	4.72205093116688	3	218	1	0.0137614678899083	1	1	AD	msigdbSetsPruned	1.47499048645192	15.1172263152497
myTestGenes	GO_CELL_SUBSTRATE_ADHESION	0.0293866293858802	2.69130626884215	6	450	1	0.0133333333333333	1	1	AD	msigdbSetsPruned	1.17692646818528	6.154275248714
myTestGenes	KEGG_SPHINGOLIPID_METABOLISM	0.0294781244590208	7.9171731762727	2	163	1	0.0122699386503067	1	1	AD	msigdbSetsPruned	1.88570352343628	33.2404486304763
myTestGenes	GO_REGULATION_OF_HEART_MORPHOGENESIS	0.0294781244590208	7.9171731762727	2	163	1	0.0122699386503067	1	1	AD	msigdbSetsPruned	1.88570352343628	33.2404486304763
myTestGenes	GO_GOLGI_TO_PLASMA_MEMBRANE_PROTEIN_TRANSPORT	0.0294781244590208	7.9171731762727	2	163	1	0.0122699386503067	1	1	AD	msigdbSetsPruned	1.88570352343628	33.2404486304763
myTestGenes	GO_MUSCLE_STRUCTURE_DEVELOPMENT	0.0295590059879115	2.18213846821902	9	730	1	0.0123287671232877	1	1	AD	msigdbSetsPruned	1.10259657535813	4.31864963206022
myTestGenes	GO_REGULATION_OF_CELL_CYCLE_PROCESS	0.0296901016135211	2.08532575258435	10	830	1	0.0120481927710843	1	1	AD	msigdbSetsPruned	1.08848250996671	3.99508807406053
myTestGenes	GO_POST_GOLGI_VESICLE_MEDIATED_TRANSPORT	0.0305595921633856	4.62005388902886	3	220	1	0.0136363636363636	1	1	AD	msigdbSetsPruned	1.44369362908878	14.7849221659328
myTestGenes	GO_ACTIVATION_OF_JUN_KINASE_ACTIVITY	0.0309303945851882	7.70296355201601	2	164	1	0.0121951219512195	1	1	AD	msigdbSetsPruned	1.83652890860142	32.3085834400903
myTestGenes	REACTOME_DEACTIVATION_OF_THE_BETA_CATENIN_TRANSACTIVATING_COMPLEX	0.0309303945851882	7.70296355201601	2	164	1	0.0121951219512195	1	1	AD	msigdbSetsPruned	1.83652890860142	32.3085834400903
myTestGenes	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX3	0.0313767038940257	4.5702791771114	3	221	1	0.0135746606334842	1	1	AD	msigdbSetsPruned	1.428409626217	14.6228724403493
myTestGenes	GO_POSITIVE_REGULATION_OF_CELL_DEVELOPMENT	0.0318714696064556	2.26818508728683	8	641	1	0.0124804992199688	1	1	AD	msigdbSetsPruned	1.10268317756983	4.66558635775014
myTestGenes	GO_CELL_CYCLE_G1_S_PHASE_TRANSITION	0.0318759415259483	2.95785100146125	5	371	1	0.0134770889487871	1	1	AD	msigdbSetsPruned	1.1987299487107	7.29845997111797
myTestGenes	GO_NEGATIVE_REGULATION_OF_INTERLEUKIN_6_PRODUCTION	0.0324104994344097	7.50013843254978	2	165	1	0.0121212121212121	1	1	AD	msigdbSetsPruned	1.78987690352799	31.4279023303407
myTestGenes	REACTOME_FATTY_ACID_METABOLISM	0.0325300801880669	3.46507589490473	4	293	1	0.0136518771331058	1	1	AD	msigdbSetsPruned	1.26524590663367	9.48965801390749
myTestGenes	GO_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION	0.0327075800753447	1.67293856730406	19	1826	1	0.0104052573932092	1	1	AD	msigdbSetsPruned	1.02472038820514	2.73120695380668
myTestGenes	GO_REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT	0.0330513855640637	1.91209049379238	12	1051	1	0.0114176974310181	1	1	AD	msigdbSetsPruned	1.05119800527849	3.47802225469653
myTestGenes	GO_TAXIS	0.033451846803901	2.13086706010794	9	744	1	0.0120967741935484	1	1	AD	msigdbSetsPruned	1.07680389865535	4.21673290143458
myTestGenes	PID_FOXM1_PATHWAY	0.0339179801434601	7.3078407349246	2	166	1	0.0120481927710843	1	1	AD	msigdbSetsPruned	1.74556466910893	30.5944186154301
myTestGenes	GO_ENDOCYTIC_RECYCLING	0.0339179801434601	7.3078407349246	2	166	1	0.0120481927710843	1	1	AD	msigdbSetsPruned	1.74556466910893	30.5944186154301
myTestGenes	GO_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND	0.034460953297066	1.89909367681707	12	1057	1	0.011352885525071	1	1	AD	msigdbSetsPruned	1.04407616206161	3.45430431646398
myTestGenes	GO_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	0.0345399362892262	2.58521802423154	6	463	1	0.0129589632829374	1	1	AD	msigdbSetsPruned	1.13084782930441	5.9100367526218
