Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	GO_EATING_BEHAVIOR	0.000196475076227736	15.8744327865462	4	192	0.916752705678618	0.0208333333333333	0.916752705678618	0.916752705678618	AD	msigdbSetsPruned	5.50439558593623	45.7811602310033
myTestGenes	KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	0.000575598390100189	8.08660560753591	5	233	1	0.0214592274678112	1	1	AD	msigdbSetsPruned	3.21921491977564	20.3133968627322
myTestGenes	GO_PHOSPHATIDYLETHANOLAMINE_METABOLIC_PROCESS	0.00130930460163042	15.7822225560847	3	185	1	0.0162162162162162	1	1	AD	msigdbSetsPruned	4.66102450998098	53.4385837869809
myTestGenes	GO_RESPONSE_TO_CALCIUM_ION	0.00180243314236607	5.01018212185741	6	298	1	0.0201342281879195	1	1	AD	msigdbSetsPruned	2.17869467282476	11.5215432466423
myTestGenes	GO_PROTEIN_KINASE_C_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	0.0018546286661627	13.8128771390271	3	188	1	0.0159574468085106	1	1	AD	msigdbSetsPruned	4.11798093915895	46.3323113139096
myTestGenes	GO_SA_NODE_CELL_TO_ATRIAL_CARDIAC_MUSCLE_CELL_COMMUNICATION	0.00354540083733324	27.4393305943653	2	172	1	0.0116279069767442	1	1	AD	msigdbSetsPruned	5.78205391498399	130.216160993538
myTestGenes	GO_NEGATIVE_REGULATION_OF_GLYCOLYTIC_PROCESS	0.00430738998915063	24.4020082383938	2	173	1	0.0115606936416185	1	1	AD	msigdbSetsPruned	5.23137403329238	113.82439914966
myTestGenes	GO_POSITIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY	0.00485160638122029	4.06290355048399	6	329	1	0.0182370820668693	1	1	AD	msigdbSetsPruned	1.77250114867072	9.31293346292891
myTestGenes	REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS	0.00559304393566935	4.67641205513006	5	283	1	0.0176678445229682	1	1	AD	msigdbSetsPruned	1.88560145629665	11.5978006043315
myTestGenes	BIOCARTA_RACC_PATHWAY	0.00603599882620832	19.9661122539702	2	175	1	0.0114285714285714	1	1	AD	msigdbSetsPruned	4.39053956632899	90.7965029162582
myTestGenes	GO_PYRIMIDINE_NUCLEOTIDE_BIOSYNTHETIC_PROCESS	0.00615802939055282	8.71768915508593	3	202	1	0.0148514851485149	1	1	AD	msigdbSetsPruned	2.66373665217808	28.5306372694767
myTestGenes	GO_AMINE_METABOLIC_PROCESS	0.00702815913325703	4.41504609470441	5	290	1	0.0172413793103448	1	1	AD	msigdbSetsPruned	1.78197398372958	10.9387859735009
myTestGenes	GO_RESPONSE_TO_POTASSIUM_ION	0.00802887106597806	16.8970208628322	2	177	1	0.0112994350282486	1	1	AD	msigdbSetsPruned	3.78253791576443	75.4808862190315
myTestGenes	GO_ORGANOPHOSPHATE_METABOLIC_PROCESS	0.00829066728263547	2.02190467751339	17	1128	1	0.0150709219858156	1	1	AD	msigdbSetsPruned	1.2186658199033	3.35456895416575
myTestGenes	GO_NEGATIVE_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION	0.0102759588616539	14.6471692730917	2	179	1	0.0111731843575419	1	1	AD	msigdbSetsPruned	3.32252687590391	64.5712061113833
myTestGenes	GO_ATRIAL_CARDIAC_MUSCLE_CELL_TO_AV_NODE_CELL_SIGNALING	0.0102759588616539	14.6471692730917	2	179	1	0.0111731843575419	1	1	AD	msigdbSetsPruned	3.32252687590391	64.5712061113833
myTestGenes	GO_NUCLEOSIDE_PHOSPHATE_BIOSYNTHETIC_PROCESS	0.0107576179206895	3.04638610332999	7	421	1	0.0166270783847981	1	1	AD	msigdbSetsPruned	1.4146194804609	6.56039904634874
