Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	GO_NEGATIVE_REGULATION_OF_CILIUM_ASSEMBLY	0.000136869018141839	146.477983606181	2	38	0.405793479513608	0.0526315789473684	0.638630838649823	0.405793479513608	AD	msigdbSetsPruned	30.2306826380249	709.735864659075
myTestGenes	GO_TRANSLATIONAL_INITIATION	0.000173936339268585	16.5296530391636	4	201	0.405793479513608	0.0199004975124378	0.811586959027216	0.405793479513608	AD	msigdbSetsPruned	5.69184519536848	48.0036649305675
myTestGenes	GO_PROTEIN_LOCALIZATION_TO_MEMBRANE	0.00032879108567181	7.63671624606154	6	622	0.511379735248222	0.00964630225080386	1	0.511379735248222	AD	msigdbSetsPruned	3.09798684083562	18.8249460114329
myTestGenes	GO_NEGATIVE_REGULATION_OF_PLASMA_MEMBRANE_BOUNDED_CELL_PROJECTION_ASSEMBLY	0.000677959952303157	60.2108618196234	2	51	0.749446001218463	0.0392156862745098	1	0.749446001218463	AD	msigdbSetsPruned	13.4891666292209	268.759959804216
myTestGenes	REACTOME_SELENOAMINO_ACID_METABOLISM	0.000824591834310914	18.3687453826775	3	141	0.749446001218463	0.0212765957446809	1	0.749446001218463	AD	msigdbSetsPruned	5.48044816266366	61.5662801506443
myTestGenes	REACTOME_TRANSLATION	0.00111588044350196	9.95274284877669	4	313	0.749446001218463	0.012779552715655	1	0.749446001218463	AD	msigdbSetsPruned	3.44135416411725	28.7843347385563
myTestGenes	GO_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	0.00122846707918417	15.9324642157316	3	158	0.749446001218463	0.0189873417721519	1	0.749446001218463	AD	msigdbSetsPruned	4.76246362755053	53.3008618726453
myTestGenes	SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES	0.00136432492879491	41.369761898348	2	61	0.749446001218463	0.0327868852459016	1	0.749446001218463	AD	msigdbSetsPruned	9.43980489037947	181.302179377693
myTestGenes	GO_NEGATIVE_REGULATION_OF_ORGANELLE_ASSEMBLY	0.00144556665472914	40.177737909599	2	62	0.749446001218463	0.032258064516129	1	0.749446001218463	AD	msigdbSetsPruned	9.1791045055401	175.861449508297
myTestGenes	GO_CELLULAR_MACROMOLECULE_LOCALIZATION	0.00169637893512247	4.00043194709864	9	1844	0.791530411128147	0.00488069414316703	1	0.791530411128147	AD	msigdbSetsPruned	1.81882332787472	8.79879618767992
