Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	postsynaptic.ribosome	0.000176107555127961	31.7099251492962	3	94	0.018315185733308	0.0319148936170213	0.018315185733308	0.018315185733308	AD	syngoAll	9.36478352923636	107.372407470476
myTestGenes	postsynapse	0.00180970143204899	6.5537836775731	5	582	0.0506828460786562	0.00859106529209622	0.188208948933095	0.0506828460786562	AD	syngoAll	2.49129336423028	17.2408762087697
myTestGenes	protein.translation.at.presynapse	0.0028174694138952	28.1906535371215	2	76	0.0506828460786562	0.0263157894736842	0.293016819045101	0.0506828460786562	AD	syngoAll	6.51689248597766	121.946610069139
myTestGenes	presynaptic.ribosome	0.00293193769432341	27.6046012644242	2	77	0.0506828460786562	0.025974025974026	0.304921520209634	0.0506828460786562	AD	syngoAll	6.38512507892784	119.342064806631
myTestGenes	synapse	0.00305926520932242	4.85645082971264	6	944	0.0506828460786562	0.00635593220338983	0.318163581769532	0.0506828460786562	AD	syngoAll	1.97260436289447	11.9563330108473
myTestGenes	protein.translation.at.synapse	0.00341134540914032	25.4856844228914	2	81	0.0506828460786562	0.0246913580246914	0.354779922550594	0.0506828460786562	AD	syngoAll	5.9074223472109	109.949834687183
myTestGenes	protein.translation.at.postsynapse	0.00341134540914032	25.4856844228914	2	81	0.0506828460786562	0.0246913580246914	0.354779922550594	0.0506828460786562	AD	syngoAll	5.9074223472109	109.949834687183
myTestGenes	presynapse	0.00586355260571207	6.19379223323729	4	481	0.0762261838742569	0.00831600831600832	0.609809470994055	0.0762261838742569	AD	syngoAll	2.14670298384679	17.8706893860863
myTestGenes	metabolism	0.00901559257723547	15.2022897265398	2	116	0.104180180892499	0.0172413793103448	0.937621628032488	0.104180180892499	AD	syngoAll	3.55992399190376	64.9198166745313
myTestGenes	neurotransmitter.reuptake	0.0160137954806655	70.9964349045821	1	38	0.166543472998921	0.0263157894736842	1	0.166543472998921	AD	syngoAll	8.70254891305838	579.197407508642
myTestGenes	regulation.of.neurotransmitter.receptor.localization.to.postsynaptic.specialization.membrane	0.0270758284590477	40.0015572594795	1	45	0.255989650885541	0.0222222222222222	1	0.255989650885541	AD	syngoAll	5.1287919691345	311.988591624129
myTestGenes	process.in.the.synapse	0.0313953498786571	3.67975929466531	4	777	0.272093032281695	0.00514800514800515	1	0.272093032281695	AD	syngoAll	1.27739061016172	10.6002254588058
myTestGenes	postsynaptic.density	0.0519333282757259	5.80903693016103	2	255	0.415466626205807	0.00784313725490196	1	0.415466626205807	AD	syngoAll	1.3731282469181	24.5752063812779
myTestGenes	neurotransmitter.receptor.localization.to.postsynaptic.specialization.membrane	0.0610660567087237	16.8197713942409	1	67	0.453633564121947	0.0149253731343284	1	0.453633564121947	AD	syngoAll	2.23139523245167	126.78377440275
myTestGenes	postsynaptic.specialization	0.073578116381719	4.74313195803721	2	305	0.510141606913252	0.00655737704918033	1	0.510141606913252	AD	syngoAll	1.12236952007572	20.044468750217
myTestGenes	presynaptic.active.zone	0.122800378311908	7.97649849304377	1	109	0.798202459027399	0.00917431192660551	1	0.798202459027399	AD	syngoAll	1.07224242503647	59.3378201831227
myTestGenes	regulation.of.postsynaptic.membrane.neurotransmitter.receptor.levels	0.141100999331432	6.85597107021305	1	122	0.863206113556996	0.00819672131147541	1	0.863206113556996	AD	syngoAll	0.923158576293921	50.9168636057091
myTestGenes	postsynaptic.membrane	0.154926997026889	6.18781485714355	1	132	0.8951337605998	0.00757575757575758	1	0.8951337605998	AD	syngoAll	0.834024991757926	45.9087594312759
myTestGenes	presynaptic.membrane	0.179274144933589	5.26312251534415	1	150	0.981290056478592	0.00666666666666667	1	0.981290056478592	AD	syngoAll	0.710373243091154	38.9942313860041
myTestGenes	process.in.the.postsynapse	0.23721573321272	3.82648765234683	1	195	1	0.00512820512820513	1	1	AD	syngoAll	0.517579501018294	28.2893888277179
myTestGenes	process.in.the.presynapse	0.304958526011477	2.83935578454545	1	252	1	0.00396825396825397	1	1	AD	syngoAll	0.384626140207038	20.9604611555837
myTestGenes	synaptic.signaling	1	0	0	191	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	synapse.organization	1	0	0	290	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	transport	1	0	0	61	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	pathway	1	0	0	48	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	regulation.of.presynaptic.cytosolic.calcium.levels	1	0	0	55	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	regulation.of.presynaptic.membrane.potential	1	0	0	67	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	synaptic.vesicle.cycle	1	0	0	189	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.cytosolic.calcium.levels	1	0	0	40	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.membrane.potential	1	0	0	78	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.neurotransmitter.receptor.activity	1	0	0	46	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	trans.synaptic.signaling	1	0	0	189	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	postsynapse.organization	1	0	0	90	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	modification.of.synaptic.structure	1	0	0	59	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	regulation.of.synapse.organization	1	0	0	55	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	structural.constituent.of.synapse	1	0	0	60	1	0	1	1	AD	syngoAll	0	NA
