Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	postsynaptic.actin.cytoskeleton	0.00294716888745983	28.6129892269824	2	111	0.136222037608855	0.018018018018018	0.306505564295822	0.136222037608855	AD	syngoAll	6.37052953146724	128.514144461528
myTestGenes	presynaptic.endocytic.zone	0.00335626803653527	26.5798980934692	2	112	0.136222037608855	0.0178571428571429	0.349051875799668	0.136222037608855	AD	syngoAll	5.95969454565063	118.54483098883
myTestGenes	modification.of.postsynaptic.actin.cytoskeleton	0.00424901303213019	23.2279556087702	2	114	0.136222037608855	0.0175438596491228	0.441897355341539	0.136222037608855	AD	syngoAll	5.26844581715548	102.40931395861
myTestGenes	postsynaptic.cytoskeleton	0.0052393091388021	20.6463200943984	2	116	0.136222037608855	0.0172413793103448	0.544888150435419	0.136222037608855	AD	syngoAll	4.72531457958794	90.2099799411726
myTestGenes	modification.of.postsynaptic.structure	0.0108451409000323	13.7750196751155	2	125	0.200700816510893	0.016	1	0.200700816510893	AD	syngoAll	3.23030439725361	58.7409555616942
myTestGenes	modification.of.synaptic.structure	0.0115788932602438	13.2737396707106	2	126	0.200700816510893	0.0158730158730159	1	0.200700816510893	AD	syngoAll	3.11821325803832	56.5042061801245
myTestGenes	synaptic.vesicle.endocytosis	0.026043796578702	8.44245211418833	2	142	0.386936406312144	0.0140845070422535	1	0.386936406312144	AD	syngoAll	2.01792575835966	35.3209216964955
myTestGenes	presynaptic.endocytic.zone.membrane	0.0634890386579323	16.7388827376502	1	109	0.82535750255312	0.00917431192660551	1	0.82535750255312	AD	syngoAll	2.1401557573631	130.920468914856
myTestGenes	postsynaptic.actin.cytoskeleton.organization	0.0887498863149238	11.5070909976285	1	114	1	0.0087719298245614	1	1	AD	syngoAll	1.51105936228844	87.6293456976883
myTestGenes	postsynaptic.cytoskeleton.organization	0.10358143332364	9.68936581532296	1	117	1	0.00854700854700855	1	1	AD	syngoAll	1.2843270947819	73.09961012626
myTestGenes	postsynapse	0.188577557630207	1.6849707092902	5	651	1	0.00768049155145929	1	1	AD	syngoAll	0.682481748483387	4.16000324913455
myTestGenes	synaptic.vesicle.cycle	0.216915774172378	2.33719745269822	2	256	1	0.0078125	1	1	AD	syngoAll	0.571168517889231	9.56371326817145
myTestGenes	regulation.of.postsynapse.organization	0.218237588286582	4.17945890343861	1	142	1	0.00704225352112676	1	1	AD	syngoAll	0.570076335195996	30.6412942391771
myTestGenes	postsynapse.organization	0.283869613309407	3.06230049544873	1	158	1	0.00632911392405063	1	1	AD	syngoAll	0.420147967535751	22.3199564178007
myTestGenes	process.in.the.presynapse	0.345545795499855	1.65749278046097	2	320	1	0.00625	1	1	AD	syngoAll	0.406070622639287	6.76552836899175
myTestGenes	postsynaptic.density	0.353457680050612	1.62778621285574	2	324	1	0.00617283950617284	1	1	AD	syngoAll	0.398836200207987	6.64354929011324
myTestGenes	synapse.organization	0.417299075900315	1.41773169311647	2	357	1	0.00560224089635854	1	1	AD	syngoAll	0.347636743222803	5.7817914614932
myTestGenes	postsynaptic.specialization	0.448971641777951	1.3291554141433	2	374	1	0.0053475935828877	1	1	AD	syngoAll	0.326023199981039	5.41879876968629
myTestGenes	synapse	0.568016957965532	0.995973831728621	5	1014	1	0.00493096646942801	1	1	AD	syngoAll	0.404024292894212	2.45520848853493
myTestGenes	presynapse	0.714388259587114	0.799889004609043	2	552	1	0.0036231884057971	1	1	AD	syngoAll	0.196582987534807	3.25471917849025
myTestGenes	process.in.the.synapse	0.782931209680616	0.722486480930429	3	847	1	0.00354191263282172	1	1	AD	syngoAll	0.228385989378267	2.28554613419254
myTestGenes	process.in.the.postsynapse	1	0	0	265	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	synaptic.signaling	1	0	0	260	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	metabolism	1	0	0	187	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	transport	1	0	0	130	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	pathway	1	0	0	117	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	regulation.of.presynaptic.cytosolic.calcium.levels	1	0	0	124	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	regulation.of.presynaptic.membrane.potential	1	0	0	136	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	neurotransmitter.reuptake	1	0	0	108	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.cytosolic.calcium.levels	1	0	0	109	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.membrane.potential	1	0	0	147	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.neurotransmitter.receptor.activity	1	0	0	115	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.membrane.neurotransmitter.receptor.levels	1	0	0	192	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	trans.synaptic.signaling	1	0	0	258	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	regulation.of.synapse.organization	1	0	0	124	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	structural.constituent.of.synapse	1	0	0	129	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	synapse.adhesion.between.pre..and.post.synapse	1	0	0	133	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	synapse.assembly	1	0	0	177	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	synapse.maturation	1	0	0	111	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	maintenance.of.synapse.structure	1	0	0	112	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	protein.catabolic.process.at.synapse	1	0	0	111	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	protein.translation.at.synapse	1	0	0	152	1	0	1	1	AD	syngoAll	0	NA
