Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	postsynaptic.ribosome	0.0620014639354717	5.13943069458861	2	173	1	0.0115606936416185	1	1	AD	syngoAll	1.24253124977582	21.2580149346306
myTestGenes	axo.dendritic.transport	0.0746727719651841	14.0388840368985	1	119	1	0.00840336134453781	1	1	AD	syngoAll	1.80919578156213	108.9380524817
myTestGenes	modification.of.postsynaptic.actin.cytoskeleton	0.101898339627108	9.90565617518522	1	124	1	0.00806451612903226	1	1	AD	syngoAll	1.3063860658742	75.1095153447803
myTestGenes	modification.of.postsynaptic.structure	0.159032722304661	6.01174108379722	1	135	1	0.00740740740740741	1	1	AD	syngoAll	0.810506309750701	44.5906841486919
myTestGenes	modification.of.synaptic.structure	0.164044613733496	5.80419008856489	1	136	1	0.00735294117647059	1	1	AD	syngoAll	0.78344876085844	43.0004159394951
myTestGenes	transport	0.173979794453994	5.43004380844468	1	138	1	0.0072463768115942	1	1	AD	syngoAll	0.734513004305576	40.1427552525152
myTestGenes	protein.translation.at.presynapse	0.253840661330355	3.50326353677161	1	155	1	0.00645161290322581	1	1	AD	syngoAll	0.479121998862439	25.6153034868207
myTestGenes	presynaptic.ribosome	0.258292487428136	3.43176273209375	1	156	1	0.00641025641025641	1	1	AD	syngoAll	0.469535947283039	25.0822019432909
myTestGenes	protein.translation.at.synapse	0.275838185607671	3.17205713353024	1	160	1	0.00625	1	1	AD	syngoAll	0.43464909973195	23.1495854117387
myTestGenes	protein.translation.at.postsynapse	0.275838185607671	3.17205713353024	1	160	1	0.00625	1	1	AD	syngoAll	0.43464909973195	23.1495854117387
myTestGenes	modulation.of.chemical.synaptic.transmission	0.372802415576316	2.1806952722873	1	184	1	0.00543478260869565	1	1	AD	syngoAll	0.300513846115903	15.8243353244433
myTestGenes	metabolism	0.412832510161811	1.90686143057308	1	195	1	0.00512820512820513	1	1	AD	syngoAll	0.263191695985332	13.8154834323112
myTestGenes	chemical.synaptic.transmission	0.559881040496739	1.23055893958174	1	243	1	0.00411522633744856	1	1	AD	syngoAll	0.170508693899153	8.88092723694279
myTestGenes	trans.synaptic.signaling	0.616767312464597	1.05123013409186	1	266	1	0.0037593984962406	1	1	AD	syngoAll	0.145811212917645	7.57887389255139
myTestGenes	synaptic.signaling	0.621355086921602	1.03804357915922	1	268	1	0.00373134328358209	1	1	AD	syngoAll	0.143993105422943	7.48323656933926
myTestGenes	postsynapse	0.649524802860174	0.900264536604444	3	662	1	0.00453172205438067	1	1	AD	syngoAll	0.284794903530066	2.84582422586102
myTestGenes	postsynaptic.density	0.745728769102481	0.733490907940521	1	334	1	0.0029940119760479	1	1	AD	syngoAll	0.101925707893401	5.27844175086903
myTestGenes	synapse.organization	0.791748645778563	0.639199783333671	1	367	1	0.00272479564032698	1	1	AD	syngoAll	0.0888713840054794	4.59738944752589
myTestGenes	postsynaptic.specialization	0.812130561683039	0.59939316179567	1	384	1	0.00260416666666667	1	1	AD	syngoAll	0.0833560047528049	4.31009335767524
myTestGenes	process.in.the.synapse	0.830343122786791	0.659617869873664	3	856	1	0.00350467289719626	1	1	AD	syngoAll	0.208829756374889	2.08349490900899
myTestGenes	synapse	0.916623212790542	0.532871245605969	3	1025	1	0.00292682926829268	1	1	AD	syngoAll	0.168771897903023	1.68245879747597
myTestGenes	presynapse	0.936483753057481	0.361219809320668	1	562	1	0.00177935943060498	1	1	AD	syngoAll	0.0503029921658513	2.5938765275724
myTestGenes	process.in.the.presynapse	1	0	0	331	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	process.in.the.postsynapse	1	0	0	274	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	pathway	1	0	0	126	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	regulation.of.presynaptic.cytosolic.calcium.levels	1	0	0	133	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	regulation.of.presynaptic.membrane.potential	1	0	0	145	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	synaptic.vesicle.cycle	1	0	0	267	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	neurotransmitter.reuptake	1	0	0	117	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.cytosolic.calcium.levels	1	0	0	118	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.membrane.potential	1	0	0	156	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.neurotransmitter.receptor.activity	1	0	0	124	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.membrane.neurotransmitter.receptor.levels	1	0	0	201	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	postsynapse.organization	1	0	0	168	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	regulation.of.synapse.organization	1	0	0	133	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	structural.constituent.of.synapse	1	0	0	138	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	synapse.adhesion.between.pre..and.post.synapse	1	0	0	142	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	synapse.assembly	1	0	0	186	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	synapse.maturation	1	0	0	120	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	maintenance.of.synapse.structure	1	0	0	121	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	postsynaptic.cytoskeleton.organization	1	0	0	127	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	protein.catabolic.process.at.synapse	1	0	0	120	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	neurotransmitter.receptor.transport	1	0	0	120	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	postsynaptic.signaling.pathway	1	0	0	125	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	ligand.gated.ion.channel.activity.involved.in.regulation.of.presynaptic.membrane.potential	1	0	0	127	1	0	1	1	AD	syngoAll	0	NA
myTestGenes	voltage.gated.ion.channel.activity.involved.in.regulation.of.presynaptic.membrane.potential	1	0	0	123	1	0	1	1	AD	syngoAll	0	NA
