Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS	0.000122808673491861	4.6758638652099	10	474	0.573025270513024	0.0210970464135021	0.573025270513024	0.573025270513024	BD	msigdbSetsPruned	2.42336057462138	9.02205933155101
myTestGenes	GO_CELLULAR_METABOLIC_COMPOUND_SALVAGE	0.00107631604178247	16.6134595032758	3	143	1	0.020979020979021	1	1	BD	msigdbSetsPruned	4.98760830713975	55.3385550087967
myTestGenes	GO_PROTEIN_TARGETING	0.00130569249058933	3.68661538009086	9	520	1	0.0173076923076923	1	1	BD	msigdbSetsPruned	1.85313087640339	7.33414630007166
myTestGenes	GO_PEROXISOME_ORGANIZATION	0.0015965966231558	8.62383369065146	4	189	1	0.0211640211640212	1	1	BD	msigdbSetsPruned	3.10004432849236	23.9901432506882
myTestGenes	REACTOME_DNA_REPLICATION_PRE_INITIATION	0.00208997719032202	7.98276164780319	4	195	1	0.0205128205128205	1	1	BD	msigdbSetsPruned	2.87492613235729	22.1656072510589
myTestGenes	REACTOME_TRANSLATION	0.00240560686961787	4.09406199946315	7	395	1	0.0177215189873418	1	1	BD	msigdbSetsPruned	1.88862697616779	8.87488311188833
myTestGenes	GO_RNA_DECAPPING	0.00344902203915823	26.5195350424387	2	126	1	0.0158730158730159	1	1	BD	msigdbSetsPruned	5.86746487681077	119.861942701462
myTestGenes	GO_SODIUM_INDEPENDENT_ORGANIC_ANION_TRANSPORT	0.00396321091958889	24.4843191652723	2	127	1	0.015748031496063	1	1	BD	msigdbSetsPruned	5.4616919629858	109.761203863134
myTestGenes	KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	0.00451069354637997	22.7462010494425	2	128	1	0.015625	1	1	BD	msigdbSetsPruned	5.10987564536458	101.252887171727
myTestGenes	REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE	0.00451069354637997	22.7462010494425	2	128	1	0.015625	1	1	BD	msigdbSetsPruned	5.10987564536458	101.252887171727
