Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	GO_TERMINATION_OF_RNA_POLYMERASE_II_TRANSCRIPTION	0.000510489971080729	12.1960089718722	4	228	1	0.0175438596491228	1	1	BD	msigdbSetsPruned	4.25574105885201	34.9510538317647
myTestGenes	GO_MICROTUBULE_BASED_MOVEMENT	0.000631745977365039	3.73048192365035	10	448	1	0.0223214285714286	1	1	BD	msigdbSetsPruned	1.95096645206924	7.13312900276776
myTestGenes	GO_MRNA_CLEAVAGE	0.00151062222571604	15.1779821199642	3	216	1	0.0138888888888889	1	1	BD	msigdbSetsPruned	4.43465870023321	51.9478852390238
myTestGenes	GO_PROTEIN_QUALITY_CONTROL_FOR_MISFOLDED_OR_INCOMPLETELY_SYNTHESIZED_PROTEINS	0.00224376675593657	13.006222526931	3	219	1	0.0136986301369863	1	1	BD	msigdbSetsPruned	3.84773861334861	43.9639594626281
myTestGenes	REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE	0.00412732888458347	3.05421831130728	9	471	1	0.0191082802547771	1	1	BD	msigdbSetsPruned	1.5483875302512	6.02449277772948
myTestGenes	REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS	0.00428814763839761	10.1116058062433	3	225	1	0.0133333333333333	1	1	BD	msigdbSetsPruned	3.04209432886511	33.6099282033104
myTestGenes	GO_HETEROTYPIC_CELL_CELL_ADHESION	0.00456085042723609	6.41084810022902	4	255	1	0.0156862745098039	1	1	BD	msigdbSetsPruned	2.3033465762426	17.8431564698587
myTestGenes	GO_MEMBRANE_ORGANIZATION	0.00497586638801278	2.13019820469291	17	949	1	0.017913593256059	1	1	BD	msigdbSetsPruned	1.28875912665975	3.521018239489
myTestGenes	GO_MACROPINOCYTOSIS	0.00512131777502594	22.6562246168046	2	206	1	0.00970873786407767	1	1	BD	msigdbSetsPruned	4.78046312981968	107.375478054669
myTestGenes	GO_CHAPERONE_MEDIATED_PROTEIN_TRANSPORT	0.00512131777502594	22.6562246168046	2	206	1	0.00970873786407767	1	1	BD	msigdbSetsPruned	4.78046312981968	107.375478054669
myTestGenes	GO_POSITIVE_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS	0.00571938369544291	5.98924377836648	4	259	1	0.0154440154440154	1	1	BD	msigdbSetsPruned	2.15652397645789	16.6337316108213
myTestGenes	GO_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS	0.00575922691931496	2.71254167497659	10	540	1	0.0185185185185185	1	1	BD	msigdbSetsPruned	1.4231447088219	5.17015753413841
myTestGenes	GO_MEMBRANE_HYPERPOLARIZATION	0.00621422160961061	20.1413467370013	2	207	1	0.00966183574879227	1	1	BD	msigdbSetsPruned	4.32373372035267	93.82489177595
myTestGenes	GO_REGULATION_OF_TAU_PROTEIN_KINASE_ACTIVITY	0.00621422160961061	20.1413467370013	2	207	1	0.00966183574879227	1	1	BD	msigdbSetsPruned	4.32373372035267	93.82489177595
myTestGenes	GO_NEURONAL_ION_CHANNEL_CLUSTERING	0.00740330487357243	18.1233334330457	2	208	1	0.00961538461538462	1	1	BD	msigdbSetsPruned	3.94511692826407	83.2561418831958
myTestGenes	GO_UV_DAMAGE_EXCISION_REPAIR	0.00740330487357243	18.1233334330457	2	208	1	0.00961538461538462	1	1	BD	msigdbSetsPruned	3.94511692826407	83.2561418831958
myTestGenes	GO_NEGATIVE_REGULATION_OF_TORC1_SIGNALING	0.00740330487357243	18.1233334330457	2	208	1	0.00961538461538462	1	1	BD	msigdbSetsPruned	3.94511692826407	83.2561418831958
myTestGenes	REACTOME_RHO_GTPASES_ACTIVATE_KTN1	0.00740330487357243	18.1233334330457	2	208	1	0.00961538461538462	1	1	BD	msigdbSetsPruned	3.94511692826407	83.2561418831958
myTestGenes	REACTOME_L1CAM_INTERACTIONS	0.00798485617311531	4.2794438720503	5	305	1	0.0163934426229508	1	1	BD	msigdbSetsPruned	1.72614175543161	10.609580468349
myTestGenes	GO_CHROMOSOME_LOCALIZATION	0.00818997968187588	5.37147920534681	4	266	1	0.0150375939849624	1	1	BD	msigdbSetsPruned	1.94024464517668	14.8706962934799
myTestGenes	GO_STEROL_BIOSYNTHETIC_PROCESS	0.00859170721124695	5.29327444156728	4	267	1	0.0149812734082397	1	1	BD	msigdbSetsPruned	1.91276508339336	14.6482987153041
myTestGenes	GO_NEGATIVE_REGULATION_OF_PROTEIN_OLIGOMERIZATION	0.00868633895475984	16.476693339306	2	209	1	0.00956937799043062	1	1	BD	msigdbSetsPruned	3.62814318716946	74.8265460849496
myTestGenes	GO_LIPOPROTEIN_LOCALIZATION	0.00868633895475984	16.476693339306	2	209	1	0.00956937799043062	1	1	BD	msigdbSetsPruned	3.62814318716946	74.8265460849496
myTestGenes	GO_DNA_TEMPLATED_TRANSCRIPTION_TERMINATION	0.00900611365493722	5.21680610238228	4	268	1	0.0149253731343284	1	1	BD	msigdbSetsPruned	1.88586944763704	14.431044494598
myTestGenes	GO_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY	0.00919689119326412	3.14249132000956	7	403	1	0.0173697270471464	1	1	BD	msigdbSetsPruned	1.45978382293109	6.7648726758096
myTestGenes	GO_OLIGODENDROCYTE_DEVELOPMENT	0.00962971118406092	7.37808634224754	3	235	1	0.0127659574468085	1	1	BD	msigdbSetsPruned	2.25577190729926	24.1319425503591
myTestGenes	GO_MYELIN_MAINTENANCE	0.0100611322253373	15.1058886991395	2	210	1	0.00952380952380952	1	1	BD	msigdbSetsPruned	3.35853798875114	67.9426209127507
myTestGenes	GO_MITOTIC_DNA_REPLICATION	0.0100611322253373	15.1058886991395	2	210	1	0.00952380952380952	1	1	BD	msigdbSetsPruned	3.35853798875114	67.9426209127507
myTestGenes	GO_NEGATIVE_REGULATION_OF_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS	0.0100611322253373	15.1058886991395	2	210	1	0.00952380952380952	1	1	BD	msigdbSetsPruned	3.35853798875114	67.9426209127507
myTestGenes	KEGG_RIBOFLAVIN_METABOLISM	0.0115255295042896	13.9467456306697	2	211	1	0.00947867298578199	1	1	BD	msigdbSetsPruned	3.12638920144639	62.2160905611543
myTestGenes	GO_MEMBRANE_DOCKING	0.0130533461874751	3.25697554098138	6	367	1	0.0163487738419619	1	1	BD	msigdbSetsPruned	1.42507593855759	7.44373642662713
myTestGenes	GO_RNA_POLYADENYLATION	0.0132882326436711	6.49733158868672	3	240	1	0.0125	1	1	BD	msigdbSetsPruned	1.9969005138406	21.1404211079872
myTestGenes	GO_STEROL_TRANSPORT	0.0144425029641718	4.50593365449238	4	279	1	0.014336917562724	1	1	BD	msigdbSetsPruned	1.6348770645174	12.4189387320572
myTestGenes	GO_BLOOD_COAGULATION_INTRINSIC_PATHWAY	0.0147146944230938	12.0817716645205	2	213	1	0.00938967136150235	1	1	BD	msigdbSetsPruned	2.74440222790247	53.1879784491989
myTestGenes	GO_MIDBODY_ABSCISSION	0.0147146944230938	12.0817716645205	2	213	1	0.00938967136150235	1	1	BD	msigdbSetsPruned	2.74440222790247	53.1879784491989
myTestGenes	GO_REGULATION_OF_TELOMERASE_ACTIVITY	0.0149439986517604	6.20137747463312	3	242	1	0.012396694214876	1	1	BD	msigdbSetsPruned	1.90930519933696	20.14192523869
myTestGenes	GO_ENSHEATHMENT_OF_NEURONS	0.0154608558483739	3.60191085105195	5	325	1	0.0153846153846154	1	1	BD	msigdbSetsPruned	1.45739271099397	8.90203558797642
myTestGenes	GO_RNA_3_END_PROCESSING	0.0154608558483739	3.60191085105195	5	325	1	0.0153846153846154	1	1	BD	msigdbSetsPruned	1.45739271099397	8.90203558797642
myTestGenes	GO_REGULATION_OF_MEMBRANE_LIPID_DISTRIBUTION	0.0158136091544087	6.06327259792483	3	243	1	0.0123456790123457	1	1	BD	msigdbSetsPruned	1.86832335656364	19.6771476776717
myTestGenes	GO_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	0.0163468775078449	3.09071859498177	6	376	1	0.0159574468085106	1	1	BD	msigdbSetsPruned	1.35327174104481	7.05884941186382
myTestGenes	GO_DNA_BIOSYNTHETIC_PROCESS	0.0163468775078449	3.09071859498177	6	376	1	0.0159574468085106	1	1	BD	msigdbSetsPruned	1.35327174104481	7.05884941186382
myTestGenes	GO_ESTABLISHMENT_OR_MAINTENANCE_OF_MONOPOLAR_CELL_POLARITY	0.0182373012287265	10.6593010118144	2	215	1	0.00930232558139535	1	1	BD	msigdbSetsPruned	2.4461071278875	46.4496001688166
myTestGenes	GO_CHAPERONE_MEDIATED_PROTEIN_COMPLEX_ASSEMBLY	0.0182373012287265	10.6593010118144	2	215	1	0.00930232558139535	1	1	BD	msigdbSetsPruned	2.4461071278875	46.4496001688166
myTestGenes	GO_CYTOPLASMIC_SEQUESTERING_OF_PROTEIN	0.0201186297549087	10.0646435338702	2	216	1	0.00925925925925926	1	1	BD	msigdbSetsPruned	2.31952949334739	43.671378076633
myTestGenes	REACTOME_CHAPERONE_MEDIATED_AUTOPHAGY	0.0201186297549087	10.0646435338702	2	216	1	0.00925925925925926	1	1	BD	msigdbSetsPruned	2.31952949334739	43.671378076633
myTestGenes	GO_ORGANIC_HYDROXY_COMPOUND_BIOSYNTHETIC_PROCESS	0.0214001822688648	2.63437509293267	7	442	1	0.0158371040723982	1	1	BD	msigdbSetsPruned	1.22614352932776	5.65996717698204
myTestGenes	REACTOME_VISUAL_PHOTOTRANSDUCTION	0.0216019113160245	3.96464387791202	4	290	1	0.0137931034482759	1	1	BD	msigdbSetsPruned	1.44251624079392	10.8965158479008
myTestGenes	REACTOME_INTRAFLAGELLAR_TRANSPORT	0.0216202728344259	5.34907895139749	3	249	1	0.0120481927710843	1	1	BD	msigdbSetsPruned	1.65531218724556	17.2853470473718
myTestGenes	GO_PINOCYTOSIS	0.0220773673895611	9.53766896206091	2	217	1	0.00921658986175115	1	1	BD	msigdbSetsPruned	2.20651990640442	41.2265164550876
myTestGenes	REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC	0.0230991144631739	3.87988954932669	4	292	1	0.0136986301369863	1	1	BD	msigdbSetsPruned	1.41229930181715	10.6588900069593
myTestGenes	GO_DETECTION_OF_VISIBLE_LIGHT	0.0237811712484509	5.14646434960548	3	251	1	0.0119521912350598	1	1	BD	msigdbSetsPruned	1.59454350143428	16.6104563957874
myTestGenes	GO_NEURON_MIGRATION	0.0259324892918584	3.12951814846397	5	344	1	0.0145348837209302	1	1	BD	msigdbSetsPruned	1.26901545318542	7.7177025835117
myTestGenes	GO_LIPID_LOCALIZATION	0.0259542126028897	2.22285434506302	9	571	1	0.0157618213660245	1	1	BD	msigdbSetsPruned	1.13005247098893	4.37243541004916
myTestGenes	GO_VITAMIN_BIOSYNTHETIC_PROCESS	0.0262194443640147	8.62819852382477	2	219	1	0.0091324200913242	1	1	BD	msigdbSetsPruned	2.00931794758638	37.0502885598355
myTestGenes	GO_DNA_STRAND_ELONGATION	0.0262194443640147	8.62819852382477	2	219	1	0.0091324200913242	1	1	BD	msigdbSetsPruned	2.00931794758638	37.0502885598355
myTestGenes	REACTOME_THE_CANONICAL_RETINOID_CYCLE_IN_RODS_TWILIGHT_VISION	0.0262194443640147	8.62819852382477	2	219	1	0.0091324200913242	1	1	BD	msigdbSetsPruned	2.00931794758638	37.0502885598355
myTestGenes	REACTOME_BBSOME_MEDIATED_CARGO_TARGETING_TO_CILIUM	0.0262194443640147	8.62819852382477	2	219	1	0.0091324200913242	1	1	BD	msigdbSetsPruned	2.00931794758638	37.0502885598355
myTestGenes	GO_REGULATION_OF_ANION_TRANSMEMBRANE_TRANSPORT	0.028399051419295	8.23583801820694	2	220	1	0.00909090909090909	1	1	BD	msigdbSetsPruned	1.92343098052038	35.2646019270168
myTestGenes	GO_AMYLOID_PRECURSOR_PROTEIN_METABOLIC_PROCESS	0.0284410177028183	4.78387114486854	3	255	1	0.0117647058823529	1	1	BD	msigdbSetsPruned	1.48542385186972	15.406661944939
myTestGenes	GO_ORGANELLE_LOCALIZATION	0.0308768830786231	1.91713716985356	12	777	1	0.0154440154440154	1	1	BD	msigdbSetsPruned	1.06313120275694	3.45716024372432
myTestGenes	GO_CELL_CYCLE_DNA_REPLICATION	0.0309393554422087	4.62068328288367	3	257	1	0.0116731517509728	1	1	BD	msigdbSetsPruned	1.43615552998033	14.866575071443
myTestGenes	REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION	0.0309393554422087	4.62068328288367	3	257	1	0.0116731517509728	1	1	BD	msigdbSetsPruned	1.43615552998033	14.866575071443
myTestGenes	GO_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS	0.0323347251275198	1.76794092521715	15	986	1	0.0152129817444219	1	1	BD	msigdbSetsPruned	1.03934468153375	3.00729408692909
myTestGenes	GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_CHROMOSOME	0.0329663085844337	7.54946748694784	2	222	1	0.00900900900900901	1	1	BD	msigdbSetsPruned	1.77199092337175	32.1640808565956
myTestGenes	GO_ORGANOPHOSPHATE_ESTER_TRANSPORT	0.0343533262730403	3.40604053988579	4	305	1	0.0131147540983607	1	1	BD	msigdbSetsPruned	1.24286901601833	9.33413900405284
