Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	PID_TELOMERASE_PATHWAY	0.000501648269942826	21.5966688591124	3	105	1	0.0285714285714286	1	1	BD	msigdbSetsPruned	6.50818253790008	71.6661069498286
myTestGenes	GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS	0.00280030613449614	3.26144910250613	10	1568	1	0.00637755102040816	1	1	BD	msigdbSetsPruned	1.60434797338552	6.63013911239691
myTestGenes	GO_HIPPO_SIGNALING	0.00316070701984409	26.4477837211936	2	76	1	0.0263157894736842	1	1	BD	msigdbSetsPruned	6.14313570811946	113.864530591196
myTestGenes	GO_NEGATIVE_REGULATION_OF_TELOMERE_MAINTENANCE	0.00316070701984409	26.4477837211936	2	76	1	0.0263157894736842	1	1	BD	msigdbSetsPruned	6.14313570811946	113.864530591196
myTestGenes	GO_NEGATIVE_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS	0.0033415688696439	25.672279659839	2	77	1	0.025974025974026	1	1	BD	msigdbSetsPruned	5.9700058605679	110.396196976311
myTestGenes	GO_RESPONSE_TO_ENDOGENOUS_STIMULUS	0.00432645371376282	3.05266611600115	10	1663	1	0.00601322910402886	1	1	BD	msigdbSetsPruned	1.5017999027027	6.20506793149413
myTestGenes	GO_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY	0.00452554279454944	21.8086088673178	2	83	1	0.0240963855421687	1	1	BD	msigdbSetsPruned	5.1011295875686	93.2372747178829
myTestGenes	GO_G0_TO_G1_TRANSITION	0.00452554279454944	21.8086088673178	2	83	1	0.0240963855421687	1	1	BD	msigdbSetsPruned	5.1011295875686	93.2372747178829
myTestGenes	GO_DIGESTIVE_SYSTEM_DEVELOPMENT	0.00463014759838816	9.67339674191704	3	181	1	0.0165745856353591	1	1	BD	msigdbSetsPruned	2.95710274194429	31.6440153394894
myTestGenes	GO_REGULATION_OF_CELL_MORPHOGENESIS	0.00484883084191249	4.99850822970933	5	503	1	0.0099403578528827	1	1	BD	msigdbSetsPruned	1.95840534485592	12.7578719023104
myTestGenes	GO_REGULATION_OF_CELL_SHAPE	0.00560155848677974	9.01257239247329	3	191	1	0.0157068062827225	1	1	BD	msigdbSetsPruned	2.75728016657811	29.4589074096075
myTestGenes	GO_VENTRAL_SPINAL_CORD_DEVELOPMENT	0.00563911174019429	19.3694900145946	2	88	1	0.0227272727272727	1	1	BD	msigdbSetsPruned	4.54729924199325	82.5054880841809
myTestGenes	GO_REGULATION_OF_TRANSFERASE_ACTIVITY	0.0058247044980686	3.61746707170602	7	958	1	0.00730688935281837	1	1	BD	msigdbSetsPruned	1.6054596523285	8.1509790644055
myTestGenes	GO_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY	0.0058754063046414	18.9637361309697	2	89	1	0.0224719101123595	1	1	BD	msigdbSetsPruned	4.45489422805675	80.7254380542085
myTestGenes	GO_NEGATIVE_REGULATION_OF_BMP_SIGNALING_PATHWAY	0.00611617674273439	18.5564051006424	2	90	1	0.0222222222222222	1	1	BD	msigdbSetsPruned	4.36188049257052	78.9430546860816
myTestGenes	GO_REGULATION_OF_DNA_METABOLIC_PROCESS	0.00734430397697495	5.6460720765951	4	363	1	0.0110192837465565	1	1	BD	msigdbSetsPruned	2.00573007452035	15.8935293931464
myTestGenes	PID_HDAC_CLASSI_PATHWAY	0.00905389710469884	15.0293130361249	2	101	1	0.0198019801980198	1	1	BD	msigdbSetsPruned	3.55179728952073	63.5960422077783
myTestGenes	GO_REGULATION_OF_ANATOMICAL_STRUCTURE_MORPHOGENESIS	0.00974323754672391	3.26239291319432	7	1052	1	0.00665399239543726	1	1	BD	msigdbSetsPruned	1.44822255252999	7.34915189759149
myTestGenes	REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	0.00976558188517346	5.18340880585431	4	391	1	0.010230179028133	1	1	BD	msigdbSetsPruned	1.84223134269868	14.5843392335566
myTestGenes	GO_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL	0.0105146642862601	3.21176457042203	7	1067	1	0.00656044985941893	1	1	BD	msigdbSetsPruned	1.42579669294761	7.23485452508148
myTestGenes	GO_PROTEIN_PHOSPHORYLATION	0.0109797278227127	2.62900202847645	10	1897	1	0.00527148128624143	1	1	BD	msigdbSetsPruned	1.29364249495698	5.34278341402441
myTestGenes	GO_REGULATION_OF_BEHAVIOR	0.0118385909739589	13.0010568815487	2	110	1	0.0181818181818182	1	1	BD	msigdbSetsPruned	3.08197003016456	54.843972648313
myTestGenes	GO_REGULATION_OF_RESPONSE_TO_DNA_DAMAGE_STIMULUS	0.0119030994969849	6.78756706319387	3	239	1	0.0125523012552301	1	1	BD	msigdbSetsPruned	2.08215448356906	22.1266322940567
myTestGenes	GO_CARDIAC_VENTRICLE_MORPHOGENESIS	0.0128401846614572	12.4448994067157	2	113	1	0.0176991150442478	1	1	BD	msigdbSetsPruned	2.95264980551642	52.4530612990134
myTestGenes	REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI	0.0130401079447194	3.88938166022476	5	630	1	0.00793650793650794	1	1	BD	msigdbSetsPruned	1.52532119617768	9.91744541202228
myTestGenes	GO_REGULATION_OF_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL	0.0139235329423012	6.39186840819818	3	251	1	0.0119521912350598	1	1	BD	msigdbSetsPruned	1.96170837228672	20.8267356784011
myTestGenes	PID_SMAD2_3NUCLEAR_PATHWAY	0.0142311915470872	11.7704298993448	2	117	1	0.0170940170940171	1	1	BD	msigdbSetsPruned	2.79550837949153	49.5591503254913
myTestGenes	GO_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL	0.0149501429148902	11.4596031630605	2	119	1	0.0168067226890756	1	1	BD	msigdbSetsPruned	2.72297992653202	48.227496418631
myTestGenes	GO_REGULATION_OF_ATPASE_ACTIVITY	0.0149501429148902	11.4596031630605	2	119	1	0.0168067226890756	1	1	BD	msigdbSetsPruned	2.72297992653202	48.227496418631
myTestGenes	GO_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING	0.0153154114469375	11.3102424798197	2	120	1	0.0166666666666667	1	1	BD	msigdbSetsPruned	2.68810342767474	47.5880442825717
