Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	protein.translation.at.presynapse	0.110827073067701	8.8717758463778	1	91	1	0.010989010989011	1	1	BD	syngoAll	1.19667762628319	65.7724394103001
myTestGenes	presynaptic.ribosome	0.11295902555225	8.68995420074324	1	92	1	0.0108695652173913	1	1	BD	syngoAll	1.17263042360307	64.3982131889295
myTestGenes	protein.translation.at.synapse	0.121437018113393	8.03054851323259	1	96	1	0.0104166666666667	1	1	BD	syngoAll	1.08525202208997	59.4237173584696
myTestGenes	protein.translation.at.postsynapse	0.121437018113393	8.03054851323259	1	96	1	0.0104166666666667	1	1	BD	syngoAll	1.08525202208997	59.4237173584696
myTestGenes	postsynaptic.ribosome	0.15049130751469	6.34952976413612	1	110	1	0.00909090909090909	1	1	BD	syngoAll	0.861334286828043	46.8070629977131
myTestGenes	integral.component.of.postsynaptic.density.membrane	0.172659291559585	5.45178270222987	1	121	1	0.00826446280991736	1	1	BD	syngoAll	0.741051006859965	40.1078122250623
myTestGenes	metabolism	0.192321024696832	4.82873198354708	1	131	1	0.00763358778625954	1	1	BD	syngoAll	0.657282175676183	35.4743418151319
myTestGenes	postsynaptic.density.membrane	0.205811912092648	4.47206093459924	1	138	1	0.0072463768115942	1	1	BD	syngoAll	0.6092236905019	32.8275628715169
myTestGenes	synapse	0.379325641825585	1.39064204324611	3	961	1	0.00312174817898023	1	1	BD	syngoAll	0.429391102355891	4.50378520149416
myTestGenes	postsynapse	0.387237147471229	1.52510525089999	2	599	1	0.00333889816360601	1	1	BD	syngoAll	0.367961784385419	6.32116193861704
myTestGenes	postsynaptic.density	0.422653677421245	1.857838582697	1	270	1	0.0037037037037037	1	1	BD	syngoAll	0.254590481126744	13.5573183415262
myTestGenes	postsynaptic.specialization	0.488659880572449	1.51814313147476	1	320	1	0.003125	1	1	BD	syngoAll	0.208199964038048	11.0699277893382
myTestGenes	presynapse	0.669032199222586	0.914970204334081	1	498	1	0.00200803212851406	1	1	BD	syngoAll	0.12565154779277	6.66263559442855
myTestGenes	process.in.the.synapse	0.84102630529039	0.544964681024499	1	794	1	0.00125944584382872	1	1	BD	syngoAll	0.0749019076570914	3.96500587039477
myTestGenes	process.in.the.presynapse	1	0	0	267	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	process.in.the.postsynapse	1	0	0	210	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	synaptic.signaling	1	0	0	205	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	synapse.organization	1	0	0	304	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	transport	1	0	0	75	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	pathway	1	0	0	62	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.presynaptic.cytosolic.calcium.levels	1	0	0	69	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.presynaptic.membrane.potential	1	0	0	81	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	synaptic.vesicle.cycle	1	0	0	203	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	neurotransmitter.reuptake	1	0	0	53	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.cytosolic.calcium.levels	1	0	0	54	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.membrane.potential	1	0	0	92	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.neurotransmitter.receptor.activity	1	0	0	60	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.membrane.neurotransmitter.receptor.levels	1	0	0	137	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	trans.synaptic.signaling	1	0	0	203	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	postsynapse.organization	1	0	0	104	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	modification.of.synaptic.structure	1	0	0	73	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.synapse.organization	1	0	0	69	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	structural.constituent.of.synapse	1	0	0	74	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	synapse.adhesion.between.pre..and.post.synapse	1	0	0	78	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	synapse.assembly	1	0	0	122	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	synapse.maturation	1	0	0	56	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	maintenance.of.synapse.structure	1	0	0	57	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	postsynaptic.cytoskeleton.organization	1	0	0	63	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	protein.catabolic.process.at.synapse	1	0	0	56	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	axo.dendritic.transport	1	0	0	56	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	neurotransmitter.receptor.transport	1	0	0	56	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	postsynaptic.signaling.pathway	1	0	0	61	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	ligand.gated.ion.channel.activity.involved.in.regulation.of.presynaptic.membrane.potential	1	0	0	63	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	voltage.gated.ion.channel.activity.involved.in.regulation.of.presynaptic.membrane.potential	1	0	0	59	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.synaptic.vesicle.cycle	1	0	0	57	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	synaptic.vesicle.exocytosis	1	0	0	108	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	synaptic.vesicle.proton.loading	1	0	0	57	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	synaptic.vesicle.endocytosis	1	0	0	89	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	transmitter.gated.ion.channel.activity.involved.in.regulation.of.postsynaptic.membrane.potential	1	0	0	81	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	neurotransmitter.receptor.localization.to.postsynaptic.specialization.membrane	1	0	0	82	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	postsynaptic.neurotransmitter.receptor.endocytosis	1	0	0	76	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	trans.synaptic.signaling.by.trans.synaptic.complex	1	0	0	53	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	chemical.synaptic.transmission	1	0	0	180	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.postsynapse.organization	1	0	0	88	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	modification.of.postsynaptic.structure	1	0	0	72	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	structural.constituent.of.postsynapse	1	0	0	65	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	presynapse.assembly	1	0	0	59	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.synapse.assembly	1	0	0	84	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	postsynaptic.specialization.assembly	1	0	0	73	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.synapse.maturation	1	0	0	53	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	postsynaptic.actin.cytoskeleton.organization	1	0	0	60	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	protein.catabolic.process.at.postsynapse	1	0	0	53	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	neurotransmitter.receptor.transport.to.plasma.membrane	1	0	0	55	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	postsynapse.to.nucleus.signaling.pathway	1	0	0	59	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	calcium.dependent.activation.of.synaptic.vesicle.fusion	1	0	0	55	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.synaptic.vesicle.exocytosis	1	0	0	72	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	synaptic.vesicle.priming	1	0	0	56	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.synaptic.vesicle.endocytosis	1	0	0	57	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.neurotransmitter.receptor.localization.to.postsynaptic.specialization.membrane	1	0	0	60	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.neurotransmitter.receptor.endocytosis	1	0	0	69	1	0	1	1	BD	syngoAll	0	NA
