Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	regulation.of.presynaptic.cytosolic.calcium.levels	0.0135477454580215	12.2765376825862	2	147	1	0.0136054421768707	1	1	BD	syngoAll	2.86948322251742	52.5228292987673
myTestGenes	chemical.synaptic.transmission	0.0677633415931626	3.30665446480514	3	257	1	0.0116731517509728	1	1	BD	syngoAll	1.03845586889454	10.5290596135349
myTestGenes	calcium.dependent.activation.of.synaptic.vesicle.fusion	0.0790824670123622	13.2881963549372	1	134	1	0.00746268656716418	1	1	BD	syngoAll	1.70232357916537	103.726556177961
myTestGenes	trans.synaptic.signaling	0.0970079194767777	2.81862659365947	3	280	1	0.0107142857142857	1	1	BD	syngoAll	0.886798108589733	8.95881012547346
myTestGenes	modulation.of.chemical.synaptic.transmission	0.0997023354255197	3.86718837904171	2	199	1	0.0100502512562814	1	1	BD	syngoAll	0.939078342479149	15.9253443323098
myTestGenes	synaptic.signaling	0.0997607343050525	2.78286678568987	3	282	1	0.0106382978723404	1	1	BD	syngoAll	0.875663857625033	8.8439730376677
myTestGenes	presynaptic.active.zone.cytoplasmic.component	0.116264865962446	8.60057035406613	1	140	1	0.00714285714285714	1	1	BD	syngoAll	1.13559935130147	65.1372425763247
myTestGenes	integral.component.of.postsynaptic.membrane	0.124011993880167	3.37619930827043	2	210	1	0.00952380952380952	1	1	BD	syngoAll	0.821704841622752	13.8720391943351
myTestGenes	process.in.the.synapse	0.143650194249002	1.6003050692962	8	867	1	0.00922722029988466	1	1	BD	syngoAll	0.778631427806495	3.28907391014222
myTestGenes	postsynaptic.membrane	0.159105688263411	2.87730359622135	2	225	1	0.00888888888888889	1	1	BD	syngoAll	0.70189488121906	11.7950368443341
myTestGenes	presynaptic.cytosol	0.163534637961504	5.84592350399668	1	148	1	0.00675675675675676	1	1	BD	syngoAll	0.785852570507392	43.4875737474723
myTestGenes	synapse	0.179360315584665	1.46704909409881	9	1035	1	0.00869565217391304	1	1	BD	syngoAll	0.741824446599048	2.90127004355709
myTestGenes	structural.constituent.of.synapse	0.191795635275464	4.87022121911036	1	153	1	0.0065359477124183	1	1	BD	syngoAll	0.658889169104252	35.9985500373582
myTestGenes	presynaptic.membrane	0.203219814155095	2.44333237897022	2	243	1	0.00823045267489712	1	1	BD	syngoAll	0.597226473353421	9.99599545646979
myTestGenes	synapse.adhesion.between.pre..and.post.synapse	0.213720828057828	4.29675367970915	1	157	1	0.00636942675159236	1	1	BD	syngoAll	0.583500280839809	31.6402455839821
myTestGenes	presynaptic.process.involved.in.chemical.synaptic.transmission	0.245507143063677	3.65133644637496	1	163	1	0.00613496932515337	1	1	BD	syngoAll	0.497963730608922	26.7735520181823
myTestGenes	presynaptic.modulation.of.chemical.synaptic.transmission	0.245507143063677	3.65133644637496	1	163	1	0.00613496932515337	1	1	BD	syngoAll	0.497963730608922	26.7735520181823
myTestGenes	synapse.organization	0.264775432077953	1.7055482379187	3	381	1	0.0078740157480315	1	1	BD	syngoAll	0.538831459766582	5.39852441638746
myTestGenes	regulation.of.postsynapse.organization	0.265986526538538	3.31848288776413	1	167	1	0.00598802395209581	1	1	BD	syngoAll	0.453562938977378	24.2796042842747
myTestGenes	postsynapse	0.33465510935326	1.3260999020386	5	676	1	0.00739644970414201	1	1	BD	syngoAll	0.539738316547042	3.25813620466485
myTestGenes	postsynapse.organization	0.342534644099733	2.43150205584243	1	183	1	0.00546448087431694	1	1	BD	syngoAll	0.334284883357252	17.6861190616494
myTestGenes	synaptic.vesicle.exocytosis	0.360400097756116	2.27902363888482	1	187	1	0.0053475935828877	1	1	BD	syngoAll	0.31363819956712	16.5603193544806
myTestGenes	postsynaptic.ribosome	0.37348241342488	2.17674163081711	1	190	1	0.00526315789473684	1	1	BD	syngoAll	0.299765277787919	15.8063807866519
myTestGenes	presynapse	0.379800237975548	1.29454068184545	4	575	1	0.00695652173913044	1	1	BD	syngoAll	0.475901260551831	3.52139343991162
myTestGenes	presynaptic.active.zone	0.42717279650104	1.82172426196677	1	203	1	0.00492610837438424	1	1	BD	syngoAll	0.251465363484156	13.1973614205022
myTestGenes	process.in.the.presynapse	0.45456295349803	1.31320554366392	2	345	1	0.00579710144927536	1	1	BD	syngoAll	0.322671315452123	5.34447506588336
myTestGenes	metabolism	0.45791779502205	1.65529377910013	1	211	1	0.004739336492891	1	1	BD	syngoAll	0.228743858122029	11.9784527445798
myTestGenes	regulation.of.postsynaptic.membrane.neurotransmitter.receptor.levels	0.476296302612986	1.56585049044435	1	216	1	0.00462962962962963	1	1	BD	syngoAll	0.216512111229667	11.3244831640109
myTestGenes	synaptic.vesicle	0.511219342907898	1.4130354469789	1	226	1	0.00442477876106195	1	1	BD	syngoAll	0.195580345692392	10.2089459314036
