Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	presynaptic.active.zone	0.06839820471268	4.84660331406722	2	174	1	0.0114942528735632	1	1	BD	syngoAll	1.17374329791813	20.0125220954112
myTestGenes	ligand.gated.ion.channel.activity.involved.in.regulation.of.presynaptic.membrane.potential	0.100567757682972	9.99954900532531	1	114	1	0.0087719298245614	1	1	BD	syngoAll	1.32502752122206	75.4633233713378
myTestGenes	integral.component.of.postsynaptic.specialization.membrane	0.173760030738364	5.4258738556801	1	130	1	0.00769230769230769	1	1	BD	syngoAll	0.735701394025758	40.0163807447157
myTestGenes	regulation.of.presynaptic.membrane.potential	0.182484299636209	5.13208979315577	1	132	1	0.00757575757575758	1	1	BD	syngoAll	0.696901089273265	37.7935205589641
myTestGenes	transmitter.gated.ion.channel.activity.involved.in.regulation.of.postsynaptic.membrane.potential	0.182484299636209	5.13208979315577	1	132	1	0.00757575757575758	1	1	BD	syngoAll	0.696901089273265	37.7935205589641
myTestGenes	postsynaptic.specialization.membrane	0.191117408508235	4.86731079295021	1	134	1	0.00746268656716418	1	1	BD	syngoAll	0.661828156288425	35.7958695623176
myTestGenes	integral.component.of.presynaptic.active.zone.membrane	0.195400072844848	4.7456962334091	1	135	1	0.00740740740740741	1	1	BD	syngoAll	0.645690115436468	34.8799403945797
myTestGenes	regulation.of.postsynaptic.membrane.potential	0.228863338961878	3.95326759195895	1	143	1	0.00699300699300699	1	1	BD	syngoAll	0.540038474933764	28.9392800310195
myTestGenes	presynaptic.active.zone.membrane	0.241053812003554	3.72024768365267	1	146	1	0.00684931506849315	1	1	BD	syngoAll	0.508808127643703	27.2013005999283
myTestGenes	postsynapse.organization	0.27649270161659	3.16057023303484	1	155	1	0.00645161290322581	1	1	BD	syngoAll	0.433492656239075	23.0435373106685
myTestGenes	synaptic.vesicle.exocytosis	0.291712940095774	2.96237795556635	1	159	1	0.00628930817610063	1	1	BD	syngoAll	0.406718821758869	21.576781506385
myTestGenes	process.in.the.presynapse	0.331921299470166	1.71125179891818	2	317	1	0.00630914826498423	1	1	BD	syngoAll	0.419048791870592	6.98816647633965
myTestGenes	modulation.of.chemical.synaptic.transmission	0.339023835396811	2.46056260889142	1	172	1	0.00581395348837209	1	1	BD	syngoAll	0.338685949153953	17.8760541067574
myTestGenes	chemical.synaptic.transmission	0.51733034453707	1.38855344445567	1	231	1	0.00432900432900433	1	1	BD	syngoAll	0.192175739931208	10.032903574613
myTestGenes	process.in.the.synapse	0.565755527104466	1.00722823115575	4	843	1	0.00474495848161329	1	1	BD	syngoAll	0.369066837401576	2.74884819448913
myTestGenes	synaptic.vesicle.cycle	0.5731242039922	1.18618936534338	1	254	1	0.00393700787401575	1	1	BD	syngoAll	0.164338279200944	8.56188355686302
myTestGenes	trans.synaptic.signaling	0.5731242039922	1.18618936534338	1	254	1	0.00393700787401575	1	1	BD	syngoAll	0.164338279200944	8.56188355686302
myTestGenes	synaptic.signaling	0.577662862369134	1.17132307931923	1	256	1	0.00390625	1	1	BD	syngoAll	0.162290979218769	8.4539372597932
myTestGenes	process.in.the.postsynapse	0.58880167231823	1.13572457508556	1	261	1	0.00383141762452107	1	1	BD	syngoAll	0.157387290953339	8.19551758366361
myTestGenes	presynapse	0.698215320140443	0.825832930057078	2	549	1	0.00364298724954463	1	1	BD	syngoAll	0.202865737052702	3.36182954438226
myTestGenes	synapse	0.723545990982667	0.813503049773416	4	1012	1	0.00395256916996047	1	1	BD	syngoAll	0.298222634541924	2.21910457268667
myTestGenes	synapse.organization	0.75156535982189	0.721287584372872	1	355	1	0.0028169014084507	1	1	BD	syngoAll	0.100167020870275	5.1938829252417
myTestGenes	postsynaptic.specialization	0.773269154921286	0.67636953738579	1	372	1	0.00268817204301075	1	1	BD	syngoAll	0.0939507092926603	4.86931662940843
myTestGenes	postsynapse	0.798427842238388	0.670390166859163	2	651	1	0.00307219662058372	1	1	BD	syngoAll	0.164772261371901	2.72754025513483
myTestGenes	metabolism	1	0	0	184	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	transport	1	0	0	127	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	pathway	1	0	0	114	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.presynaptic.cytosolic.calcium.levels	1	0	0	121	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	neurotransmitter.reuptake	1	0	0	105	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.cytosolic.calcium.levels	1	0	0	106	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.neurotransmitter.receptor.activity	1	0	0	112	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.membrane.neurotransmitter.receptor.levels	1	0	0	189	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	modification.of.synaptic.structure	1	0	0	125	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.synapse.organization	1	0	0	121	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	structural.constituent.of.synapse	1	0	0	126	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	synapse.adhesion.between.pre..and.post.synapse	1	0	0	130	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	synapse.assembly	1	0	0	174	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	synapse.maturation	1	0	0	108	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	maintenance.of.synapse.structure	1	0	0	109	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	postsynaptic.cytoskeleton.organization	1	0	0	115	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	protein.catabolic.process.at.synapse	1	0	0	108	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	protein.translation.at.synapse	1	0	0	149	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	axo.dendritic.transport	1	0	0	108	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	neurotransmitter.receptor.transport	1	0	0	108	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	postsynaptic.signaling.pathway	1	0	0	113	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	voltage.gated.ion.channel.activity.involved.in.regulation.of.presynaptic.membrane.potential	1	0	0	111	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.synaptic.vesicle.cycle	1	0	0	109	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	synaptic.vesicle.proton.loading	1	0	0	109	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	synaptic.vesicle.endocytosis	1	0	0	141	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	neurotransmitter.receptor.localization.to.postsynaptic.specialization.membrane	1	0	0	134	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	postsynaptic.neurotransmitter.receptor.endocytosis	1	0	0	128	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	trans.synaptic.signaling.by.trans.synaptic.complex	1	0	0	105	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.postsynapse.organization	1	0	0	140	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	modification.of.postsynaptic.structure	1	0	0	124	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	structural.constituent.of.postsynapse	1	0	0	117	1	0	1	1	BD	syngoAll	0	NA
