Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY	0.000610368482860262	67.2738817110627	2	70	1	0.0285714285714286	1	1	BD	msigdbSetsPruned	14.2306498555629	318.030111513487
myTestGenes	BIOCARTA_MHC_PATHWAY	0.00073084332700597	60.5687667850896	2	71	1	0.028169014084507	1	1	BD	msigdbSetsPruned	12.9903390899709	282.407986770636
myTestGenes	BIOCARTA_CTL_PATHWAY	0.000861838945705135	55.0175159631825	2	72	1	0.0277777777777778	1	1	BD	msigdbSetsPruned	11.9348447245814	253.620983985212
myTestGenes	BIOCARTA_EIF_PATHWAY	0.00100328493367004	50.4451732000496	2	73	1	0.0273972602739726	1	1	BD	msigdbSetsPruned	11.048002266794	230.332637315928
myTestGenes	REACTOME_HIV_INFECTION	0.00110993986183916	6.98804583328874	5	287	1	0.0174216027874564	1	1	BD	msigdbSetsPruned	2.77321288695148	17.608739955707
myTestGenes	BIOCARTA_MCALPAIN_PATHWAY	0.00167217644728614	37.8700191921011	2	77	1	0.025974025974026	1	1	BD	msigdbSetsPruned	8.51735054642392	168.378458276822
myTestGenes	GO_POSITIVE_REGULATION_OF_T_CELL_CYTOKINE_PRODUCTION	0.00167217644728614	37.8700191921011	2	77	1	0.025974025974026	1	1	BD	msigdbSetsPruned	8.51735054642392	168.378458276822
myTestGenes	GO_POSITIVE_REGULATION_OF_CELL_DEATH	0.00190426811528428	3.91056899353445	8	727	1	0.0110041265474553	1	1	BD	msigdbSetsPruned	1.85194795022111	8.2575484107786
myTestGenes	BIOCARTA_NKCELLS_PATHWAY	0.00206751895638013	33.6746995010623	2	79	1	0.0253164556962025	1	1	BD	msigdbSetsPruned	7.64199930525119	148.388574925364
myTestGenes	GO_HEMATOPOIETIC_STEM_CELL_PROLIFERATION	0.00228017481138672	31.8935883573283	2	80	1	0.025	1	1	BD	msigdbSetsPruned	7.26529751076277	140.008165777084
