Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	axo.dendritic.transport	0.04322491234117	24.8534717114847	1	73	1	0.0136986301369863	1	1	BD	syngoAll	3.18126824393896	194.166291160898
myTestGenes	synaptic.vesicle.priming	0.04322491234117	24.8534717114847	1	73	1	0.0136986301369863	1	1	BD	syngoAll	3.18126824393896	194.166291160898
myTestGenes	synapse	0.0911738431374769	2.02755223186559	6	976	1	0.00614754098360656	1	1	BD	syngoAll	0.870685540011384	4.7215301782655
myTestGenes	transport	0.103113059640465	9.61407548157924	1	92	1	0.0108695652173913	1	1	BD	syngoAll	1.29149571930901	71.568527857728
myTestGenes	protein.translation.at.synapse	0.167860975408377	5.61768479289154	1	114	1	0.0087719298245614	1	1	BD	syngoAll	0.764407552217114	41.2847601266522
myTestGenes	protein.translation.at.postsynapse	0.167860975408377	5.61768479289154	1	114	1	0.0087719298245614	1	1	BD	syngoAll	0.764407552217114	41.2847601266522
myTestGenes	synaptic.vesicle.exocytosis	0.198488086834221	4.64952304397895	1	125	1	0.008	1	1	BD	syngoAll	0.634648630565963	34.063044486857
myTestGenes	metabolism	0.261513938626769	3.37719685520259	1	149	1	0.00671140939597315	1	1	BD	syngoAll	0.462879732335303	24.640220346758
myTestGenes	integral.component.of.presynaptic.membrane	0.310290753074939	2.74869615343995	1	169	1	0.00591715976331361	1	1	BD	syngoAll	0.377504620780219	20.0138756667942
myTestGenes	presynaptic.membrane	0.340281532486809	2.45173134255587	1	182	1	0.00549450549450549	1	1	BD	syngoAll	0.337043921306577	17.8344310520978
myTestGenes	synaptic.vesicle.cycle	0.420783680373289	1.86190147745902	1	220	1	0.00454545454545455	1	1	BD	syngoAll	0.256448993642636	13.5179985014679
myTestGenes	presynapse	0.460319886357394	1.30423935770792	2	515	1	0.00388349514563107	1	1	BD	syngoAll	0.317689507318456	5.35441134506601
myTestGenes	process.in.the.synapse	0.472370461390534	1.18591241171393	3	810	1	0.0037037037037037	1	1	BD	syngoAll	0.370725006874899	3.79361581273566
myTestGenes	process.in.the.presynapse	0.535078711274917	1.32276927840293	1	284	1	0.00352112676056338	1	1	BD	syngoAll	0.182510639672943	9.5869400656427
myTestGenes	postsynapse	0.568635518825981	1.05880132441033	2	617	1	0.00324149108589951	1	1	BD	syngoAll	0.258046854260364	4.34440577772727
myTestGenes	process.in.the.postsynapse	1	0	0	228	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	synaptic.signaling	1	0	0	223	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	synapse.organization	1	0	0	322	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	pathway	1	0	0	80	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.presynaptic.cytosolic.calcium.levels	1	0	0	87	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.presynaptic.membrane.potential	1	0	0	99	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	neurotransmitter.reuptake	1	0	0	71	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.cytosolic.calcium.levels	1	0	0	72	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.membrane.potential	1	0	0	110	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.neurotransmitter.receptor.activity	1	0	0	78	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.membrane.neurotransmitter.receptor.levels	1	0	0	155	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	trans.synaptic.signaling	1	0	0	221	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	postsynapse.organization	1	0	0	122	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	modification.of.synaptic.structure	1	0	0	91	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.synapse.organization	1	0	0	87	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	structural.constituent.of.synapse	1	0	0	92	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	synapse.adhesion.between.pre..and.post.synapse	1	0	0	96	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	synapse.assembly	1	0	0	140	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	synapse.maturation	1	0	0	74	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	maintenance.of.synapse.structure	1	0	0	75	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	postsynaptic.cytoskeleton.organization	1	0	0	81	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	protein.catabolic.process.at.synapse	1	0	0	74	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	neurotransmitter.receptor.transport	1	0	0	74	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	postsynaptic.signaling.pathway	1	0	0	79	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	ligand.gated.ion.channel.activity.involved.in.regulation.of.presynaptic.membrane.potential	1	0	0	81	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	voltage.gated.ion.channel.activity.involved.in.regulation.of.presynaptic.membrane.potential	1	0	0	77	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.synaptic.vesicle.cycle	1	0	0	75	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	synaptic.vesicle.proton.loading	1	0	0	75	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	synaptic.vesicle.endocytosis	1	0	0	107	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	transmitter.gated.ion.channel.activity.involved.in.regulation.of.postsynaptic.membrane.potential	1	0	0	99	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	neurotransmitter.receptor.localization.to.postsynaptic.specialization.membrane	1	0	0	100	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	postsynaptic.neurotransmitter.receptor.endocytosis	1	0	0	94	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	trans.synaptic.signaling.by.trans.synaptic.complex	1	0	0	71	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	chemical.synaptic.transmission	1	0	0	198	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.postsynapse.organization	1	0	0	106	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	modification.of.postsynaptic.structure	1	0	0	90	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	structural.constituent.of.postsynapse	1	0	0	83	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	presynapse.assembly	1	0	0	77	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.synapse.assembly	1	0	0	102	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	postsynaptic.specialization.assembly	1	0	0	91	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.synapse.maturation	1	0	0	71	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	postsynaptic.actin.cytoskeleton.organization	1	0	0	78	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	protein.catabolic.process.at.postsynapse	1	0	0	71	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	protein.translation.at.presynapse	1	0	0	110	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	neurotransmitter.receptor.transport.to.plasma.membrane	1	0	0	73	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	postsynapse.to.nucleus.signaling.pathway	1	0	0	77	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	calcium.dependent.activation.of.synaptic.vesicle.fusion	1	0	0	73	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.synaptic.vesicle.exocytosis	1	0	0	90	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.synaptic.vesicle.endocytosis	1	0	0	75	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.neurotransmitter.receptor.localization.to.postsynaptic.specialization.membrane	1	0	0	78	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.neurotransmitter.receptor.endocytosis	1	0	0	87	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	modulation.of.chemical.synaptic.transmission	1	0	0	139	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	presynaptic.process.involved.in.chemical.synaptic.transmission	1	0	0	102	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	postsynaptic.process.involved.in.chemical.synaptic.transmission	1	0	0	84	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	modification.of.postsynaptic.actin.cytoskeleton	1	0	0	79	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	structural.constituent.of.postsynaptic.density	1	0	0	71	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.presynapse.assembly	1	0	0	87	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	postsynaptic.density.assembly	1	0	0	80	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	presynaptic.modulation.of.chemical.synaptic.transmission	1	0	0	102	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	postsynaptic.modulation.of.chemical.synaptic.transmission	1	0	0	83	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.density.assembly	1	0	0	75	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	synaptic.membrane	1	0	0	76	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	synaptic.cleft	1	0	0	77	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	presynaptic.cytosol	1	0	0	87	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	presynaptic.active.zone	1	0	0	142	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	presynaptic.endocytic.zone	1	0	0	77	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	synaptic.vesicle	1	0	0	165	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	neuronal.dense.core.vesicle	1	0	0	74	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	presynaptic.ribosome	1	0	0	111	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	postsynaptic.cytosol	1	0	0	83	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	postsynaptic.cytoskeleton	1	0	0	81	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	postsynaptic.specialization	1	0	0	339	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	postsynaptic.membrane	1	0	0	165	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	postsynaptic.ribosome	1	0	0	129	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	presynaptic.active.zone.cytoplasmic.component	1	0	0	79	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	presynaptic.active.zone.membrane	1	0	0	113	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	presynaptic.endocytic.zone.membrane	1	0	0	73	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	synaptic.vesicle.membrane	1	0	0	139	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	postsynaptic.actin.cytoskeleton	1	0	0	76	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	postsynaptic.specialization.membrane	1	0	0	101	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	postsynaptic.density	1	0	0	289	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	integral.component.of.postsynaptic.membrane	1	0	0	150	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	integral.component.of.presynaptic.active.zone.membrane	1	0	0	102	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	anchored.component.of.synaptic.vesicle.membrane	1	0	0	79	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	integral.component.of.synaptic.vesicle.membrane	1	0	0	103	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	integral.component.of.postsynaptic.specialization.membrane	1	0	0	97	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	postsynaptic.density..intracellular.component	1	0	0	95	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	postsynaptic.density.membrane	1	0	0	157	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	integral.component.of.postsynaptic.density.membrane	1	0	0	140	1	0	1	1	BD	syngoAll	0	NA
