Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	GO_REGULATION_OF_MACROAUTOPHAGY	0.000154467171981103	6.64749242743475	7	282	0.704625187973685	0.024822695035461	0.720743824463825	0.704625187973685	BD	msigdbSetsPruned	3.0525129706563	14.4763203293782
myTestGenes	GO_REGULATION_OF_CATABOLIC_PROCESS	0.000302025369898708	2.85818860647496	17	1036	0.704625187973685	0.0164092664092664	1	0.704625187973685	BD	msigdbSetsPruned	1.70807123189788	4.78272917289651
myTestGenes	GO_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	0.000558912036832957	8.11159550362003	5	217	0.842745240815533	0.0230414746543779	1	0.842745240815533	BD	msigdbSetsPruned	3.23872866032422	20.3159907837916
myTestGenes	GO_IONOTROPIC_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	0.000722456271594971	19.4318029947969	3	150	0.842745240815533	0.02	1	0.842745240815533	BD	msigdbSetsPruned	5.74226739642396	65.7571202385573
myTestGenes	GO_LIPID_LOCALIZATION	0.00165944383620366	3.54410097134892	9	501	1	0.0179640718562874	1	1	BD	msigdbSetsPruned	1.78599821513558	7.03284672328904
myTestGenes	GO_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	0.00213984097382451	2.82347841766767	12	759	1	0.0158102766798419	1	1	BD	msigdbSetsPruned	1.55012402750312	5.14283388528348
myTestGenes	GO_POSITIVE_REGULATION_OF_CATABOLIC_PROCESS	0.00222952246402909	3.38643664284224	9	518	1	0.0173745173745174	1	1	BD	msigdbSetsPruned	1.70710449753107	6.71778040100667
myTestGenes	GO_MITOCHONDRIAL_ELECTRON_TRANSPORT_UBIQUINOL_TO_CYTOCHROME_C	0.00265102563410172	31.4365778228747	2	137	1	0.0145985401459854	1	1	BD	msigdbSetsPruned	6.72466807429934	146.960179193175
myTestGenes	GO_NEGATIVE_REGULATION_OF_SKELETAL_MUSCLE_TISSUE_DEVELOPMENT	0.00265102563410172	31.4365778228747	2	137	1	0.0145985401459854	1	1	BD	msigdbSetsPruned	6.72466807429934	146.960179193175
myTestGenes	GO_REGULATION_OF_PROTEIN_DEUBIQUITINATION	0.00316644258855518	28.3009614639264	2	138	1	0.0144927536231884	1	1	BD	msigdbSetsPruned	6.13866807747108	130.475277319866
