Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	GO_REGULATION_OF_AXONOGENESIS	0.000461481872682117	6.61139964818663	6	268	1	0.0223880597014925	1	1	BD	msigdbSetsPruned	2.85845158945904	15.2917073947418
myTestGenes	BIOCARTA_BTG2_PATHWAY	0.00176095895631263	38.8849221795872	2	113	1	0.0176991150442478	1	1	BD	msigdbSetsPruned	8.29865125332626	182.202761238641
myTestGenes	GO_POSITIVE_REGULATION_OF_COLLATERAL_SPROUTING	0.00176095895631263	38.8849221795872	2	113	1	0.0176991150442478	1	1	BD	msigdbSetsPruned	8.29865125332626	182.202761238641
myTestGenes	GO_REGULATION_OF_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY	0.00176095895631263	38.8849221795872	2	113	1	0.0176991150442478	1	1	BD	msigdbSetsPruned	8.29865125332626	182.202761238641
myTestGenes	GO_RNA_SPLICING_VIA_ENDONUCLEOLYTIC_CLEAVAGE_AND_LIGATION	0.00288079862826811	29.1643260258395	2	116	1	0.0172413793103448	1	1	BD	msigdbSetsPruned	6.44544128157569	131.962712153282
myTestGenes	REACTOME_TRNA_PROCESSING	0.0029066161203153	7.25584301256935	4	202	1	0.0198019801980198	1	1	BD	msigdbSetsPruned	2.61920372916472	20.1004821567817
myTestGenes	GO_CELL_PROJECTION_ORGANIZATION	0.00323953280204094	2.28564918683341	17	1512	1	0.0112433862433862	1	1	BD	msigdbSetsPruned	1.35535811457821	3.85447369892938
myTestGenes	PID_DNA_PK_PATHWAY	0.00377033268463189	25.0110095720431	2	118	1	0.0169491525423729	1	1	BD	msigdbSetsPruned	5.61233860797179	111.459882146865
myTestGenes	GO_DNA_LIGATION	0.00377033268463189	25.0110095720431	2	118	1	0.0169491525423729	1	1	BD	msigdbSetsPruned	5.61233860797179	111.459882146865
myTestGenes	GO_RESPONSE_TO_GAMMA_RADIATION	0.00438388093008557	9.80004059554797	3	158	1	0.0189873417721519	1	1	BD	msigdbSetsPruned	3.01450495778724	31.8595580432834
myTestGenes	GO_ESTABLISHMENT_OR_MAINTENANCE_OF_CYTOSKELETON_POLARITY	0.00477111262341065	21.8666586344879	2	120	1	0.0166666666666667	1	1	BD	msigdbSetsPruned	4.96362044009926	96.3310481950674
myTestGenes	GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	0.00506335613367925	9.28431718860526	3	161	1	0.0186335403726708	1	1	BD	msigdbSetsPruned	2.8604094018787	30.1350378732556
myTestGenes	REACTOME_SIGNAL_TRANSDUCTION_BY_L1	0.00588050397481988	19.4398761563991	2	122	1	0.0163934426229508	1	1	BD	msigdbSetsPruned	4.45274968008887	84.8708802711303
myTestGenes	GO_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL	0.00645219564245667	2.36607477262428	13	1122	1	0.0115864527629234	1	1	BD	msigdbSetsPruned	1.31871822766266	4.2452661320771
myTestGenes	GO_ALDITOL_METABOLIC_PROCESS	0.00709591722680711	17.4982149808172	2	124	1	0.0161290322580645	1	1	BD	msigdbSetsPruned	4.03720508549152	75.8414598790734
myTestGenes	GO_AXON_DEVELOPMENT	0.00791166273919884	2.98199625318651	8	590	1	0.0135593220338983	1	1	BD	msigdbSetsPruned	1.44155376885695	6.16855357470943
myTestGenes	GO_POSITIVE_REGULATION_OF_NF_KAPPAB_TRANSCRIPTION_FACTOR_ACTIVITY	0.00909691752175866	5.17950722852822	4	241	1	0.016597510373444	1	1	BD	msigdbSetsPruned	1.87998467040066	14.2699541931152
myTestGenes	GO_COLLATERAL_SPROUTING	0.00911227243630441	15.2126659708903	2	127	1	0.015748031496063	1	1	BD	msigdbSetsPruned	3.54007868083957	65.3728989681665
myTestGenes	REACTOME_WNT_LIGAND_BIOGENESIS_AND_TRAFFICKING	0.00911227243630441	15.2126659708903	2	127	1	0.015748031496063	1	1	BD	msigdbSetsPruned	3.54007868083957	65.3728989681665
myTestGenes	GO_POSITIVE_REGULATION_OF_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	0.00954627974601268	5.10401078133371	4	243	1	0.0164609053497942	1	1	BD	msigdbSetsPruned	1.85295085088476	14.0591565305317
myTestGenes	GO_RESPONSE_TO_IONIZING_RADIATION	0.00977628413289359	5.06761267115238	4	244	1	0.0163934426229508	1	1	BD	msigdbSetsPruned	1.83991617016846	13.9575370884821
myTestGenes	REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES	0.010581700335604	13.9979737100793	2	129	1	0.0155038759689922	1	1	BD	msigdbSetsPruned	3.27239712965185	59.8775943825977
myTestGenes	GO_REGULATION_OF_VIRAL_ENTRY_INTO_HOST_CELL	0.011353053618574	13.4500929594697	2	130	1	0.0153846153846154	1	1	BD	msigdbSetsPruned	3.15071958910749	57.4170425206327
myTestGenes	REACTOME_VEGFR2_MEDIATED_VASCULAR_PERMEABILITY	0.011353053618574	13.4500929594697	2	130	1	0.0153846153846154	1	1	BD	msigdbSetsPruned	3.15071958910749	57.4170425206327
myTestGenes	GO_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	0.0121947158180419	2.57676859615371	9	738	1	0.0121951219512195	1	1	BD	msigdbSetsPruned	1.29482553996213	5.12790039522868
myTestGenes	GO_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	0.0144085335637206	1.9283443430491	17	1749	1	0.00971983990851915	1	1	BD	msigdbSetsPruned	1.14390789363298	3.25070919264286
myTestGenes	PID_EPO_PATHWAY	0.0146757424210223	11.6594729486489	2	134	1	0.0149253731343284	1	1	BD	msigdbSetsPruned	2.74990589893075	49.4356223218895
myTestGenes	GO_NEUROGENESIS	0.015424604055148	1.94975939471667	16	1629	1	0.0098219766728054	1	1	BD	msigdbSetsPruned	1.14161172949045	3.32999530320411
myTestGenes	GO_MOVEMENT_IN_ENVIRONMENT_OF_OTHER_ORGANISM_INVOLVED_IN_SYMBIOTIC_INTERACTION	0.0155642622858754	11.2829624215935	2	135	1	0.0148148148148148	1	1	BD	msigdbSetsPruned	2.66491463490846	47.7708513959448
myTestGenes	GO_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS	0.0157177410383277	2.24182842941625	11	1000	1	0.011	1	1	BD	msigdbSetsPruned	1.19572862131429	4.20312319815075
myTestGenes	REACTOME_GLUCOSE_METABOLISM	0.0158075167936931	6.00337275168315	3	192	1	0.015625	1	1	BD	msigdbSetsPruned	1.86840592329232	19.2894295326065
myTestGenes	GO_REGULATION_OF_CELL_SIZE	0.0160928470467718	4.34674559015085	4	267	1	0.0149812734082397	1	1	BD	msigdbSetsPruned	1.58120955117043	11.9492050952451
myTestGenes	REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	0.0164723059670373	3.10205398060254	6	450	1	0.0133333333333333	1	1	BD	msigdbSetsPruned	1.35111137702419	7.12209153309483
myTestGenes	REACTOME_GLUCONEOGENESIS	0.0164753416453468	10.9313566058786	2	136	1	0.0147058823529412	1	1	BD	msigdbSetsPruned	2.58533723301659	46.2201045646411
myTestGenes	GO_REGULATION_OF_CELLULAR_RESPONSE_TO_DRUG	0.0164753416453468	10.9313566058786	2	136	1	0.0147058823529412	1	1	BD	msigdbSetsPruned	2.58533723301659	46.2201045646411
myTestGenes	GO_NON_RECOMBINATIONAL_REPAIR	0.0167462174637237	5.86935125078623	3	194	1	0.0154639175257732	1	1	BD	msigdbSetsPruned	1.82745430830701	18.8509687758051
myTestGenes	GO_REGULATION_OF_RESPONSE_TO_DRUG	0.0172270665040496	5.80455010995527	3	195	1	0.0153846153846154	1	1	BD	msigdbSetsPruned	1.80764144190096	18.6390957841448
myTestGenes	REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES	0.0174086951252714	10.6005069677524	2	137	1	0.0145985401459854	1	1	BD	msigdbSetsPruned	2.51025543201887	44.7646667904995
myTestGenes	GO_TRNA_METABOLIC_PROCESS	0.0180794554987393	4.19098927547135	4	273	1	0.0146520146520147	1	1	BD	msigdbSetsPruned	1.52518123526769	11.5162648877155
myTestGenes	GO_REGULATION_OF_CELL_MORPHOGENESIS	0.0183322796605329	2.74454650376072	7	562	1	0.0124555160142349	1	1	BD	msigdbSetsPruned	1.26737783637994	5.94340164005133
myTestGenes	GO_REGULATION_OF_CELL_DIFFERENTIATION	0.0224483156672585	1.82393579557942	17	1834	1	0.00926935659760087	1	1	BD	msigdbSetsPruned	1.08208957826339	3.07436819762641
myTestGenes	GO_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION	0.0224590796109374	5.22784020428343	3	205	1	0.0146341463414634	1	1	BD	msigdbSetsPruned	1.63096482818937	16.7571444393827
myTestGenes	GO_LIMBIC_SYSTEM_DEVELOPMENT	0.0224590796109374	5.22784020428343	3	205	1	0.0146341463414634	1	1	BD	msigdbSetsPruned	1.63096482818937	16.7571444393827
myTestGenes	KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	0.0230247358492398	5.17631570158566	3	206	1	0.0145631067961165	1	1	BD	msigdbSetsPruned	1.61514889824296	16.5893338203248
myTestGenes	REACTOME_SIGNALING_BY_VEGF	0.0235981180337611	5.1256066258024	3	207	1	0.0144927536231884	1	1	BD	msigdbSetsPruned	1.59957740066679	16.4242400971144
myTestGenes	REACTOME_METABOLISM_OF_CARBOHYDRATES	0.0239632415146923	3.20893250199301	5	381	1	0.0131233595800525	1	1	BD	msigdbSetsPruned	1.29658186090481	7.94184163209045
myTestGenes	REACTOME_ADAPTIVE_IMMUNE_SYSTEM	0.0247480106892959	2.2675151126623	9	821	1	0.0109622411693057	1	1	BD	msigdbSetsPruned	1.14000591164838	4.51017379262309
myTestGenes	GO_RESPONSE_TO_CATECHOLAMINE	0.0265808503890762	4.88609648502258	3	212	1	0.0141509433962264	1	1	BD	msigdbSetsPruned	1.52596333869024	15.6451588682605
myTestGenes	REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC	0.0275163891073921	3.66520954864577	4	297	1	0.0134680134680135	1	1	BD	msigdbSetsPruned	1.33570732485067	10.0574136156557
myTestGenes	GO_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY	0.0279062808766037	8.1304390518134	2	147	1	0.0136054421768707	1	1	BD	msigdbSetsPruned	1.94356759097777	34.0117006900679
myTestGenes	GO_RNA_SPLICING	0.0283440065784961	2.72372236701721	6	497	1	0.0120724346076459	1	1	BD	msigdbSetsPruned	1.18727566150244	6.248476047426
myTestGenes	GO_INTERACTION_WITH_HOST	0.0297910907297538	3.57108741759734	4	302	1	0.0132450331125828	1	1	BD	msigdbSetsPruned	1.30173058323593	9.79670102888767
myTestGenes	GO_POSITIVE_REGULATION_OF_CELL_DEVELOPMENT	0.0318047202160689	2.43290883011407	7	619	1	0.0113085621970921	1	1	BD	msigdbSetsPruned	1.12414452175851	5.26537759254282
myTestGenes	GO_TYPE_I_INTERFERON_PRODUCTION	0.0324346088473785	4.50893203560918	3	221	1	0.0135746606334842	1	1	BD	msigdbSetsPruned	1.4098292986953	14.4205175197857
myTestGenes	GO_REGULATION_OF_ANATOMICAL_STRUCTURE_MORPHOGENESIS	0.0328226459731406	1.98582734139346	11	1109	1	0.00991884580703336	1	1	BD	msigdbSetsPruned	1.05957556269972	3.72178291822631
myTestGenes	GO_REGULATION_OF_NEURONAL_SYNAPTIC_PLASTICITY	0.0351482034300012	7.13356440797041	2	153	1	0.0130718954248366	1	1	BD	msigdbSetsPruned	1.71180529396103	29.7275287920805
myTestGenes	GO_RESPONSE_TO_RADIATION	0.0358105325095927	2.56988614652103	6	520	1	0.0115384615384615	1	1	BD	msigdbSetsPruned	1.12058266374308	5.89364356576809
myTestGenes	KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	0.0366807289064936	4.28712028209608	3	227	1	0.013215859030837	1	1	BD	msigdbSetsPruned	1.34139827458315	13.7016728449805
myTestGenes	GO_DEVELOPMENTAL_GROWTH_INVOLVED_IN_MORPHOGENESIS	0.0372687969842055	3.31712254231004	4	317	1	0.0126182965299685	1	1	BD	msigdbSetsPruned	1.20997445265754	9.09382998668621
myTestGenes	GO_PROTEIN_K48_LINKED_UBIQUITINATION	0.0390126780447545	6.71971720253438	2	156	1	0.0128205128205128	1	1	BD	msigdbSetsPruned	1.61505495166397	27.9585528873271
myTestGenes	GO_DENDRITE_DEVELOPMENT	0.0405363909726946	3.22514908425703	4	323	1	0.0123839009287926	1	1	BD	msigdbSetsPruned	1.1767138669285	8.83952072633811
myTestGenes	GO_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT	0.0405363909726946	3.22514908425703	4	323	1	0.0123839009287926	1	1	BD	msigdbSetsPruned	1.1767138669285	8.83952072633811
myTestGenes	GO_CELL_GROWTH	0.0456601113413604	2.41507911583689	6	546	1	0.010989010989011	1	1	BD	msigdbSetsPruned	1.05342455039434	5.53680577652015
myTestGenes	PID_BCR_5PATHWAY	0.0471960925773446	6.02295535386001	2	162	1	0.0123456790123457	1	1	BD	msigdbSetsPruned	1.45148004396595	24.9924147048362
myTestGenes	GO_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	0.0471960925773446	6.02295535386001	2	162	1	0.0123456790123457	1	1	BD	msigdbSetsPruned	1.45148004396595	24.9924147048362
myTestGenes	GO_PHOTORECEPTOR_CELL_DIFFERENTIATION	0.0471960925773446	6.02295535386001	2	162	1	0.0123456790123457	1	1	BD	msigdbSetsPruned	1.45148004396595	24.9924147048362
myTestGenes	GO_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	0.0476375680070298	3.84608432660287	3	241	1	0.012448132780083	1	1	BD	msigdbSetsPruned	1.20505725659149	12.2752380158106
myTestGenes	GO_MONOSACCHARIDE_CATABOLIC_PROCESS	0.0500517445330439	5.8216082326884	2	164	1	0.0121951219512195	1	1	BD	msigdbSetsPruned	1.40404620399181	24.1381817197685
myTestGenes	GO_NUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS	0.0518989685676727	3.70975116917184	3	246	1	0.0121951219512195	1	1	BD	msigdbSetsPruned	1.16283589053713	11.8350782334512
myTestGenes	GO_POSITIVE_REGULATION_OF_GROWTH	0.0538730294732002	2.92711714993136	4	345	1	0.0115942028985507	1	1	BD	msigdbSetsPruned	1.06882383574451	8.01630214716732
myTestGenes	GO_POSITIVE_REGULATION_OF_DENDRITE_DEVELOPMENT	0.0559440482225409	5.45741533376719	2	168	1	0.0119047619047619	1	1	BD	msigdbSetsPruned	1.31806463686554	22.5962986125358
myTestGenes	GO_RESPONSE_TO_PARATHYROID_HORMONE	0.0563640517184067	19.2604476210105	1	113	1	0.00884955752212389	1	1	BD	msigdbSetsPruned	2.41807983229571	153.412983974767
myTestGenes	GO_PROTEIN_CHROMOPHORE_LINKAGE	0.0563640517184067	19.2604476210105	1	113	1	0.00884955752212389	1	1	BD	msigdbSetsPruned	2.41807983229571	153.412983974767
myTestGenes	GO_FOREBRAIN_NEURON_FATE_COMMITMENT	0.0563640517184067	19.2604476210105	1	113	1	0.00884955752212389	1	1	BD	msigdbSetsPruned	2.41807983229571	153.412983974767
myTestGenes	GO_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_SYNAPSE	0.0563640517184067	19.2604476210105	1	113	1	0.00884955752212389	1	1	BD	msigdbSetsPruned	2.41807983229571	153.412983974767
myTestGenes	GO_POSITIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_MEDIATED_SIGNALING_PATHWAY	0.0563640517184067	19.2604476210105	1	113	1	0.00884955752212389	1	1	BD	msigdbSetsPruned	2.41807983229571	153.412983974767
myTestGenes	GO_ESCRT_COMPLEX_DISASSEMBLY	0.0563640517184067	19.2604476210105	1	113	1	0.00884955752212389	1	1	BD	msigdbSetsPruned	2.41807983229571	153.412983974767
myTestGenes	REACTOME_ZINC_INFLUX_INTO_CELLS_BY_THE_SLC39_GENE_FAMILY	0.0563640517184067	19.2604476210105	1	113	1	0.00884955752212389	1	1	BD	msigdbSetsPruned	2.41807983229571	153.412983974767
myTestGenes	REACTOME_MET_RECEPTOR_RECYCLING	0.0563640517184067	19.2604476210105	1	113	1	0.00884955752212389	1	1	BD	msigdbSetsPruned	2.41807983229571	153.412983974767
myTestGenes	GO_PROTEIN_POLYMERIZATION	0.057878139732203	2.85505806741397	4	351	1	0.0113960113960114	1	1	BD	msigdbSetsPruned	1.04271212400513	7.81745640109727
myTestGenes	GO_CELLULAR_RESPONSE_TO_IONIZING_RADIATION	0.0589772222660114	5.29154997877936	2	170	1	0.0117647058823529	1	1	BD	msigdbSetsPruned	1.2788236441849	21.8955141353888
myTestGenes	BIOCARTA_NPC_PATHWAY	0.0618243609945552	17.3330262503305	1	114	1	0.0087719298245614	1	1	BD	msigdbSetsPruned	2.19865203002546	136.64454169729
