Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	postsynaptic.specialization	0.0778110269105116	2.56973216319689	4	378	1	0.0105820105820106	1	1	BD	syngoAll	0.939220988948352	7.03085159751653
myTestGenes	maintenance.of.synapse.structure	0.0780182356014847	13.3300792636026	1	117	1	0.00854700854700855	1	1	BD	syngoAll	1.72777498405615	102.843839512468
myTestGenes	postsynaptic.actin.cytoskeleton	0.0833544314664652	12.3815576141705	1	118	1	0.00847457627118644	1	1	BD	syngoAll	1.6131541524222	95.0330560305314
myTestGenes	postsynaptic.actin.cytoskeleton.organization	0.0939352290154817	10.8350082768642	1	120	1	0.00833333333333333	1	1	BD	syngoAll	1.42361323141327	82.464395363319
myTestGenes	postsynapse	0.104660837246009	1.92172931219734	6	656	1	0.00914634146341463	1	1	BD	syngoAll	0.839107310833315	4.40115763702606
myTestGenes	postsynaptic.cytoskeleton.organization	0.109580030139947	9.1228516712483	1	123	1	0.00813008130081301	1	1	BD	syngoAll	1.20992608207733	68.7863695546638
myTestGenes	postsynaptic.cytoskeleton	0.109580030139947	9.1228516712483	1	123	1	0.00813008130081301	1	1	BD	syngoAll	1.20992608207733	68.7863695546638
myTestGenes	postsynaptic.cytosol	0.119860959487554	8.25229268443998	1	125	1	0.008	1	1	BD	syngoAll	1.09970214582639	61.9261631962047
myTestGenes	regulation.of.postsynaptic.neurotransmitter.receptor.endocytosis	0.140071419240432	6.93018331994516	1	129	1	0.00775193798449612	1	1	BD	syngoAll	0.930260075814317	51.6279716787852
myTestGenes	postsynaptic.density	0.145698730152401	2.3303606304173	3	329	1	0.00911854103343465	1	1	BD	syngoAll	0.733614771701578	7.40249634723549
myTestGenes	postsynaptic.neurotransmitter.receptor.endocytosis	0.174339742892815	5.41418681963488	1	136	1	0.00735294117647059	1	1	BD	syngoAll	0.732883975733111	39.9973527714063
myTestGenes	postsynaptic.density..intracellular.component	0.17912351262757	5.24992463102129	1	137	1	0.0072992700729927	1	1	BD	syngoAll	0.711295670164856	38.7485961007131
myTestGenes	integral.component.of.postsynaptic.specialization.membrane	0.188608853387918	4.94940724762709	1	139	1	0.00719424460431655	1	1	BD	syngoAll	0.671696730007158	36.4697801976831
myTestGenes	synapse.organization	0.192239188553687	2.02855269019539	3	362	1	0.00828729281767956	1	1	BD	syngoAll	0.639207133574827	6.43770352481093
myTestGenes	transmitter.gated.ion.channel.activity.involved.in.regulation.of.postsynaptic.membrane.potential	0.197985631548381	4.68071114626546	1	141	1	0.00709219858156028	1	1	BD	syngoAll	0.636175858781443	34.4386800164646
myTestGenes	postsynaptic.specialization.membrane	0.207255077714267	4.44060162501545	1	143	1	0.00699300699300699	1	1	BD	syngoAll	0.604347432495118	32.6284877403681
myTestGenes	regulation.of.synapse.assembly	0.211849932081866	4.32913832634347	1	144	1	0.00694444444444444	1	1	BD	syngoAll	0.589541648706172	31.7898467220195
myTestGenes	trans.synaptic.signaling	0.236577968208082	2.19889182940389	2	262	1	0.00763358778625954	1	1	BD	syngoAll	0.537818313371395	8.99025778261339
myTestGenes	synaptic.signaling	0.240852198010631	2.17137939308911	2	264	1	0.00757575757575758	1	1	BD	syngoAll	0.531146466852003	8.8768141425777
myTestGenes	regulation.of.postsynaptic.membrane.potential	0.247671658522173	3.60637434874634	1	152	1	0.00657894736842105	1	1	BD	syngoAll	0.493093079172492	26.3762289365775
myTestGenes	process.in.the.postsynapse	0.251553267433092	2.10492951183249	2	269	1	0.00743494423791822	1	1	BD	syngoAll	0.515025041913234	8.60293750634714
myTestGenes	process.in.the.synapse	0.268788484837576	1.40606262056184	6	850	1	0.00705882352941176	1	1	BD	syngoAll	0.614616018519047	3.21666216527345
myTestGenes	modulation.of.chemical.synaptic.transmission	0.364521050484423	2.24444885682666	1	181	1	0.00552486187845304	1	1	BD	syngoAll	0.309217152150201	16.2913041397637
myTestGenes	synapse.assembly	0.368212187638831	2.21554052126008	1	182	1	0.00549450549450549	1	1	BD	syngoAll	0.305283711167783	16.0788788323123
myTestGenes	integral.component.of.postsynaptic.density.membrane	0.368212187638831	2.21554052126008	1	182	1	0.00549450549450549	1	1	BD	syngoAll	0.305283711167783	16.0788788323123
myTestGenes	metabolism	0.403975386012337	1.96271645461883	1	192	1	0.00520833333333333	1	1	BD	syngoAll	0.270828819763292	14.2239510721143
myTestGenes	regulation.of.postsynaptic.membrane.neurotransmitter.receptor.levels	0.421097598155874	1.85672302248464	1	197	1	0.0050761421319797	1	1	BD	syngoAll	0.256354997763866	13.4478376169595
myTestGenes	postsynaptic.density.membrane	0.427809266291866	1.81748353312489	1	199	1	0.0050251256281407	1	1	BD	syngoAll	0.250992373853636	13.1607440595243
myTestGenes	synapse	0.442722917005893	1.13508606830349	6	1019	1	0.00588812561334642	1	1	BD	syngoAll	0.496451787856932	2.59525781550408
myTestGenes	postsynaptic.membrane	0.453893915421138	1.67548718445594	1	207	1	0.00483091787439614	1	1	BD	syngoAll	0.2315664835511	12.1228999215537
myTestGenes	chemical.synaptic.transmission	0.549606007907307	1.26661207178774	1	240	1	0.00416666666666667	1	1	BD	syngoAll	0.175457431880693	9.14356333158534
myTestGenes	presynapse	0.931364690057064	0.371804561451465	1	559	1	0.00178890876565295	1	1	BD	syngoAll	0.0517631522840606	2.67059917752891
myTestGenes	process.in.the.presynapse	1	0	0	328	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	transport	1	0	0	136	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	pathway	1	0	0	123	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.presynaptic.cytosolic.calcium.levels	1	0	0	130	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.presynaptic.membrane.potential	1	0	0	142	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	synaptic.vesicle.cycle	1	0	0	264	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	neurotransmitter.reuptake	1	0	0	114	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.cytosolic.calcium.levels	1	0	0	115	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.neurotransmitter.receptor.activity	1	0	0	121	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	postsynapse.organization	1	0	0	165	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	modification.of.synaptic.structure	1	0	0	134	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.synapse.organization	1	0	0	130	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	structural.constituent.of.synapse	1	0	0	135	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	synapse.adhesion.between.pre..and.post.synapse	1	0	0	139	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	synapse.maturation	1	0	0	117	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	protein.catabolic.process.at.synapse	1	0	0	117	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	protein.translation.at.synapse	1	0	0	158	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	axo.dendritic.transport	1	0	0	117	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	neurotransmitter.receptor.transport	1	0	0	117	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	postsynaptic.signaling.pathway	1	0	0	122	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	ligand.gated.ion.channel.activity.involved.in.regulation.of.presynaptic.membrane.potential	1	0	0	124	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	voltage.gated.ion.channel.activity.involved.in.regulation.of.presynaptic.membrane.potential	1	0	0	120	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.synaptic.vesicle.cycle	1	0	0	118	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	synaptic.vesicle.exocytosis	1	0	0	169	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	synaptic.vesicle.proton.loading	1	0	0	118	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	synaptic.vesicle.endocytosis	1	0	0	150	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	neurotransmitter.receptor.localization.to.postsynaptic.specialization.membrane	1	0	0	143	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	trans.synaptic.signaling.by.trans.synaptic.complex	1	0	0	114	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.postsynapse.organization	1	0	0	149	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	modification.of.postsynaptic.structure	1	0	0	133	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	structural.constituent.of.postsynapse	1	0	0	126	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	presynapse.assembly	1	0	0	120	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	postsynaptic.specialization.assembly	1	0	0	134	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.synapse.maturation	1	0	0	114	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	protein.catabolic.process.at.postsynapse	1	0	0	114	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	protein.translation.at.presynapse	1	0	0	153	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	protein.translation.at.postsynapse	1	0	0	158	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	neurotransmitter.receptor.transport.to.plasma.membrane	1	0	0	116	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	postsynapse.to.nucleus.signaling.pathway	1	0	0	120	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	calcium.dependent.activation.of.synaptic.vesicle.fusion	1	0	0	116	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	regulation.of.synaptic.vesicle.exocytosis	1	0	0	133	1	0	1	1	BD	syngoAll	0	NA
myTestGenes	synaptic.vesicle.priming	1	0	0	117	1	0	1	1	BD	syngoAll	0	NA
