Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	GO_POSITIVE_REGULATION_OF_CELL_ADHESION_MEDIATED_BY_INTEGRIN	0.000342807267588589	25.7596738682581	3	142	1	0.0211267605633803	1	1	PD	msigdbSetsPruned	7.45259895677448	89.0375024401166
myTestGenes	GO_REGENERATION	0.00171711397487493	5.06371104276562	6	301	1	0.0199335548172757	1	1	PD	msigdbSetsPruned	2.20048288307944	11.6525194182575
myTestGenes	GO_CALCIUM_ION_IMPORT	0.00175858989357338	8.3983571786051	4	195	1	0.0205128205128205	1	1	PD	msigdbSetsPruned	3.01827765341918	23.3684277586348
myTestGenes	GO_SYNAPSE_PRUNING	0.00253026923369634	32.2060970742624	2	134	1	0.0149253731343284	1	1	PD	msigdbSetsPruned	6.88761707736037	150.593837768101
myTestGenes	GO_NEGATIVE_REGULATION_OF_INTERLEUKIN_17_PRODUCTION	0.00302254281915644	28.9936079794629	2	135	1	0.0148148148148148	1	1	PD	msigdbSetsPruned	6.28737810537627	133.701089639887
myTestGenes	GO_NEGATIVE_REGULATION_OF_LONG_TERM_SYNAPTIC_POTENTIATION	0.00302254281915644	28.9936079794629	2	135	1	0.0148148148148148	1	1	PD	msigdbSetsPruned	6.28737810537627	133.701089639887
myTestGenes	REACTOME_METABOLISM_OF_STEROIDS	0.00354170270091066	5.23500128686016	5	266	1	0.018796992481203	1	1	PD	msigdbSetsPruned	2.10756738262363	13.0032561233282
myTestGenes	GO_REGULATION_OF_HISTONE_H4_ACETYLATION	0.00355589295113423	26.331222684567	2	136	1	0.0147058823529412	1	1	PD	msigdbSetsPruned	5.77588270671315	120.039364244432
myTestGenes	GO_POSITIVE_REGULATION_OF_RESPONSE_TO_OXIDATIVE_STRESS	0.00474348663257127	22.2961535123443	2	138	1	0.0144927536231884	1	1	PD	msigdbSetsPruned	4.97866873241823	99.8496763219201
myTestGenes	KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	0.00539657712251557	20.7098272187739	2	139	1	0.0143884892086331	1	1	PD	msigdbSetsPruned	4.6571920356829	92.093463216742
myTestGenes	GO_ELECTRON_TRANSPORT_CHAIN	0.00593236620489106	4.60751092390079	5	285	1	0.0175438596491228	1	1	PD	msigdbSetsPruned	1.85824910081052	11.4242793953757
myTestGenes	GO_MEMBRANE_PROTEIN_PROTEOLYSIS	0.00661120262692567	8.41697830075588	3	177	1	0.0169491525423729	1	1	PD	msigdbSetsPruned	2.59326380834988	27.3190577400126
myTestGenes	GO_HISTONE_H4_ACETYLATION	0.00765950539200522	7.9567578182484	3	180	1	0.0166666666666667	1	1	PD	msigdbSetsPruned	2.45567219809235	25.7811262543259
myTestGenes	GO_LIVER_MORPHOGENESIS	0.00839105412899955	16.1038787935192	2	143	1	0.013986013986014	1	1	PD	msigdbSetsPruned	3.69669279377339	70.1532225326312
myTestGenes	GO_AMYLOID_PRECURSOR_PROTEIN_METABOLIC_PROCESS	0.00840980273969902	7.67695862844473	3	182	1	0.0164835164835165	1	1	PD	msigdbSetsPruned	2.37179052976489	24.8486082743126
myTestGenes	GO_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.00920184465596605	7.41631017868524	3	184	1	0.016304347826087	1	1	PD	msigdbSetsPruned	2.29349369774374	23.9816035773628
myTestGenes	PID_ERA_GENOMIC_PATHWAY	0.00961366662444783	7.29258054608022	3	185	1	0.0162162162162162	1	1	PD	msigdbSetsPruned	2.25627341954588	23.5706056545981
myTestGenes	GO_REGULATION_OF_MEMBRANE_PROTEIN_ECTODOMAIN_PROTEOLYSIS	0.0101098393106483	14.4957167430809	2	145	1	0.0137931034482759	1	1	PD	msigdbSetsPruned	3.35181112093861	62.6902281524724
myTestGenes	GO_CELLULAR_COMPONENT_DISASSEMBLY	0.0107060129421677	2.6230323361309	9	638	1	0.0141065830721003	1	1	PD	msigdbSetsPruned	1.32374625478209	5.1975963002977
myTestGenes	GO_REGULATION_OF_PROTEIN_ACETYLATION	0.0109129748805528	6.9422986513745	3	188	1	0.0159574468085106	1	1	PD	msigdbSetsPruned	2.15069307537014	22.4092926679376
myTestGenes	GO_LOCOMOTORY_BEHAVIOR	0.011019705160989	3.93678577895811	5	312	1	0.016025641025641	1	1	PD	msigdbSetsPruned	1.59077640282242	9.74258999687773
myTestGenes	GO_AXONAL_FASCICULATION	0.011022727963964	13.8073135447712	2	146	1	0.0136986301369863	1	1	PD	msigdbSetsPruned	3.20263044487232	59.5266642858703
