Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	protein.catabolic.process.at.postsynapse	0.0673920058750946	15.9822090219675	1	134	1	0.00746268656716418	1	1	PD	syngoAll	2.00956596536201	127.107549403507
myTestGenes	protein.catabolic.process.at.synapse	0.0867165767349221	11.9863782519126	1	137	1	0.0072992700729927	1	1	PD	syngoAll	1.54667353923365	92.8917835299046
myTestGenes	synaptic.cleft	0.105643860585434	9.5859186262664	1	140	1	0.00714285714285714	1	1	PD	syngoAll	1.25649372155809	73.1319499117391
myTestGenes	regulation.of.postsynaptic.neurotransmitter.receptor.activity	0.111866074501325	8.98930978147471	1	141	1	0.00709219858156028	1	1	PD	syngoAll	1.18294662611028	68.3105125486731
myTestGenes	postsynaptic.density.assembly	0.124181960586755	7.98991014608211	1	143	1	0.00699300699300699	1	1	PD	syngoAll	1.05838046600616	60.3173113949878
myTestGenes	integral.component.of.postsynaptic.membrane	0.127307738933076	3.32093111951475	2	212	1	0.00943396226415094	1	1	PD	syngoAll	0.808401231462917	13.6424625190188
myTestGenes	ligand.gated.ion.channel.activity.involved.in.regulation.of.presynaptic.membrane.potential	0.130276218821369	7.56940298689105	1	144	1	0.00694444444444444	1	1	PD	syngoAll	1.005469779373	56.9841707362741
myTestGenes	regulation.of.postsynaptic.membrane.neurotransmitter.receptor.levels	0.139046901086756	3.13956288719683	2	217	1	0.00921658986175115	1	1	PD	syngoAll	0.76490094727351	12.886446484082
myTestGenes	postsynaptic.membrane	0.163171838800938	2.83021101380246	2	227	1	0.00881057268722467	1	1	PD	syngoAll	0.69053335600791	11.5998659774474
myTestGenes	postsynaptic.specialization.assembly	0.188951891903871	4.95625370676047	1	154	1	0.00649350649350649	1	1	PD	syngoAll	0.669873973991018	36.670257032715
myTestGenes	transport	0.200206933239581	4.63667648752247	1	156	1	0.00641025641025641	1	1	PD	syngoAll	0.628020998394454	34.2325637278143
myTestGenes	postsynaptic.density..intracellular.component	0.211307018893835	4.35534439449663	1	158	1	0.00632911392405063	1	1	PD	syngoAll	0.591025236353161	32.0951181572532
myTestGenes	regulation.of.presynaptic.membrane.potential	0.23305076011965	3.88367021108349	1	162	1	0.00617283950617284	1	1	PD	syngoAll	0.528682821291546	28.5291931211431
myTestGenes	neurotransmitter.receptor.localization.to.postsynaptic.specialization.membrane	0.238393120386299	3.78132740668511	1	163	1	0.00613496932515337	1	1	PD	syngoAll	0.515103751163062	27.7583630953245
myTestGenes	chemical.synaptic.transmission	0.246553892693386	2.13455117328109	2	260	1	0.00769230769230769	1	1	PD	syngoAll	0.522505891658058	8.72010973292042
myTestGenes	presynaptic.process.involved.in.chemical.synaptic.transmission	0.248967340647699	3.59217690504537	1	165	1	0.00606060606060606	1	1	PD	syngoAll	0.489958086741806	26.3364056361442
myTestGenes	presynaptic.modulation.of.chemical.synaptic.transmission	0.248967340647699	3.59217690504537	1	165	1	0.00606060606060606	1	1	PD	syngoAll	0.489958086741806	26.3364056361442
myTestGenes	process.in.the.synapse	0.268726411265854	1.36261440342085	7	870	1	0.00804597701149425	1	1	PD	syngoAll	0.633444849370363	2.93114390977447
myTestGenes	trans.synaptic.signaling	0.305733972568636	1.8215546767819	2	283	1	0.00706713780918728	1	1	PD	syngoAll	0.446546058092897	7.43050214053337
myTestGenes	synaptic.signaling	0.310857228734141	1.79842779486176	2	285	1	0.00701754385964912	1	1	PD	syngoAll	0.440924259734568	7.33536987798849
myTestGenes	process.in.the.postsynapse	0.323630818141321	1.74350772997399	2	290	1	0.00689655172413793	1	1	PD	syngoAll	0.427570025879196	7.10952363470381
myTestGenes	modulation.of.chemical.synaptic.transmission	0.420299744044598	1.86222367091909	1	202	1	0.00495049504950495	1	1	PD	syngoAll	0.256967336331569	13.4954000381462
myTestGenes	synapse.assembly	0.424346799727056	1.83827388190352	1	203	1	0.00492610837438424	1	1	PD	syngoAll	0.253703480945416	13.3196866369197
myTestGenes	metabolism	0.463307095374309	1.62841048171869	1	213	1	0.00469483568075117	1	1	PD	syngoAll	0.225057749137935	11.7824012153702
myTestGenes	integral.component.of.presynaptic.membrane	0.53355066596031	1.32539194199267	1	233	1	0.00429184549356223	1	1	PD	syngoAll	0.183553166152516	9.57032687978519
myTestGenes	synapse.organization	0.543969922899205	1.10486773780732	2	384	1	0.00520833333333333	1	1	PD	syngoAll	0.271769278656238	4.49179805783559
myTestGenes	postsynapse	0.545865161192589	1.03255966682853	4	679	1	0.00589101620029455	1	1	PD	syngoAll	0.379989507627869	2.80581290840583
myTestGenes	presynaptic.membrane	0.574236047099751	1.18213746927498	1	246	1	0.0040650406504065	1	1	PD	syngoAll	0.163872237818689	8.52767384436416
myTestGenes	synapse	0.622747509437447	0.933630010446008	6	1040	1	0.00576923076923077	1	1	PD	syngoAll	0.410056842549884	2.12571747610668
myTestGenes	process.in.the.presynapse	0.792425701616535	0.637760357314414	1	348	1	0.0028735632183908	1	1	PD	syngoAll	0.0887344204053167	4.58377111727253
myTestGenes	postsynaptic.density	0.79820897084205	0.626380558783491	1	352	1	0.00284090909090909	1	1	PD	syngoAll	0.0871578046679405	4.50163477518426
myTestGenes	postsynaptic.specialization	0.858332317019667	0.51186279167936	1	402	1	0.00248756218905473	1	1	PD	syngoAll	0.0712783940498136	3.67577750591132
myTestGenes	presynapse	0.960116988258293	0.308466580542022	1	580	1	0.00172413793103448	1	1	PD	syngoAll	0.0430140188666961	2.21210744353301
myTestGenes	pathway	1	0	0	144	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	regulation.of.presynaptic.cytosolic.calcium.levels	1	0	0	151	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	synaptic.vesicle.cycle	1	0	0	285	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	neurotransmitter.reuptake	1	0	0	135	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.cytosolic.calcium.levels	1	0	0	136	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.membrane.potential	1	0	0	174	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	postsynapse.organization	1	0	0	186	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	modification.of.synaptic.structure	1	0	0	155	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	regulation.of.synapse.organization	1	0	0	151	1	0	1	1	PD	syngoAll	0	NA
