Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	GO_REGULATION_OF_HELICASE_ACTIVITY	0.00017573325335486	127.465251639111	2	40	0.819971360153775	0.05	0.819971360153775	0.819971360153775	PD	msigdbSetsPruned	26.7098953715492	608.29105278818
myTestGenes	KEGG_CELL_CYCLE	0.00105653591720854	16.7807475006754	3	148	1	0.0202702702702703	1	1	PD	msigdbSetsPruned	5.02163460418611	56.0760606609413
myTestGenes	GO_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL	0.00126844657082024	5.03095113412321	7	1054	1	0.00664136622390892	1	1	PD	msigdbSetsPruned	2.15371893476643	11.751983466998
myTestGenes	PID_FOXO_PATHWAY	0.0028934743556127	27.776536347882	2	76	1	0.0263157894736842	1	1	PD	msigdbSetsPruned	6.42841116596039	120.019698735301
myTestGenes	GO_REGULATION_OF_ORGANELLE_ORGANIZATION	0.00294338658882757	4.29829661862895	7	1217	1	0.0057518488085456	1	1	PD	msigdbSetsPruned	1.84063053719277	10.0375134761671
myTestGenes	GO_PROTEIN_DESTABILIZATION	0.00301348215832453	27.186936463041	2	77	1	0.025974025974026	1	1	PD	msigdbSetsPruned	6.29577984530162	117.400787893977
myTestGenes	GO_DNA_BIOSYNTHETIC_PROCESS	0.00349165122163983	10.902495374338	3	211	1	0.014218009478673	1	1	PD	msigdbSetsPruned	3.27795571081621	36.261748441337
myTestGenes	GO_PROTEIN_K48_LINKED_UBIQUITINATION	0.00364800456786053	24.5693715909722	2	82	1	0.024390243902439	1	1	PD	msigdbSetsPruned	5.70493898895833	105.812528677978
myTestGenes	PID_HDAC_CLASSI_PATHWAY	0.00448431055883102	22.0172066056767	2	88	1	0.0227272727272727	1	1	PD	msigdbSetsPruned	5.12574172889775	94.5731198246103
myTestGenes	GO_REGULATION_OF_HISTONE_METHYLATION	0.00493263012439091	20.9265501352303	2	91	1	0.021978021978022	1	1	PD	msigdbSetsPruned	4.87727919251063	89.7878680463403
myTestGenes	GO_REGULATION_OF_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL	0.0051193102375142	9.47536161794892	3	238	1	0.0126050420168067	1	1	PD	msigdbSetsPruned	2.85214075867414	31.478978559472
myTestGenes	REACTOME_FOXO_MEDIATED_TRANSCRIPTION	0.0052425483325796	20.2628050732674	2	93	1	0.021505376344086	1	1	PD	msigdbSetsPruned	4.7258256384676	86.8803254388302
myTestGenes	GO_NEGATIVE_REGULATION_OF_NF_KAPPAB_TRANSCRIPTION_FACTOR_ACTIVITY	0.00639589105970096	18.2322333052656	2	100	1	0.02	1	1	PD	msigdbSetsPruned	4.26116370668632	78.0102230702934
myTestGenes	GO_REGULATION_OF_ATPASE_ACTIVITY	0.00746804054856704	16.7845170431539	2	106	1	0.0188679245283019	1	1	PD	msigdbSetsPruned	3.92866260055901	71.7088844259208
