Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	regulation.of.postsynaptic.density.assembly	0.0231120822308813	47.4284290385701	1	43	0.80864033259529	0.0232558139534884	1	0.80864033259529	PD	syngoAll	6.00669456030096	374.49147088877
myTestGenes	postsynaptic.actin.cytoskeleton.organization	0.0279970555346802	38.5957166115028	1	46	0.80864033259529	0.0217391304347826	1	0.80864033259529	PD	syngoAll	4.95424617241865	300.677295578996
myTestGenes	postsynaptic.density.assembly	0.0312405769082701	34.2912620062569	1	48	0.80864033259529	0.0208333333333333	1	0.80864033259529	PD	syngoAll	4.43045458624272	265.410834733097
myTestGenes	postsynaptic.cytoskeleton.organization	0.0328584116161849	32.4662148188242	1	49	0.80864033259529	0.0204081632653061	1	0.80864033259529	PD	syngoAll	4.20619315138918	250.595982334743
myTestGenes	postsynaptic.specialization.assembly	0.0488937750617194	21.2928634456887	1	59	0.80864033259529	0.0169491525423729	1	0.80864033259529	PD	syngoAll	2.80627962304994	161.561246424899
myTestGenes	synapse.adhesion.between.pre..and.post.synapse	0.0568147755446466	18.1587961917082	1	64	0.80864033259529	0.015625	1	0.80864033259529	PD	syngoAll	2.40477154990579	137.119835414268
myTestGenes	postsynapse	0.0649717390054973	3.48262122025627	3	585	0.80864033259529	0.00512820512820513	1	0.80864033259529	PD	syngoAll	1.05335147551652	11.5143433561262
myTestGenes	synapse	0.0650874544304603	2.85787012419391	4	947	0.80864033259529	0.00422386483632524	1	0.80864033259529	PD	syngoAll	0.995303994418645	8.20595686600324
myTestGenes	synapse.organization	0.0699784903207463	4.87869802359155	2	289	0.80864033259529	0.0069204152249135	1	0.80864033259529	PD	syngoAll	1.15611995077951	20.5875648018598
myTestGenes	modulation.of.chemical.synaptic.transmission	0.122353516662359	8.00238302342532	1	107	1	0.00934579439252336	1	1	PD	syngoAll	1.07648896289696	59.4879615683858
myTestGenes	synapse.assembly	0.123824021800588	7.89940083055229	1	108	1	0.00925925925925926	1	1	PD	syngoAll	1.06280511874995	58.7130532031351
myTestGenes	integral.component.of.postsynaptic.membrane	0.138398684216256	6.99954089297932	1	118	1	0.00847457627118644	1	1	PD	syngoAll	0.943050863769394	51.9522059676203
myTestGenes	postsynaptic.membrane	0.159822150881698	5.97418177889706	1	133	1	0.0075187969924812	1	1	PD	syngoAll	0.806181740994486	44.2714664850612
myTestGenes	integral.component.of.presynaptic.membrane	0.166848184784994	5.69610986385672	1	138	1	0.0072463768115942	1	1	PD	syngoAll	0.768988952515944	42.1926316040972
myTestGenes	presynapse	0.175957728674875	2.75275202584793	2	484	1	0.00413223140495868	1	1	PD	syngoAll	0.65377339006979	11.5906273196604
