Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	REACTOME_METABOLISM_OF_RNA	0.000237169761988634	3.7212720406171	12	732	0.730845626294443	0.0163934426229508	1	0.730845626294443	PD	msigdbSetsPruned	2.02529650148414	6.83745100538654
myTestGenes	GO_NEGATIVE_REGULATION_OF_CELL_CYCLE	0.000405293979615435	3.72692518159993	11	674	0.730845626294443	0.0163204747774481	1	0.730845626294443	PD	msigdbSetsPruned	1.98113469506534	7.01111910454203
myTestGenes	PID_TELOMERASE_PATHWAY	0.000469896459254892	12.1664668616483	4	161	0.730845626294443	0.0248447204968944	1	0.730845626294443	PD	msigdbSetsPruned	4.33780824812652	34.1238956239057
myTestGenes	REACTOME_RRNA_PROCESSING	0.000730621133227701	6.03863320000972	6	287	0.752572914117098	0.0209059233449477	1	0.752572914117098	PD	msigdbSetsPruned	2.61270442147153	13.9568374534008
myTestGenes	GO_NEGATIVE_REGULATION_OF_DNA_REPLICATION	0.000806443328458099	18.3878092067416	3	130	0.752572914117098	0.0230769230769231	1	0.752572914117098	PD	msigdbSetsPruned	5.51896592893649	61.2635649100092
myTestGenes	GO_CELLULAR_RESPONSE_TO_BRAIN_DERIVED_NEUROTROPHIC_FACTOR_STIMULUS	0.00133819386739596	45.4535844990505	2	108	1	0.0185185185185185	1	1	PD	msigdbSetsPruned	9.53061209556315	216.778137972286
myTestGenes	REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI	0.00168071693898167	3.3025584450881	10	682	1	0.0146627565982405	1	1	PD	msigdbSetsPruned	1.70943574514234	6.38040494602769
myTestGenes	GO_REGULATION_OF_DNA_DEPENDENT_DNA_REPLICATION	0.0022655538124182	12.5315863625331	3	144	1	0.0208333333333333	1	1	PD	msigdbSetsPruned	3.82593577746498	41.0463389601589
myTestGenes	SA_REG_CASCADE_OF_CYCLIN_EXPR	0.00229443788718168	33.1096790157892	2	111	1	0.018018018018018	1	1	PD	msigdbSetsPruned	7.24374079030844	151.337668790591
myTestGenes	REACTOME_SELENOAMINO_ACID_METABOLISM	0.00388370277360004	6.66894904599614	4	211	1	0.018957345971564	1	1	PD	msigdbSetsPruned	2.41088508867915	18.447532645556
myTestGenes	REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	0.00414355244886831	3.70548786616464	7	456	1	0.0153508771929825	1	1	PD	msigdbSetsPruned	1.70658979808399	8.04565944417861
myTestGenes	GO_PODOSOME_ASSEMBLY	0.00441989239124311	22.7571343522665	2	116	1	0.0172413793103448	1	1	PD	msigdbSetsPruned	5.16307746862955	100.305906133261
myTestGenes	GO_ESTABLISHMENT_OR_MAINTENANCE_OF_MONOPOLAR_CELL_POLARITY	0.00492205070102201	21.4250650927838	2	117	1	0.0170940170940171	1	1	PD	msigdbSetsPruned	4.88409486147901	93.9853600818513
myTestGenes	REACTOME_TRANSLATION	0.00543494767494145	3.98331931646113	6	382	1	0.0157068062827225	1	1	PD	msigdbSetsPruned	1.73059181709489	9.1684431996955
myTestGenes	REACTOME_INTERLEUKIN_37_SIGNALING	0.00657741245721897	18.2111136473367	2	120	1	0.0166666666666667	1	1	PD	msigdbSetsPruned	4.19948466065613	78.9727042899584
myTestGenes	REACTOME_SIGNALING_BY_ROBO_RECEPTORS	0.00661586735309392	4.49360859969547	5	307	1	0.0162866449511401	1	1	PD	msigdbSetsPruned	1.80934932619962	11.1600993544291
myTestGenes	GO_RNA_PROCESSING	0.00731061691255279	2.52317101765314	11	935	1	0.0117647058823529	1	1	PD	msigdbSetsPruned	1.34347212793311	4.73876000250131
myTestGenes	GO_RNA_METHYLATION	0.00753972322077305	7.98185724868041	3	169	1	0.0177514792899408	1	1	PD	msigdbSetsPruned	2.46977912424699	25.7958472937278
myTestGenes	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	0.00939736193544508	4.11093211036515	5	326	1	0.0153374233128834	1	1	PD	msigdbSetsPruned	1.65668537668553	10.2009488668524
myTestGenes	BIOCARTA_G1_PATHWAY	0.0105326877826872	14.0111476707937	2	126	1	0.0158730158730159	1	1	PD	msigdbSetsPruned	3.28041075727879	59.8438041995799
myTestGenes	GO_MITOTIC_G2_M_TRANSITION_CHECKPOINT	0.0112722301226648	13.4825840968931	2	127	1	0.015748031496063	1	1	PD	msigdbSetsPruned	3.16261731665149	57.4777330702341
myTestGenes	GO_MRNA_METABOLIC_PROCESS	0.0122333422242661	2.44267298713292	10	878	1	0.0113895216400911	1	1	PD	msigdbSetsPruned	1.26594726349685	4.71319105788619
myTestGenes	GO_RRNA_MODIFICATION	0.0128177438687987	12.5567441580885	2	129	1	0.0155038759689922	1	1	PD	msigdbSetsPruned	2.95543735781225	53.349743121744
myTestGenes	GO_CYTOPLASMIC_TRANSLATION	0.013016911282063	6.47398620543074	3	185	1	0.0162162162162162	1	1	PD	msigdbSetsPruned	2.01219290827788	20.8292640410795
myTestGenes	REACTOME_INTERFERON_GAMMA_SIGNALING	0.0142399356353303	6.25226439199876	3	188	1	0.0159574468085106	1	1	PD	msigdbSetsPruned	1.94456095244712	20.1026406388867
myTestGenes	GO_REGULATION_OF_RECEPTOR_MEDIATED_ENDOCYTOSIS	0.0155261333444513	6.04518484325451	3	191	1	0.0157068062827225	1	1	PD	msigdbSetsPruned	1.88131472787123	19.4248518058779
myTestGenes	GO_POSTTRANSCRIPTIONAL_REGULATION_OF_GENE_EXPRESSION	0.0158236943756634	2.62195255436112	8	674	1	0.0118694362017804	1	1	PD	msigdbSetsPruned	1.26704068705051	5.42574146795867
myTestGenes	GO_RECEPTOR_RECYCLING	0.0161671454447099	11.0345263638382	2	133	1	0.0150375939849624	1	1	PD	msigdbSetsPruned	2.61163991057955	46.6223431419459
myTestGenes	GO_NEGATIVE_REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION	0.0182893885245285	5.66947453752282	3	197	1	0.0152284263959391	1	1	PD	msigdbSetsPruned	1.76636586412442	18.1972162078397
myTestGenes	GO_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION	0.0188971851070409	10.1115651748563	2	136	1	0.0147058823529412	1	1	PD	msigdbSetsPruned	2.40127281917927	42.5789812255953
myTestGenes	GO_PROTEIN_TARGETING_TO_MEMBRANE	0.0194465373431623	4.09709179289057	4	280	1	0.0142857142857143	1	1	PD	msigdbSetsPruned	1.49085409003928	11.2594259032613
myTestGenes	GO_REGULATION_OF_ORGANELLE_ASSEMBLY	0.0194465373431623	4.09709179289057	4	280	1	0.0142857142857143	1	1	PD	msigdbSetsPruned	1.49085409003928	11.2594259032613
myTestGenes	GO_REGULATION_OF_NUCLEOCYTOPLASMIC_TRANSPORT	0.0197669372672026	5.49852702071047	3	200	1	0.015	1	1	PD	msigdbSetsPruned	1.7139789895051	17.6395390973917
myTestGenes	GO_REGULATION_OF_DNA_REPLICATION	0.0207876089305284	5.39087480760814	3	202	1	0.0148514851485149	1	1	PD	msigdbSetsPruned	1.6809651620035	17.288598150759
myTestGenes	REACTOME_DEUBIQUITINATION	0.020900707761474	3.33258069233611	5	378	1	0.0132275132275132	1	1	PD	msigdbSetsPruned	1.34536669211418	8.25506840330547
myTestGenes	GO_VIRAL_GENE_EXPRESSION	0.0212206670949741	3.98540684115023	4	285	1	0.0140350877192982	1	1	PD	msigdbSetsPruned	1.45062785780554	10.9493745098174
myTestGenes	GO_DNA_DEPENDENT_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY	0.0218065602781029	9.33509694912119	2	139	1	0.0143884892086331	1	1	PD	msigdbSetsPruned	2.22322285570826	39.1971658737422
myTestGenes	GO_G0_TO_G1_TRANSITION	0.0228150626913085	9.10023197671913	2	140	1	0.0142857142857143	1	1	PD	msigdbSetsPruned	2.16914920037144	38.1782046232322
myTestGenes	GO_CELLULAR_MACROMOLECULE_LOCALIZATION	0.0229713991586187	1.82209883629276	17	1907	1	0.00891452543261667	1	1	PD	msigdbSetsPruned	1.07889955991994	3.07725046200388
myTestGenes	GO_ESTABLISHMENT_OR_MAINTENANCE_OF_BIPOLAR_CELL_POLARITY	0.0238425195716123	8.8774904402356	2	141	1	0.0141843971631206	1	1	PD	msigdbSetsPruned	2.11778561060037	37.2133213683195
