Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	protein.translation.at.synapse	0.00336968321420085	10.8096510262898	3	151	0.175223527138444	0.0198675496688742	0.350447054276888	0.175223527138444	PD	syngoAll	3.31696769673401	35.2275228441994
myTestGenes	protein.translation.at.postsynapse	0.00336968321420085	10.8096510262898	3	151	0.175223527138444	0.0198675496688742	0.350447054276888	0.175223527138444	PD	syngoAll	3.31696769673401	35.2275228441994
myTestGenes	postsynaptic.ribosome	0.00643763615912972	8.47669303676197	3	165	0.22317138684983	0.0181818181818182	0.669514160549491	0.22317138684983	PD	syngoAll	2.61906805629454	27.4350735815351
myTestGenes	metabolism	0.0134175916785455	6.39836106797739	3	186	0.283362300952443	0.0161290322580645	1	0.283362300952443	PD	syngoAll	1.98913496272787	20.5813205857413
myTestGenes	transport	0.0136231875457906	12.1377642259798	2	130	0.283362300952443	0.0153846153846154	1	0.283362300952443	PD	syngoAll	2.86118920606383	51.4909395342473
myTestGenes	protein.translation.at.presynapse	0.0303921453813288	7.74201054295962	2	147	0.416114167959399	0.0136054421768707	1	0.416114167959399	PD	syngoAll	1.85464390135353	32.3181863664255
myTestGenes	presynaptic.ribosome	0.031545745456407	7.580478163174	2	148	0.416114167959399	0.0135135135135135	1	0.416114167959399	PD	syngoAll	1.8170304068115	31.6250344336252
myTestGenes	synapse	0.0320600593555635	2.06989241458874	10	1011	0.416114167959399	0.00989119683481701	1	0.416114167959399	PD	syngoAll	1.07333610497335	3.99171758792031
myTestGenes	postsynapse	0.0360098799195633	2.36743655403499	7	651	0.416114167959399	0.010752688172043	1	0.416114167959399	PD	syngoAll	1.09303156994548	5.12771633637319
myTestGenes	process.in.the.synapse	0.0581116428660663	2.00305124491272	8	844	0.559596849191728	0.00947867298578199	1	0.559596849191728	PD	syngoAll	0.968978376760168	4.1406644213893
myTestGenes	neurotransmitter.receptor.transport.to.plasma.membrane	0.0647453624364676	16.3986097797715	1	111	0.559596849191728	0.00900900900900901	1	0.559596849191728	PD	syngoAll	2.09705786630242	128.234135562207
myTestGenes	axo.dendritic.transport	0.0699496061489661	15.0335542034245	1	112	0.559596849191728	0.00892857142857143	1	0.559596849191728	PD	syngoAll	1.93616837080877	116.729389548335
myTestGenes	neurotransmitter.receptor.transport	0.0699496061489661	15.0335542034245	1	112	0.559596849191728	0.00892857142857143	1	0.559596849191728	PD	syngoAll	1.93616837080877	116.729389548335
myTestGenes	presynapse.assembly	0.0853909351589354	12.0252587953204	1	115	0.634332661180663	0.00869565217391304	1	0.634332661180663	PD	syngoAll	1.57320527606085	91.9186143695823
myTestGenes	postsynaptic.density	0.134017043025318	2.4271781170953	3	325	0.877836594500178	0.00923076923076923	1	0.877836594500178	PD	syngoAll	0.763575517312544	7.7152730522853
myTestGenes	regulation.of.postsynaptic.neurotransmitter.receptor.endocytosis	0.135051783769258	7.21380871515511	1	125	0.877836594500178	0.008	1	0.877836594500178	PD	syngoAll	0.967968786824484	53.761068422017
myTestGenes	postsynaptic.neurotransmitter.receptor.endocytosis	0.168216551263986	5.63329448906431	1	132	0.971353292574896	0.00757575757575758	1	0.971353292574896	PD	syngoAll	0.762255966083729	41.6316935681899
myTestGenes	postsynaptic.density..intracellular.component	0.172850442343289	5.4631271885547	1	133	0.971353292574896	0.0075187969924812	1	0.971353292574896	PD	syngoAll	0.739902886675427	40.3373999693801
myTestGenes	synapse.adhesion.between.pre..and.post.synapse	0.177458774605029	5.30225809712206	1	134	0.971353292574896	0.00746268656716418	1	0.971353292574896	PD	syngoAll	0.718730763563214	39.1160951412702
myTestGenes	postsynaptic.specialization	0.201514177945152	1.98017588869016	3	375	1	0.008	1	1	PD	syngoAll	0.623788302958724	6.28594113027049
myTestGenes	trans.synaptic.signaling	0.223455294934016	2.28928126879189	2	258	1	0.00775193798449612	1	1	PD	syngoAll	0.559620840443695	9.36492773122283
myTestGenes	synaptic.vesicle.endocytosis	0.226502926595705	4.00349748403752	1	145	1	0.00689655172413793	1	1	PD	syngoAll	0.546451036457784	29.3310672601003
myTestGenes	synaptic.signaling	0.22754966764089	2.26042285248225	2	260	1	0.00769230769230769	1	1	PD	syngoAll	0.552625931291878	9.24587715252421
myTestGenes	presynapse	0.248484848503871	1.60676901335893	4	552	1	0.0072463768115942	1	1	PD	syngoAll	0.58840937320123	4.38760288308243
myTestGenes	modulation.of.chemical.synaptic.transmission	0.353311107587641	2.33558429522353	1	177	1	0.00564971751412429	1	1	PD	syngoAll	0.321650582891199	16.9592542039321
myTestGenes	synapse.assembly	0.356922885819487	2.30554826630112	1	178	1	0.00561797752808989	1	1	PD	syngoAll	0.317565324004375	16.7384547570152
myTestGenes	integral.component.of.postsynaptic.membrane	0.391960091045979	2.04246789690913	1	188	1	0.00531914893617021	1	1	PD	syngoAll	0.281726276823342	14.8075470877013
myTestGenes	regulation.of.postsynaptic.membrane.neurotransmitter.receptor.levels	0.408763159869663	1.93212968812975	1	193	1	0.00518134715025907	1	1	PD	syngoAll	0.26666480077856	13.9993171984193
myTestGenes	postsynaptic.density.membrane	0.415354928652248	1.89125764822367	1	195	1	0.00512820512820513	1	1	PD	syngoAll	0.261081124133328	13.700168879838
myTestGenes	synapse.organization	0.427307153030779	1.38864618838582	2	359	1	0.00557103064066852	1	1	PD	syngoAll	0.340603730142019	5.66153000060931
myTestGenes	postsynaptic.membrane	0.441002257134951	1.74357545016015	1	203	1	0.00492610837438424	1	1	PD	syngoAll	0.240885137409351	12.6203525177854
myTestGenes	integral.component.of.presynaptic.membrane	0.456462871628011	1.66238667635995	1	208	1	0.00480769230769231	1	1	PD	syngoAll	0.229768639500458	12.0274440748194
myTestGenes	presynaptic.membrane	0.494707285103163	1.48268385862659	1	221	1	0.00452488687782805	1	1	PD	syngoAll	0.205128824008952	10.716930861632
myTestGenes	chemical.synaptic.transmission	0.535534659728959	1.31808194212663	1	236	1	0.00423728813559322	1	1	PD	syngoAll	0.182517719390687	9.51874706719
myTestGenes	synaptic.vesicle.cycle	0.591878829540104	1.12596773704801	1	259	1	0.00386100386100386	1	1	PD	syngoAll	0.156076470600857	8.12296267331184
