Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	PID_FAK_PATHWAY	0.000214691845900859	15.1159818123298	4	146	0.584375377861357	0.0273972602739726	1	0.584375377861357	PD	msigdbSetsPruned	5.35655954134659	42.6566538441285
myTestGenes	KEGG_PROTEIN_EXPORT	0.000250482373708254	28.3361684078817	3	114	0.584375377861357	0.0263157894736842	1	0.584375377861357	PD	msigdbSetsPruned	8.30450348294393	96.687109793973
myTestGenes	GO_L_ASCORBIC_ACID_METABOLIC_PROCESS	0.00115892899694269	49.082084386385	2	101	1	0.0198019801980198	1	1	PD	msigdbSetsPruned	10.2815040061184	234.309202844118
myTestGenes	GO_CARBOHYDRATE_HOMEOSTASIS	0.00126585913759	5.41395284207646	6	318	1	0.0188679245283019	1	1	PD	msigdbSetsPruned	2.34268013038125	12.5116890676226
myTestGenes	REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	0.00160912353402432	8.59707135879521	4	186	1	0.021505376344086	1	1	PD	msigdbSetsPruned	3.09295340468604	23.896136241897
myTestGenes	GO_LIPID_IMPORT_INTO_CELL	0.00265902853458825	30.1868704878043	2	106	1	0.0188679245283019	1	1	PD	msigdbSetsPruned	6.71603025629326	135.682406879211
myTestGenes	KEGG_FOCAL_ADHESION	0.00327709626856509	5.34941549440981	5	281	1	0.0177935943060498	1	1	PD	msigdbSetsPruned	2.14792894087576	13.3227154712876
myTestGenes	BIOCARTA_BARRESTIN_SRC_PATHWAY	0.00342099412456436	26.175874645914	2	108	1	0.0185185185185185	1	1	PD	msigdbSetsPruned	5.90083723574884	116.115118262816
myTestGenes	GO_RESPONSE_TO_NITROGEN_COMPOUND	0.00357813225197785	2.56696004259869	13	1158	1	0.0112262521588946	1	1	PD	msigdbSetsPruned	1.42382528363763	4.62787389437542
myTestGenes	GO_INSULIN_SECRETION	0.00365483414330803	5.20875122449751	5	286	1	0.0174825174825175	1	1	PD	msigdbSetsPruned	2.09205538512117	12.9686286088133
myTestGenes	REACTOME_TRANSLATION	0.0038117989379271	4.30540882227932	6	375	1	0.016	1	1	PD	msigdbSetsPruned	1.86684578239395	9.92933926400191
myTestGenes	GO_INSULIN_SECRETION_INVOLVED_IN_CELLULAR_RESPONSE_TO_GLUCOSE_STIMULUS	0.00387981157057372	10.241613967523	3	151	1	0.0198675496688742	1	1	PD	msigdbSetsPruned	3.15067761865977	33.2914596017542
myTestGenes	BIOCARTA_ECM_PATHWAY	0.00427259300541901	23.0676972889229	2	110	1	0.0181818181818182	1	1	PD	msigdbSetsPruned	5.25319476494227	101.294294619443
myTestGenes	BIOCARTA_MAL_PATHWAY	0.00427259300541901	23.0676972889229	2	110	1	0.0181818181818182	1	1	PD	msigdbSetsPruned	5.25319476494227	101.294294619443
myTestGenes	GO_NEGATIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE	0.00505052157632776	9.28184844589569	3	157	1	0.0191082802547771	1	1	PD	msigdbSetsPruned	2.862958922864	30.0921923414787
myTestGenes	GO_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	0.0060160558273832	2.91586781689817	9	727	1	0.0123796423658872	1	1	PD	msigdbSetsPruned	1.45961190830377	5.82503135063013
