Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	synaptic.vesicle.proton.loading	0.0344811886281463	31.2900514599066	1	58	1	0.0172413793103448	1	1	PD	syngoAll	4.00646562036816	244.371826226637
myTestGenes	postsynaptic.ribosome	0.156919257956818	6.06028851075265	1	112	1	0.00892857142857143	1	1	PD	syngoAll	0.822953924268882	44.6283755997508
myTestGenes	modulation.of.chemical.synaptic.transmission	0.177863705756715	5.27138709408789	1	122	1	0.00819672131147541	1	1	PD	syngoAll	0.717162132075376	38.7464990870374
myTestGenes	synaptic.vesicle	0.229967067263348	3.93472463303609	1	148	1	0.00675675675675676	1	1	PD	syngoAll	0.537005575667832	28.8303485835638
myTestGenes	chemical.synaptic.transmission	0.291467706312105	2.97454476042194	1	181	1	0.00552486187845304	1	1	PD	syngoAll	0.406885509906339	21.7454697115911
myTestGenes	presynapse	0.316680593408264	1.79111387574749	2	499	1	0.00400801603206413	1	1	PD	syngoAll	0.432568544367715	7.41637124951946
myTestGenes	synaptic.vesicle.cycle	0.331463940274814	2.54105023055889	1	204	1	0.00490196078431373	1	1	PD	syngoAll	0.347945377141945	18.5573273806977
myTestGenes	trans.synaptic.signaling	0.331463940274814	2.54105023055889	1	204	1	0.00490196078431373	1	1	PD	syngoAll	0.347945377141945	18.5573273806977
myTestGenes	synaptic.signaling	0.334835649410584	2.50909228788039	1	206	1	0.00485436893203883	1	1	PD	syngoAll	0.343595314667161	18.3225551698785
myTestGenes	synapse	0.407382998768889	1.32428230544092	3	963	1	0.00311526479750779	1	1	PD	syngoAll	0.409698173855477	4.28052585150785
myTestGenes	process.in.the.presynapse	0.431495034512161	1.80528828907693	1	268	1	0.00373134328358209	1	1	PD	syngoAll	0.24762924183357	13.1610700842379
myTestGenes	process.in.the.synapse	0.566758570542655	1.06588466242143	2	795	1	0.00251572327044025	1	1	PD	syngoAll	0.257722277412306	4.40827283148555
