Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	REACTOME_BIOTIN_TRANSPORT_AND_METABOLISM	0.00152992888958861	42.4634185693655	2	115	1	0.0173913043478261	1	1	PD	msigdbSetsPruned	8.91109258756637	202.348017246847
myTestGenes	GO_PEPTIDYL_TYROSINE_DEPHOSPHORYLATION	0.00258666441951268	7.50470604778886	4	199	1	0.0201005025125628	1	1	PD	msigdbSetsPruned	2.70712825181051	20.8045602664195
myTestGenes	GO_NEGATIVE_REGULATION_OF_NEURON_PROJECTION_REGENERATION	0.00304616238275611	28.3296558134388	2	119	1	0.0168067226890756	1	1	PD	msigdbSetsPruned	6.26320769212027	128.140313711394
myTestGenes	REACTOME_LGI_ADAM_INTERACTIONS	0.00304616238275611	28.3296558134388	2	119	1	0.0168067226890756	1	1	PD	msigdbSetsPruned	6.26320769212027	128.140313711394
myTestGenes	GO_CORPUS_CALLOSUM_DEVELOPMENT	0.00398587769547837	24.2586690959982	2	121	1	0.0165289256198347	1	1	PD	msigdbSetsPruned	5.4454778320438	108.068207136244
myTestGenes	REACTOME_SYNAPTIC_ADHESION_LIKE_MOLECULES	0.005042759926217	21.2333013129106	2	123	1	0.016260162601626	1	1	PD	msigdbSetsPruned	4.82160088542486	93.5069275451082
myTestGenes	GO_REGULATION_OF_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.00655880987319008	8.42062714532083	3	168	1	0.0178571428571429	1	1	PD	msigdbSetsPruned	2.60040579364755	27.2676524924419
myTestGenes	REACTOME_DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM	0.00749663512734707	16.9991005139334	2	127	1	0.015748031496063	1	1	PD	msigdbSetsPruned	3.92348821051359	73.6511498896497
myTestGenes	GO_VITAMIN_METABOLIC_PROCESS	0.00758611860762657	5.47015760809756	4	233	1	0.0171673819742489	1	1	PD	msigdbSetsPruned	1.9841798539986	15.0806007817921
myTestGenes	GO_POSITIVE_REGULATION_OF_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.00817892507825894	16.1828225303724	2	128	1	0.015625	1	1	PD	msigdbSetsPruned	3.74676783364716	69.8959094016261
myTestGenes	GO_RESPONSE_TO_AXON_INJURY	0.00873210843314387	7.55194804423452	3	175	1	0.0171428571428571	1	1	PD	msigdbSetsPruned	2.33859568063977	24.3872507483702
myTestGenes	GO_AXON_DEVELOPMENT	0.00932915301907569	2.89115166320531	8	593	1	0.0134907251264755	1	1	PD	msigdbSetsPruned	1.39880471094463	5.9756432575996
myTestGenes	GO_PROTEIN_LOCALIZATION_TO_GOLGI_APPARATUS	0.00962369648593457	14.7767949861365	2	130	1	0.0153846153846154	1	1	PD	msigdbSetsPruned	3.43991820583913	63.4764133901971
myTestGenes	GO_COLLATERAL_SPROUTING	0.00962369648593457	14.7767949861365	2	130	1	0.0153846153846154	1	1	PD	msigdbSetsPruned	3.43991820583913	63.4764133901971
myTestGenes	GO_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT	0.0107302916828517	3.96997262559163	5	325	1	0.0153846153846154	1	1	PD	msigdbSetsPruned	1.60177536398138	9.83950871161615
myTestGenes	GO_PEPTIDE_CATABOLIC_PROCESS	0.0119863158120617	13.0657005899877	2	133	1	0.0150375939849624	1	1	PD	msigdbSetsPruned	3.06180962271476	55.7554364715346
myTestGenes	REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT	0.012079495009405	6.66578818166898	3	184	1	0.016304347826087	1	1	PD	msigdbSetsPruned	2.07000923346896	21.4649922157191
myTestGenes	GO_REGULATION_OF_NEURON_PROJECTION_REGENERATION	0.0128246618671456	12.5842351033245	2	134	1	0.0149253731343284	1	1	PD	msigdbSetsPruned	2.95455312704354	53.5996363328926
myTestGenes	GO_PROTEIN_DEGLYCOSYLATION	0.0128246618671456	12.5842351033245	2	134	1	0.0149253731343284	1	1	PD	msigdbSetsPruned	2.95455312704354	53.5996363328926
myTestGenes	REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX	0.0146669300214357	6.18204481380622	3	190	1	0.0157894736842105	1	1	PD	msigdbSetsPruned	1.92275097197106	19.8765615709092
myTestGenes	REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	0.014903481198342	1.99901011189392	15	1455	1	0.0103092783505155	1	1	PD	msigdbSetsPruned	1.15496165407301	3.4598909958283
myTestGenes	PID_HIF2PATHWAY	0.0154876014705612	11.3246592506573	2	137	1	0.0145985401459854	1	1	PD	msigdbSetsPruned	2.67193463743903	47.9981453687128
myTestGenes	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX3	0.0201659080056976	5.45620796713964	3	201	1	0.0149253731343284	1	1	PD	msigdbSetsPruned	1.70094327902913	17.5021740864107
myTestGenes	GO_REGULATION_OF_AXON_GUIDANCE	0.0236184719261006	8.93779465689343	2	145	1	0.0137931034482759	1	1	PD	msigdbSetsPruned	2.12861799871814	37.5286563286129
myTestGenes	GO_MEIOSIS_I_CELL_CYCLE_PROCESS	0.026021883106551	4.92773561762798	3	211	1	0.014218009478673	1	1	PD	msigdbSetsPruned	1.53878844371587	15.7803227704269
myTestGenes	GO_POSITIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS	0.0263053758151792	2.3673585351526	8	697	1	0.0114777618364419	1	1	PD	msigdbSetsPruned	1.14648098037187	4.88833790521497
myTestGenes	REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	0.028593035088763	4.74467066643997	3	215	1	0.013953488372093	1	1	PD	msigdbSetsPruned	1.48249382026794	15.1851558672313
myTestGenes	GO_GLYCOPROTEIN_METABOLIC_PROCESS	0.0287458216159822	2.71291575239358	6	490	1	0.0122448979591837	1	1	PD	msigdbSetsPruned	1.1832128837226	6.22027699396715
myTestGenes	KEGG_N_GLYCAN_BIOSYNTHESIS	0.0294087898203308	7.89661030118391	2	150	1	0.0133333333333333	1	1	PD	msigdbSetsPruned	1.8883811274377	33.0211170524532
myTestGenes	GO_INTERFERON_BETA_PRODUCTION	0.0306282112163896	7.71685887047182	2	151	1	0.0132450331125828	1	1	PD	msigdbSetsPruned	1.84670595367076	32.2465580989817
myTestGenes	GO_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_IN_RESPONSE_TO_STRESS	0.0341252083155225	4.41581783564591	3	223	1	0.0134529147982063	1	1	PD	msigdbSetsPruned	1.38119841736032	14.1177740377628
myTestGenes	GO_COCHLEA_DEVELOPMENT	0.0344041899008676	7.22397094581568	2	154	1	0.012987012987013	1	1	PD	msigdbSetsPruned	1.73212809715098	30.1281159931674
myTestGenes	GO_PROTEIN_TARGETING	0.0376178819015895	2.53681650483063	6	516	1	0.0116279069767442	1	1	PD	msigdbSetsPruned	1.10683389234618	5.81427621947841
myTestGenes	REACTOME_SIGNALING_BY_ROBO_RECEPTORS	0.0378787612968194	3.29829753721212	4	315	1	0.0126984126984127	1	1	PD	msigdbSetsPruned	1.20351668691665	9.03914898915973
myTestGenes	GO_NEUROGENESIS	0.0392661118529284	1.74682219634364	15	1633	1	0.00918554807103491	1	1	PD	msigdbSetsPruned	1.00955943723579	3.02249443974656
myTestGenes	REACTOME_FORMATION_OF_TC_NER_PRE_INCISION_COMPLEX	0.0424617026159311	6.40346469532344	2	160	1	0.0125	1	1	PD	msigdbSetsPruned	1.54037918333599	26.6196534904158
myTestGenes	GO_PROTEIN_LOCALIZATION_TO_VACUOLE	0.0438671029165595	6.28454747952216	2	161	1	0.0124223602484472	1	1	PD	msigdbSetsPruned	1.51248554967165	26.1130012322713
myTestGenes	GO_TRANSLATIONAL_ELONGATION	0.0442083621598331	3.96784153616042	3	236	1	0.0127118644067797	1	1	PD	msigdbSetsPruned	1.24286265911693	12.667342075645
