Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	presynapse.assembly	0.00398587769547837	24.2586690959982	2	121	0.31622694810401	0.0165289256198347	0.41453128032975	0.31622694810401	PD	syngoAll	5.4454778320438	108.068207136244
myTestGenes	presynaptic.membrane	0.00608128746353866	5.84276235528491	4	225	0.31622694810401	0.0177777777777778	0.632453896208021	0.31622694810401	PD	syngoAll	2.11717643062145	16.1242452195228
myTestGenes	modulation.of.chemical.synaptic.transmission	0.0112807591472853	6.84344667926127	3	182	0.391066317105892	0.0164835164835165	1	0.391066317105892	PD	syngoAll	2.12397150224631	22.0496190284859
myTestGenes	presynapse	0.0191797898539816	2.71652546497041	7	556	0.438964484093602	0.012589928057554	1	0.438964484093602	PD	syngoAll	1.25526694934824	5.87883764936562
myTestGenes	synapse	0.0211040617352693	2.1362839313298	11	1017	0.438964484093602	0.0108161258603736	1	0.438964484093602	PD	syngoAll	1.14066550214058	4.00091790861881
myTestGenes	integral.component.of.presynaptic.membrane	0.0272911539882808	4.83456198967107	3	213	0.473046669130201	0.0140845070422535	1	0.473046669130201	PD	syngoAll	1.5101451549061	15.47731326094
myTestGenes	chemical.synaptic.transmission	0.048439671369095	3.81877982237261	3	241	0.697223149839704	0.012448132780083	1	0.697223149839704	PD	syngoAll	1.19674421565752	12.1856275893908
myTestGenes	neurotransmitter.reuptake	0.0579466250973824	18.7094688522558	1	116	0.697223149839704	0.00862068965517241	1	0.697223149839704	PD	syngoAll	2.34950396015816	148.986437422291
myTestGenes	trans.synaptic.signaling	0.0703177673385813	3.25514559627741	3	264	0.697223149839704	0.0113636363636364	1	0.697223149839704	PD	syngoAll	1.02195947462737	10.3682906377749
myTestGenes	synaptic.signaling	0.0723999499149332	3.21383792050147	3	266	0.697223149839704	0.0112781954887218	1	0.697223149839704	PD	syngoAll	1.00912488271971	10.2353577402789
myTestGenes	regulation.of.postsynaptic.density.assembly	0.0801825111638231	12.9527314141829	1	120	0.697223149839704	0.00833333333333333	1	0.697223149839704	PD	syngoAll	1.67929888112935	99.9067247488015
myTestGenes	synapse.assembly	0.0804488249815043	4.40233958065917	2	184	0.697223149839704	0.0108695652173913	1	0.697223149839704	PD	syngoAll	1.06745329903436	18.155917266798
myTestGenes	synaptic.cleft	0.0911046728410684	11.228661409281	1	122	0.728837382728547	0.00819672131147541	1	0.728837382728547	PD	syngoAll	1.4699161754206	85.7755286679515
