Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	chemical.synaptic.transmission	0.00399248889967499	5.08239777121098	5	269	0.27855256371204	0.0185873605947955	0.415218845566199	0.27855256371204	PD	syngoAll	2.04731484280423	12.6169002269478
myTestGenes	trans.synaptic.signaling	0.00763633802921753	4.32257776995843	5	292	0.27855256371204	0.0171232876712329	0.794179155038624	0.27855256371204	PD	syngoAll	1.74538574776793	10.7051857168156
myTestGenes	synaptic.signaling	0.00803517010707809	4.26702662866618	5	294	0.27855256371204	0.0170068027210884	0.835657691136121	0.27855256371204	PD	syngoAll	1.72325506380123	10.565769764566
myTestGenes	modulation.of.chemical.synaptic.transmission	0.0217310755468828	5.30426561425633	3	212	0.565007964218953	0.0141509433962264	1	0.565007964218953	PD	syngoAll	1.65209933167739	17.0299891581072
myTestGenes	presynaptic.process.involved.in.chemical.synaptic.transmission	0.038935769395426	6.76190939937021	2	176	0.674886669520717	0.0113636363636364	1	0.674886669520717	PD	syngoAll	1.61644723476449	28.2863663854471
myTestGenes	presynaptic.modulation.of.chemical.synaptic.transmission	0.038935769395426	6.76190939937021	2	176	0.674886669520717	0.0113636363636364	1	0.674886669520717	PD	syngoAll	1.61644723476449	28.2863663854471
myTestGenes	structural.constituent.of.postsynaptic.density	0.0736414849310449	14.5660907616234	1	146	1	0.00684931506849315	1	1	PD	syngoAll	1.83271430391783	115.768725994165
myTestGenes	maintenance.of.synapse.structure	0.101567318281752	10.0814461827831	1	150	1	0.00666666666666667	1	1	PD	syngoAll	1.30960278472804	77.607926862692
myTestGenes	synaptic.membrane	0.108417186243023	9.36229983804969	1	151	1	0.00662251655629139	1	1	PD	syngoAll	1.2224972249526	71.6996787137444
myTestGenes	process.in.the.synapse	0.120685679825998	1.61844366121616	9	880	1	0.0102272727272727	1	1	PD	syngoAll	0.820020329707755	3.19426212940876
myTestGenes	regulation.of.neurotransmitter.receptor.localization.to.postsynaptic.specialization.membrane	0.121961771540444	8.19084754863334	1	153	1	0.0065359477124183	1	1	PD	syngoAll	1.07859989204382	62.2009922862364
myTestGenes	modification.of.postsynaptic.actin.cytoskeleton	0.128657265100522	7.70896751852341	1	154	1	0.00649350649350649	1	1	PD	syngoAll	1.01868942819414	58.3378786083989
myTestGenes	synapse.organization	0.138745078864753	2.05821360063228	4	394	1	0.0101522842639594	1	1	PD	syngoAll	0.755493314006725	5.60725442209539
myTestGenes	structural.constituent.of.postsynapse	0.154936166966031	6.23938271478825	1	158	1	0.00632911392405063	1	1	PD	syngoAll	0.833331190399004	46.7159961250923
myTestGenes	modification.of.postsynaptic.structure	0.199044780684478	4.67812744251254	1	165	1	0.00606060606060606	1	1	PD	syngoAll	0.631967739581645	34.6297366110435
myTestGenes	modification.of.synaptic.structure	0.205156558842328	4.51713278082887	1	166	1	0.00602409638554217	1	1	PD	syngoAll	0.610940712843463	33.3984757124328
myTestGenes	structural.constituent.of.synapse	0.211222038229529	4.36594718548038	1	167	1	0.00598802395209581	1	1	PD	syngoAll	0.591145092757006	32.2450360494482
myTestGenes	transport	0.217241567015337	4.2248368087883	1	168	1	0.00595238095238095	1	1	PD	syngoAll	0.572630215432009	31.1706326000044
myTestGenes	postsynaptic.density..intracellular.component	0.229144152483845	3.96839328858335	1	170	1	0.00588235294117647	1	1	PD	syngoAll	0.538884213723484	29.2236159305163
myTestGenes	integral.component.of.postsynaptic.specialization.membrane	0.240867048967292	3.74135751031469	1	172	1	0.00581395348837209	1	1	PD	syngoAll	0.508901502559149	27.5058256845315
myTestGenes	transmitter.gated.ion.channel.activity.involved.in.regulation.of.postsynaptic.membrane.potential	0.252412949517601	3.53838952573683	1	174	1	0.00574712643678161	1	1	PD	syngoAll	0.482010165591554	25.9749717528851
myTestGenes	neurotransmitter.receptor.localization.to.postsynaptic.specialization.membrane	0.258120356924453	3.44535079442924	1	175	1	0.00571428571428571	1	1	PD	syngoAll	0.46965795337669	25.2746536310724
myTestGenes	postsynaptic.specialization.membrane	0.26378450711959	3.35682659442524	1	176	1	0.00568181818181818	1	1	PD	syngoAll	0.457888407073726	24.6092379954625
myTestGenes	regulation.of.postsynapse.organization	0.291467706312108	2.97454476042194	1	181	1	0.00552486187845304	1	1	PD	syngoAll	0.406885509906339	21.7454697115911
myTestGenes	regulation.of.postsynaptic.membrane.potential	0.312868191333246	2.72605677068267	1	185	1	0.00540540540540541	1	1	PD	syngoAll	0.373577894398332	19.892465877708
myTestGenes	protein.translation.at.presynapse	0.312868191333246	2.72605677068267	1	185	1	0.00540540540540541	1	1	PD	syngoAll	0.373577894398332	19.892465877708
myTestGenes	presynaptic.ribosome	0.318117274515317	2.67031858213603	1	186	1	0.00537634408602151	1	1	PD	syngoAll	0.366089963536867	19.4777296302004
myTestGenes	protein.translation.at.synapse	0.338718513842351	2.46830603679238	1	190	1	0.00526315789473684	1	1	PD	syngoAll	0.338899239611293	17.9774221336514
myTestGenes	protein.translation.at.postsynapse	0.338718513842351	2.46830603679238	1	190	1	0.00526315789473684	1	1	PD	syngoAll	0.338899239611293	17.9774221336514
myTestGenes	postsynaptic.specialization	0.355545871029612	1.43041230519391	3	412	1	0.00728155339805825	1	1	PD	syngoAll	0.45274591851656	4.51926627975845
myTestGenes	process.in.the.postsynapse	0.364128338745197	1.58744657514438	2	302	1	0.00662251655629139	1	1	PD	syngoAll	0.389683064320554	6.46675942494812
myTestGenes	postsynapse.organization	0.373294703793709	2.17961965506475	1	197	1	0.0050761421319797	1	1	PD	syngoAll	0.299900779260186	15.8410453366077
myTestGenes	postsynaptic.ribosome	0.406075528792519	1.95106269570023	1	204	1	0.00490196078431373	1	1	PD	syngoAll	0.268906160758807	14.156037302423
myTestGenes	metabolism	0.494548097374315	1.48371243679261	1	225	1	0.00444444444444444	1	1	PD	syngoAll	0.205201154396401	10.7280224693107
myTestGenes	regulation.of.postsynaptic.membrane.neurotransmitter.receptor.levels	0.513605370292008	1.40356012828347	1	230	1	0.00434782608695652	1	1	PD	syngoAll	0.19423108443826	10.1424601494892
myTestGenes	postsynaptic.density	0.520440195161506	1.15501969038211	2	363	1	0.00550964187327824	1	1	PD	syngoAll	0.284167243546845	4.69466666361375
myTestGenes	integral.component.of.presynaptic.membrane	0.566601438631685	1.20763630452709	1	245	1	0.00408163265306122	1	1	PD	syngoAll	0.167360901152561	8.71401524471015
myTestGenes	presynaptic.membrane	0.607868092908088	1.07709599285216	1	258	1	0.00387596899224806	1	1	PD	syngoAll	0.149414329192285	7.76455500680372
myTestGenes	postsynapse	0.618439175945261	0.938739780837086	4	691	1	0.00578871201157742	1	1	PD	syngoAll	0.345958757500694	2.54721800509499
myTestGenes	presynapse	0.67889328470479	0.859599080672817	3	590	1	0.00508474576271186	1	1	PD	syngoAll	0.272725675338783	2.7093546604135
myTestGenes	synaptic.vesicle.cycle	0.70743204103272	0.817942008904006	1	296	1	0.00337837837837838	1	1	PD	syngoAll	0.113682820200027	5.8850504302475
myTestGenes	synapse	0.709107476915504	0.847507655455531	6	1052	1	0.00570342205323194	1	1	PD	syngoAll	0.372901515663374	1.92616333236931
myTestGenes	process.in.the.presynapse	0.821610456176133	0.58109347082771	1	360	1	0.00277777777777778	1	1	PD	syngoAll	0.0809061602477821	4.17359593885623
myTestGenes	pathway	1	0	0	156	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	regulation.of.presynaptic.cytosolic.calcium.levels	1	0	0	163	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	regulation.of.presynaptic.membrane.potential	1	0	0	175	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	neurotransmitter.reuptake	1	0	0	147	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.cytosolic.calcium.levels	1	0	0	148	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.neurotransmitter.receptor.activity	1	0	0	154	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	regulation.of.synapse.organization	1	0	0	163	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	synapse.adhesion.between.pre..and.post.synapse	1	0	0	172	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	synapse.assembly	1	0	0	216	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	synapse.maturation	1	0	0	150	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	postsynaptic.cytoskeleton.organization	1	0	0	157	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	protein.catabolic.process.at.synapse	1	0	0	150	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	axo.dendritic.transport	1	0	0	150	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	neurotransmitter.receptor.transport	1	0	0	150	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	postsynaptic.signaling.pathway	1	0	0	155	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	ligand.gated.ion.channel.activity.involved.in.regulation.of.presynaptic.membrane.potential	1	0	0	157	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	voltage.gated.ion.channel.activity.involved.in.regulation.of.presynaptic.membrane.potential	1	0	0	153	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	regulation.of.synaptic.vesicle.cycle	1	0	0	151	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	synaptic.vesicle.exocytosis	1	0	0	202	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	synaptic.vesicle.proton.loading	1	0	0	151	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	synaptic.vesicle.endocytosis	1	0	0	183	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	postsynaptic.neurotransmitter.receptor.endocytosis	1	0	0	170	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	trans.synaptic.signaling.by.trans.synaptic.complex	1	0	0	147	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	presynapse.assembly	1	0	0	153	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	regulation.of.synapse.assembly	1	0	0	178	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	postsynaptic.specialization.assembly	1	0	0	167	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	regulation.of.synapse.maturation	1	0	0	147	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	postsynaptic.actin.cytoskeleton.organization	1	0	0	154	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	protein.catabolic.process.at.postsynapse	1	0	0	147	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	neurotransmitter.receptor.transport.to.plasma.membrane	1	0	0	149	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	postsynapse.to.nucleus.signaling.pathway	1	0	0	153	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	calcium.dependent.activation.of.synaptic.vesicle.fusion	1	0	0	149	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	regulation.of.synaptic.vesicle.exocytosis	1	0	0	166	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	synaptic.vesicle.priming	1	0	0	150	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	regulation.of.synaptic.vesicle.endocytosis	1	0	0	151	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.neurotransmitter.receptor.endocytosis	1	0	0	163	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	postsynaptic.process.involved.in.chemical.synaptic.transmission	1	0	0	160	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	regulation.of.presynapse.assembly	1	0	0	163	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	postsynaptic.density.assembly	1	0	0	156	1	0	1	1	PD	syngoAll	0	NA
myTestGenes	postsynaptic.modulation.of.chemical.synaptic.transmission	1	0	0	159	1	0	1	1	PD	syngoAll	0	NA
