Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	synaptic.vesicle	0.000948788649342211	7.17199027856636	5	229	0.09867401953159	0.0218340611353712	0.09867401953159	0.09867401953159	SCZ	syngoAll	2.87117056652052	17.915147625028
myTestGenes	process.in.the.presynapse	0.00579167589101322	3.913668475757	6	348	0.213094301767081	0.0172413793103448	0.602334292665374	0.213094301767081	SCZ	syngoAll	1.70635995105782	8.97630123623025
myTestGenes	synaptic.vesicle.cycle	0.00614695101251195	4.56695760122914	5	285	0.213094301767081	0.0175438596491228	0.639282905301243	0.213094301767081	SCZ	syngoAll	1.8424069467746	11.3205726714926
myTestGenes	synaptic.vesicle.exocytosis	0.0116383466844571	6.77580508245794	3	192	0.302597013795885	0.015625	1	0.302597013795885	SCZ	syngoAll	2.09934355059735	21.8694717700679
myTestGenes	presynapse	0.0178169631817293	2.54735988218007	8	578	0.328412096537158	0.013840830449827	1	0.328412096537158	SCZ	syngoAll	1.23814159733749	5.2409533637304
myTestGenes	synaptic.vesicle.membrane	0.0189468517232976	5.59794445248654	3	205	0.328412096537158	0.0146341463414634	1	0.328412096537158	SCZ	syngoAll	1.74239019045674	17.9850542460356
myTestGenes	integral.component.of.presynaptic.active.zone.membrane	0.0353946692078499	7.13588218778199	2	169	0.525863656802342	0.0118343195266272	1	0.525863656802342	SCZ	syngoAll	1.70491911574507	29.8669972831241
myTestGenes	presynaptic.active.zone.membrane	0.0543891305209191	5.56202265452483	2	180	0.707058696771949	0.0111111111111111	1	0.707058696771949	SCZ	syngoAll	1.33901227659857	23.1036686893065
myTestGenes	presynaptic.endocytic.zone.membrane	0.0834057741290535	12.5660625248355	1	141	0.837366706942724	0.00709219858156028	1	0.837366706942724	SCZ	syngoAll	1.61048196645309	98.048864046486
myTestGenes	synaptic.vesicle.priming	0.0900363038360175	11.5188693140585	1	142	0.837366706942724	0.00704225352112676	1	0.837366706942724	SCZ	syngoAll	1.48678397431726	89.2425211505847
myTestGenes	regulation.of.synaptic.vesicle.cycle	0.0966192354164681	10.6297133231725	1	143	0.837366706942724	0.00699300699300699	1	0.837366706942724	SCZ	syngoAll	1.38030560199149	81.8592673751442
myTestGenes	synaptic.vesicle.proton.loading	0.0966192354164681	10.6297133231725	1	143	0.837366706942724	0.00699300699300699	1	0.837366706942724	SCZ	syngoAll	1.38030560199149	81.8592673751442
myTestGenes	presynaptic.endocytic.zone	0.1096436580396	9.21511577602602	1	145	0.864406731334364	0.00689655172413793	1	0.864406731334364	SCZ	syngoAll	1.20824695033397	70.2822868637009
myTestGenes	presynaptic.active.zone	0.116362444602703	3.51472663837934	2	209	0.864406731334364	0.00956937799043062	1	0.864406731334364	SCZ	syngoAll	0.854592652239554	14.4551948933333
myTestGenes	synapse	0.130144371565851	1.5496942405532	10	1041	0.888500112528893	0.00960614793467819	1	0.888500112528893	SCZ	syngoAll	0.810185322436324	2.9642011188033
myTestGenes	structural.constituent.of.postsynapse	0.147609343591506	6.58047958326941	1	151	0.888500112528893	0.00662251655629139	1	0.888500112528893	SCZ	syngoAll	0.87855358234016	49.2886403473335
myTestGenes	postsynaptic.modulation.of.chemical.synaptic.transmission	0.147609343591506	6.58047958326941	1	151	0.888500112528893	0.00662251655629139	1	0.888500112528893	SCZ	syngoAll	0.87855358234016	49.2886403473335
myTestGenes	postsynaptic.process.involved.in.chemical.synaptic.transmission	0.153778865630001	6.28106107657082	1	152	0.888500112528893	0.00657894736842105	1	0.888500112528893	SCZ	syngoAll	0.840312643446829	46.9488690373481
myTestGenes	regulation.of.presynaptic.cytosolic.calcium.levels	0.172022812566208	5.52741157707392	1	155	0.89451862534428	0.00645161290322581	1	0.89451862534428	SCZ	syngoAll	0.743352248635268	41.1006744090196
myTestGenes	presynaptic.cytosol	0.172022812566208	5.52741157707392	1	155	0.89451862534428	0.00645161290322581	1	0.89451862534428	SCZ	syngoAll	0.743352248635268	41.1006744090196
myTestGenes	regulation.of.synaptic.vesicle.exocytosis	0.189876393275697	4.93334601050641	1	158	0.940340233365359	0.00632911392405063	1	0.940340233365359	SCZ	syngoAll	0.666190128183778	36.5329683370294
myTestGenes	structural.constituent.of.synapse	0.201566011001715	4.60445309469138	1	160	0.952857506553563	0.00625	1	0.952857506553563	SCZ	syngoAll	0.623199691913523	34.0195744258406
myTestGenes	presynaptic.membrane	0.220601325993652	2.30878714793481	2	250	0.997501647971297	0.008	1	0.997501647971297	SCZ	syngoAll	0.564687349465458	9.43973350831201
myTestGenes	integral.component.of.synaptic.vesicle.membrane	0.262929712648622	3.36729140214939	1	171	1	0.00584795321637427	1	1	SCZ	syngoAll	0.459693330926664	24.6656860653871
myTestGenes	synaptic.vesicle.endocytosis	0.284063550036631	3.06728538479114	1	175	1	0.00571428571428571	1	1	SCZ	syngoAll	0.419614398510374	22.4211553873091
myTestGenes	process.in.the.synapse	0.301700789027091	1.30685674044518	7	875	1	0.008	1	1	SCZ	syngoAll	0.60804984042317	2.80877393020681
myTestGenes	postsynapse	0.377858116025432	1.25133687085824	5	683	1	0.00732064421669107	1	1	SCZ	syngoAll	0.509825886453442	3.07133083269261
myTestGenes	integral.component.of.postsynaptic.density.membrane	0.436968881037442	1.766470658797	1	208	1	0.00480769230769231	1	1	SCZ	syngoAll	0.243867712886652	12.7955380048242
myTestGenes	postsynaptic.density.membrane	0.50260081570071	1.44896990059394	1	225	1	0.00444444444444444	1	1	SCZ	syngoAll	0.200481486598181	10.4723573655217
myTestGenes	integral.component.of.presynaptic.membrane	0.547614852944954	1.27366459865154	1	238	1	0.00420168067226891	1	1	SCZ	syngoAll	0.176443039371121	9.19402383704171
myTestGenes	chemical.synaptic.transmission	0.631298686652064	1.00986168970264	1	266	1	0.0037593984962406	1	1	SCZ	syngoAll	0.140157453438508	7.27624972707213
myTestGenes	trans.synaptic.signaling	0.688398546315702	0.862665620183507	1	289	1	0.00346020761245675	1	1	SCZ	syngoAll	0.119852245830758	6.20924511750458
myTestGenes	synaptic.signaling	0.692927703571329	0.851853486103448	1	291	1	0.00343642611683849	1	1	SCZ	syngoAll	0.118359087688314	6.13095602508808
myTestGenes	postsynaptic.density	0.810767303474442	0.601932281750072	1	357	1	0.00280112044817927	1	1	SCZ	syngoAll	0.0837814479762217	4.32461458431322
myTestGenes	synapse.organization	0.851550199337045	0.524551372417707	1	390	1	0.00256410256410256	1	1	SCZ	syngoAll	0.0730507658616924	3.76661543598668
myTestGenes	postsynaptic.specialization	0.869022346664163	0.491884319548768	1	407	1	0.00245700245700246	1	1	SCZ	syngoAll	0.0685171971989686	3.53123294164164
myTestGenes	process.in.the.postsynapse	1	0	0	297	1	0	1	1	SCZ	syngoAll	0	NA
