Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	GO_TRANSLATIONAL_ELONGATION	0.00110227502953876	5.54344490216482	6	284	1	0.0211267605633803	1	1	SCZ	msigdbSetsPruned	2.40656974137437	12.7691214823418
myTestGenes	GO_PROTEIN_TARGETING_TO_MITOCHONDRION	0.00189173474173841	6.09736811036975	5	253	1	0.0197628458498024	1	1	SCZ	msigdbSetsPruned	2.44629770209502	15.1976179520239
myTestGenes	GO_POSITIVE_REGULATION_OF_TISSUE_REMODELING	0.00249713605032606	12.2950332987564	3	186	1	0.0161290322580645	1	1	SCZ	msigdbSetsPruned	3.69897916365149	40.867449404149
myTestGenes	KEGG_GLIOMA	0.00256177225856972	7.56179105354806	4	219	1	0.0182648401826484	1	1	SCZ	msigdbSetsPruned	2.71590778627345	21.0539857893991
myTestGenes	GO_NATURAL_KILLER_CELL_PROLIFERATION	0.00329582503032756	28.5011423684601	2	166	1	0.0120481927710843	1	1	SCZ	msigdbSetsPruned	6.00404213729728	135.294706088271
myTestGenes	GO_NK_T_CELL_ACTIVATION	0.00329582503032756	28.5011423684601	2	166	1	0.0120481927710843	1	1	SCZ	msigdbSetsPruned	6.00404213729728	135.294706088271
myTestGenes	GO_OPIOID_RECEPTOR_SIGNALING_PATHWAY	0.00400506020605312	25.3414409050089	2	167	1	0.0119760479041916	1	1	SCZ	msigdbSetsPruned	5.4311641009223	118.241433182438
myTestGenes	GO_OLIGOPEPTIDE_TRANSPORT	0.00477844698992756	22.8035326280449	2	168	1	0.0119047619047619	1	1	SCZ	msigdbSetsPruned	4.95574151274422	104.929020002571
myTestGenes	GO_REGULATION_OF_PROTEIN_TARGETING	0.00494341450890168	6.22879801438342	4	232	1	0.0172413793103448	1	1	SCZ	msigdbSetsPruned	2.24929767556143	17.2489062366113
myTestGenes	KEGG_BLADDER_CANCER	0.00518133985920609	9.30137604978349	3	195	1	0.0153846153846154	1	1	SCZ	msigdbSetsPruned	2.83770976849451	30.4878241531321
myTestGenes	GO_DEOXYRIBONUCLEOTIDE_BIOSYNTHETIC_PROCESS	0.00651302056517815	19.0051548816055	2	170	1	0.0117647058823529	1	1	SCZ	msigdbSetsPruned	4.2184224184632	85.6234573600147
myTestGenes	KEGG_GAP_JUNCTION	0.00755504669746478	5.4851348489894	4	242	1	0.0165289256198347	1	1	SCZ	msigdbSetsPruned	1.98677865589466	15.1434606076185
myTestGenes	GO_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION	0.00766169272988279	8.00104988758396	3	201	1	0.0149253731343284	1	1	SCZ	msigdbSetsPruned	2.45597829678576	26.0657023669096
myTestGenes	BIOCARTA_SPRY_PATHWAY	0.0084903884428953	16.2988343334459	2	172	1	0.0116279069767442	1	1	SCZ	msigdbSetsPruned	3.67338389949215	72.3180609208427
myTestGenes	REACTOME_GASTRIN_CREB_SIGNALLING_PATHWAY_VIA_PKC_AND_MAPK	0.00956732430625158	15.2136937333753	2	173	1	0.0115606936416185	1	1	SCZ	msigdbSetsPruned	3.44997537185338	67.0893128401087
myTestGenes	GO_NEGATIVE_REGULATION_OF_INTERLEUKIN_10_PRODUCTION	0.00956732430625158	15.2136937333753	2	173	1	0.0115606936416185	1	1	SCZ	msigdbSetsPruned	3.44997537185338	67.0893128401087
myTestGenes	GO_DEOXYRIBONUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS	0.00956732430625158	15.2136937333753	2	173	1	0.0115606936416185	1	1	SCZ	msigdbSetsPruned	3.44997537185338	67.0893128401087
myTestGenes	BIOCARTA_PTEN_PATHWAY	0.0107016331095064	14.2650731676507	2	174	1	0.0114942528735632	1	1	SCZ	msigdbSetsPruned	3.25238579912475	62.5670892220685
myTestGenes	GO_MEMBRANE_PROTEIN_PROTEOLYSIS	0.0125044898806988	6.61325701861028	3	210	1	0.0142857142857143	1	1	SCZ	msigdbSetsPruned	2.04335490177844	21.403608524458
myTestGenes	REACTOME_SIGNAL_TRANSDUCTION_BY_L1	0.0131380713496222	12.6755190368567	2	176	1	0.0113636363636364	1	1	SCZ	msigdbSetsPruned	2.91624624683918	55.094381356808
myTestGenes	REACTOME_BLOOD_GROUP_SYSTEMS_BIOSYNTHESIS	0.0144380872934532	12.0081025537049	2	177	1	0.0112994350282486	1	1	SCZ	msigdbSetsPruned	2.77328811511534	51.994066593509
myTestGenes	GO_PROTEIN_AUTOPHOSPHORYLATION	0.0146364175641168	3.17298625582203	6	377	1	0.0159151193633952	1	1	SCZ	msigdbSetsPruned	1.38826323841163	7.25211292863634
