Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	neurotransmitter.receptor.transport.to.plasma.membrane	0.100513610080058	10.3095801144253	1	169	1	0.00591715976331361	1	1	SCZ	syngoAll	1.32299779890422	80.3383363326727
myTestGenes	neurotransmitter.receptor.transport	0.10842184276649	9.45152706249473	1	170	1	0.00588235294117647	1	1	SCZ	syngoAll	1.22152804812255	73.1308330990594
myTestGenes	presynaptic.cytosol	0.205154696576943	4.53464504942655	1	183	1	0.00546448087431694	1	1	SCZ	syngoAll	0.610648275942797	33.67405843002
myTestGenes	transport	0.246210100360657	3.65576948396065	1	189	1	0.00529100529100529	1	1	SCZ	syngoAll	0.495968076881964	26.9465942321901
myTestGenes	postsynaptic.density..intracellular.component	0.259421392680812	3.43361952281028	1	191	1	0.00523560209424084	1	1	SCZ	syngoAll	0.466706564869257	25.2615752913754
myTestGenes	postsynaptic.density	0.324185381478292	1.51390083938369	3	383	1	0.00783289817232376	1	1	SCZ	syngoAll	0.479333767060273	4.78141935533294
myTestGenes	synaptic.vesicle.endocytosis	0.333993910993124	2.51628949717684	1	203	1	0.00492610837438424	1	1	SCZ	syngoAll	0.344696383556651	18.3689563791488
myTestGenes	postsynaptic.specialization	0.44274751990673	1.23517228874823	3	433	1	0.0069284064665127	1	1	SCZ	syngoAll	0.391610661066312	3.89583516122201
myTestGenes	postsynapse	0.726626622170707	0.809749994683628	4	712	1	0.00561797752808989	1	1	SCZ	syngoAll	0.299011344605649	2.192876844706
myTestGenes	synaptic.vesicle.cycle	0.757872640512351	0.70769876326523	1	317	1	0.00315457413249211	1	1	SCZ	syngoAll	0.0984547306512709	5.08698298409972
myTestGenes	process.in.the.presynapse	0.863194090782649	0.502769864718571	1	381	1	0.0026246719160105	1	1	SCZ	syngoAll	0.070068211264142	3.60759226343332
myTestGenes	synapse	0.91224777383648	0.603257327830102	5	1074	1	0.00465549348230913	1	1	SCZ	syngoAll	0.246933629309993	1.4737539175916
myTestGenes	presynapse	0.983027709119262	0.24316246523345	1	613	1	0.00163132137030995	1	1	SCZ	syngoAll	0.0339638133415111	1.74091124291222
myTestGenes	process.in.the.synapse	0.990952289408581	0.291892259281401	2	908	1	0.00220264317180617	1	1	SCZ	syngoAll	0.0722176221564664	1.17978255838727
myTestGenes	process.in.the.postsynapse	1	0	0	325	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	synaptic.signaling	1	0	0	320	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	synapse.organization	1	0	0	419	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	metabolism	1	0	0	247	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	pathway	1	0	0	177	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	regulation.of.presynaptic.cytosolic.calcium.levels	1	0	0	184	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	regulation.of.presynaptic.membrane.potential	1	0	0	196	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	neurotransmitter.reuptake	1	0	0	168	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.cytosolic.calcium.levels	1	0	0	169	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.membrane.potential	1	0	0	207	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.neurotransmitter.receptor.activity	1	0	0	175	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.membrane.neurotransmitter.receptor.levels	1	0	0	252	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	trans.synaptic.signaling	1	0	0	318	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	postsynapse.organization	1	0	0	219	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	modification.of.synaptic.structure	1	0	0	188	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	regulation.of.synapse.organization	1	0	0	184	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	structural.constituent.of.synapse	1	0	0	189	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	synapse.adhesion.between.pre..and.post.synapse	1	0	0	193	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	synapse.assembly	1	0	0	237	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	synapse.maturation	1	0	0	171	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	maintenance.of.synapse.structure	1	0	0	172	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	postsynaptic.cytoskeleton.organization	1	0	0	178	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	protein.catabolic.process.at.synapse	1	0	0	171	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	protein.translation.at.synapse	1	0	0	212	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	axo.dendritic.transport	1	0	0	171	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	postsynaptic.signaling.pathway	1	0	0	176	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	ligand.gated.ion.channel.activity.involved.in.regulation.of.presynaptic.membrane.potential	1	0	0	178	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	voltage.gated.ion.channel.activity.involved.in.regulation.of.presynaptic.membrane.potential	1	0	0	174	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	regulation.of.synaptic.vesicle.cycle	1	0	0	172	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	synaptic.vesicle.exocytosis	1	0	0	223	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	synaptic.vesicle.proton.loading	1	0	0	172	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	transmitter.gated.ion.channel.activity.involved.in.regulation.of.postsynaptic.membrane.potential	1	0	0	196	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	neurotransmitter.receptor.localization.to.postsynaptic.specialization.membrane	1	0	0	197	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	postsynaptic.neurotransmitter.receptor.endocytosis	1	0	0	191	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	trans.synaptic.signaling.by.trans.synaptic.complex	1	0	0	168	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	chemical.synaptic.transmission	1	0	0	295	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	regulation.of.postsynapse.organization	1	0	0	203	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	modification.of.postsynaptic.structure	1	0	0	187	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	structural.constituent.of.postsynapse	1	0	0	180	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	presynapse.assembly	1	0	0	174	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	regulation.of.synapse.assembly	1	0	0	199	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	postsynaptic.specialization.assembly	1	0	0	188	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	regulation.of.synapse.maturation	1	0	0	168	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	postsynaptic.actin.cytoskeleton.organization	1	0	0	175	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	protein.catabolic.process.at.postsynapse	1	0	0	168	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	protein.translation.at.presynapse	1	0	0	207	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	protein.translation.at.postsynapse	1	0	0	212	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	postsynapse.to.nucleus.signaling.pathway	1	0	0	174	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	calcium.dependent.activation.of.synaptic.vesicle.fusion	1	0	0	170	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	regulation.of.synaptic.vesicle.exocytosis	1	0	0	187	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	synaptic.vesicle.priming	1	0	0	171	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	regulation.of.synaptic.vesicle.endocytosis	1	0	0	172	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	regulation.of.neurotransmitter.receptor.localization.to.postsynaptic.specialization.membrane	1	0	0	175	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.neurotransmitter.receptor.endocytosis	1	0	0	184	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	modulation.of.chemical.synaptic.transmission	1	0	0	236	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	presynaptic.process.involved.in.chemical.synaptic.transmission	1	0	0	199	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	postsynaptic.process.involved.in.chemical.synaptic.transmission	1	0	0	181	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	modification.of.postsynaptic.actin.cytoskeleton	1	0	0	176	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	structural.constituent.of.postsynaptic.density	1	0	0	168	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	regulation.of.presynapse.assembly	1	0	0	184	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	postsynaptic.density.assembly	1	0	0	177	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	presynaptic.modulation.of.chemical.synaptic.transmission	1	0	0	199	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	postsynaptic.modulation.of.chemical.synaptic.transmission	1	0	0	180	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.density.assembly	1	0	0	172	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	synaptic.membrane	1	0	0	173	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	synaptic.cleft	1	0	0	174	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	presynaptic.active.zone	1	0	0	239	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	presynaptic.endocytic.zone	1	0	0	174	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	synaptic.vesicle	1	0	0	262	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	neuronal.dense.core.vesicle	1	0	0	171	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	presynaptic.membrane	1	0	0	280	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	presynaptic.ribosome	1	0	0	208	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	postsynaptic.cytosol	1	0	0	180	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	postsynaptic.cytoskeleton	1	0	0	178	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	postsynaptic.membrane	1	0	0	262	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	postsynaptic.ribosome	1	0	0	226	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	presynaptic.active.zone.cytoplasmic.component	1	0	0	176	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	presynaptic.active.zone.membrane	1	0	0	210	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	presynaptic.endocytic.zone.membrane	1	0	0	170	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	synaptic.vesicle.membrane	1	0	0	236	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	integral.component.of.presynaptic.membrane	1	0	0	267	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	postsynaptic.actin.cytoskeleton	1	0	0	173	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	postsynaptic.specialization.membrane	1	0	0	198	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	integral.component.of.postsynaptic.membrane	1	0	0	247	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	integral.component.of.presynaptic.active.zone.membrane	1	0	0	199	1	0	1	1	SCZ	syngoAll	0	NA
