Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	GO_ORGANELLE_DISASSEMBLY	6.19033734443401e-05	9.7525564072173	6	219	0.117897148801663	0.0273972602739726	0.288841140491291	0.117897148801663	SCZ	msigdbSetsPruned	4.18587321254029	22.7222258407187
myTestGenes	GO_MACROMOLECULE_CATABOLIC_PROCESS	8.4729527014493e-05	2.69512068013223	23	1418	0.117897148801663	0.0162200282087447	0.395347973049624	0.117897148801663	SCZ	msigdbSetsPruned	1.71340856578385	4.23931315947019
myTestGenes	GO_VESICLE_BUDDING_FROM_MEMBRANE	0.000122539260492347	8.55308761258201	6	231	0.117897148801663	0.025974025974026	0.571768189457293	0.117897148801663	SCZ	msigdbSetsPruned	3.68296370223077	19.8631628284019
myTestGenes	GO_REGULATION_OF_NUCLEOTIDE_BIOSYNTHETIC_PROCESS	0.000156292087603264	16.7286205564092	4	166	0.117897148801663	0.0240963855421687	0.72925888075683	0.117897148801663	SCZ	msigdbSetsPruned	5.84199196859444	47.9026241776305
myTestGenes	GO_REGULATION_OF_AUTOPHAGY_OF_MITOCHONDRION	0.000156292087603264	16.7286205564092	4	166	0.117897148801663	0.0240963855421687	0.72925888075683	0.117897148801663	SCZ	msigdbSetsPruned	5.84199196859444	47.9026241776305
myTestGenes	GO_REGULATION_OF_ATP_BIOSYNTHETIC_PROCESS	0.000168619180593165	34.2555150946087	3	145	0.117897148801663	0.0206896551724138	0.786777096647708	0.117897148801663	SCZ	msigdbSetsPruned	9.55403480594843	122.821440180056
myTestGenes	GO_MEMBRANE_ORGANIZATION	0.000176870990486849	3.10893850576356	16	885	0.117897148801663	0.0180790960451977	0.825280041611639	0.117897148801663	SCZ	msigdbSetsPruned	1.83449786658433	5.26874345763926
myTestGenes	GO_PROCESS_UTILIZING_AUTOPHAGIC_MECHANISM	0.000205940331113545	3.74061663627364	12	594	0.120114698121975	0.0202020202020202	0.960917584975802	0.120114698121975	SCZ	msigdbSetsPruned	2.05214806439535	6.81832517951858
myTestGenes	GO_POSITIVE_REGULATION_OF_AUTOPHAGY_OF_MITOCHONDRION	0.000249287583144394	29.3713487534221	3	147	0.129241762550194	0.0204081632653061	1	0.129241762550194	SCZ	msigdbSetsPruned	8.34090055141086	103.427216555079
myTestGenes	GO_SELECTIVE_AUTOPHAGY	0.000336833454767676	13.4552428609581	4	174	0.157166489994597	0.0229885057471264	1	0.157166489994597	SCZ	msigdbSetsPruned	4.75012488751671	38.1134316959004
myTestGenes	GO_MODIFICATION_DEPENDENT_MACROMOLECULE_CATABOLIC_PROCESS	0.000450506997991383	3.23107198718904	13	712	0.186311306520431	0.0182584269662921	1	0.186311306520431	SCZ	msigdbSetsPruned	1.81223229936529	5.76075494849868
myTestGenes	GO_RESPONSE_TO_GROWTH_FACTOR	0.000479154667433598	3.05900997466219	14	794	0.186311306520431	0.017632241813602	1	0.186311306520431	SCZ	msigdbSetsPruned	1.74871231627147	5.35110431716668
myTestGenes	GO_ORGANONITROGEN_COMPOUND_BIOSYNTHETIC_PROCESS	0.000543509268643112	2.26359368539541	25	1789	0.195078019037597	0.0139742873113471	1	0.195078019037597	SCZ	msigdbSetsPruned	1.4608430864398	3.50746525764739
