Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	synapse	4.75649771891862e-05	3.13121044190573	19	1035	0.00494675762767536	0.0183574879227053	0.00494675762767536	0.00494675762767536	SCZ	syngoAll	1.91772729364232	5.11255112445
myTestGenes	process.in.the.synapse	0.000139115332585417	3.17948416752315	16	869	0.00723399729444169	0.0184119677790564	0.0144679945888834	0.00723399729444169	SCZ	syngoAll	1.87592781039426	5.38886385473745
myTestGenes	postsynapse	0.000256209364385517	3.4393861379335	13	678	0.00888192463203125	0.0191740412979351	0.0266457738960938	0.00888192463203125	SCZ	syngoAll	1.92838145052173	6.13435531782815
myTestGenes	postsynaptic.density.membrane	0.00562183644032448	5.98351611586319	4	225	0.101106529249467	0.0177777777777778	0.584670989793746	0.101106529249467	SCZ	syngoAll	2.16638355677722	16.5263741024952
myTestGenes	presynapse	0.00684972763040487	2.82547816901392	9	580	0.101106529249467	0.0155172413793103	0.712371673562107	0.101106529249467	SCZ	syngoAll	1.42698962605224	5.59452342036998
myTestGenes	postsynaptic.density	0.0070221140323152	3.75102239637189	6	355	0.101106529249467	0.0169014084507042	0.730299859360781	0.101106529249467	SCZ	syngoAll	1.6364805537858	8.59782231174937
myTestGenes	synaptic.signaling	0.0071130674126453	4.40141273920025	5	290	0.101106529249467	0.0172413793103448	0.739759010915111	0.101106529249467	SCZ	syngoAll	1.77663645127203	10.9039945042915
myTestGenes	process.in.the.postsynapse	0.0080585116930542	4.26431588208288	5	295	0.101106529249467	0.0169491525423729	0.838085216077637	0.101106529249467	SCZ	syngoAll	1.7220138215427	10.5599558578998
myTestGenes	integral.component.of.presynaptic.membrane	0.00874960349274237	5.23981964015813	4	238	0.101106529249467	0.0168067226890756	0.909958763245207	0.101106529249467	SCZ	syngoAll	1.90196084993954	14.4354758207876
myTestGenes	presynaptic.membrane	0.0128409242841002	4.65863725683303	4	251	0.133545612554642	0.0159362549800797	1	0.133545612554642	SCZ	syngoAll	1.69437148264287	12.8088210366364
myTestGenes	presynaptic.cytosol	0.0157107322981375	11.3336349513116	2	157	0.148537832636936	0.0127388535031847	1	0.148537832636936	SCZ	syngoAll	2.65130171067686	48.4483831818594
myTestGenes	postsynaptic.specialization	0.0173689119038443	3.05276536513958	6	405	0.150530569833317	0.0148148148148148	1	0.150530569833317	SCZ	syngoAll	1.33440652728144	6.98391096271238
myTestGenes	postsynaptic.neurotransmitter.receptor.endocytosis	0.0246818046599346	8.77213742280503	2	164	0.197454437279477	0.0121951219512195	1	0.197454437279477	SCZ	syngoAll	2.0778842344473	37.0330520290244
myTestGenes	integral.component.of.postsynaptic.membrane	0.02832864284438	4.76566550931624	3	219	0.199234995552825	0.0136986301369863	1	0.199234995552825	SCZ	syngoAll	1.4879589552717	15.2635713950452
myTestGenes	trans.synaptic.signaling	0.0310917443445577	3.51629532827052	4	289	0.199234995552825	0.013840830449827	1	0.199234995552825	SCZ	syngoAll	1.28392869744709	9.6300774803163
myTestGenes	regulation.of.presynaptic.membrane.potential	0.0320869589149555	7.55244462379603	2	169	0.199234995552825	0.0118343195266272	1	0.199234995552825	SCZ	syngoAll	1.79971561603249	31.6935738554351
myTestGenes	regulation.of.postsynaptic.membrane.neurotransmitter.receptor.levels	0.0325672588884425	4.50313164235964	3	224	0.199234995552825	0.0133928571428571	1	0.199234995552825	SCZ	syngoAll	1.40747306619774	14.4075187479088
myTestGenes	postsynaptic.membrane	0.0419774399358512	4.05446248278293	3	234	0.239234225651963	0.0128205128205128	1	0.239234225651963	SCZ	syngoAll	1.26952057645512	12.9487196420211
myTestGenes	regulation.of.postsynapse.organization	0.0437062527633394	6.32050139734345	2	176	0.239234225651963	0.0113636363636364	1	0.239234225651963	SCZ	syngoAll	1.5153170934885	26.3632859983464
myTestGenes	postsynapse.organization	0.0749084280743278	4.60265179422568	2	192	0.388003226300143	0.0104166666666667	1	0.388003226300143	SCZ	syngoAll	1.11289653741237	19.0353755508534
myTestGenes	chemical.synaptic.transmission	0.0813589993002175	3.05057354865769	3	267	0.388003226300143	0.0112359550561798	1	0.388003226300143	SCZ	syngoAll	0.959053019674934	9.70332065574875
myTestGenes	process.in.the.presynapse	0.0848710648797789	2.48464724691311	4	353	0.388003226300143	0.0113314447592068	1	0.388003226300143	SCZ	syngoAll	0.910472672215805	6.7805131663849
myTestGenes	postsynaptic.actin.cytoskeleton	0.10541370964492	9.64447498453597	1	147	0.388003226300143	0.00680272108843537	1	0.388003226300143	SCZ	syngoAll	1.25907799900665	73.8761997276776
myTestGenes	voltage.gated.ion.channel.activity.involved.in.regulation.of.presynaptic.membrane.potential	0.112035480382766	9.00392214370911	1	148	0.388003226300143	0.00675675675675676	1	0.388003226300143	SCZ	syngoAll	1.18075278984921	68.6601079132986
myTestGenes	postsynapse.to.nucleus.signaling.pathway	0.112035480382766	9.00392214370911	1	148	0.388003226300143	0.00675675675675676	1	0.388003226300143	SCZ	syngoAll	1.18075278984921	68.6601079132986
myTestGenes	presynaptic.endocytic.zone	0.112035480382766	9.00392214370911	1	148	0.388003226300143	0.00675675675675676	1	0.388003226300143	SCZ	syngoAll	1.18075278984921	68.6601079132986
myTestGenes	modulation.of.chemical.synaptic.transmission	0.113531352167063	3.56962567399999	2	209	0.388003226300143	0.00956937799043062	1	0.388003226300143	SCZ	syngoAll	0.867563135094912	14.6873777100797
myTestGenes	integral.component.of.postsynaptic.density.membrane	0.115940021130899	3.52321434217507	2	210	0.388003226300143	0.00952380952380952	1	0.388003226300143	SCZ	syngoAll	0.856482037218332	14.493052698715
myTestGenes	regulation.of.postsynaptic.neurotransmitter.receptor.activity	0.118608602278938	8.44409701667345	1	149	0.388003226300143	0.00671140939597315	1	0.388003226300143	SCZ	syngoAll	1.11171399294168	64.137696277728
myTestGenes	regulation.of.neurotransmitter.receptor.localization.to.postsynaptic.specialization.membrane	0.118608602278938	8.44409701667345	1	149	0.388003226300143	0.00671140939597315	1	0.388003226300143	SCZ	syngoAll	1.11171399294168	64.137696277728
myTestGenes	postsynaptic.signaling.pathway	0.125133430059085	7.94410924411224	1	150	0.388003226300143	0.00666666666666667	1	0.388003226300143	SCZ	syngoAll	1.04953991813969	60.1300346862939
myTestGenes	modification.of.postsynaptic.actin.cytoskeleton	0.125133430059085	7.94410924411224	1	150	0.388003226300143	0.00666666666666667	1	0.388003226300143	SCZ	syngoAll	1.04953991813969	60.1300346862939
myTestGenes	anchored.component.of.synaptic.vesicle.membrane	0.125133430059085	7.94410924411224	1	150	0.388003226300143	0.00666666666666667	1	0.388003226300143	SCZ	syngoAll	1.04953991813969	60.1300346862939
myTestGenes	synapse.organization	0.12845863082577	2.12252150846632	4	390	0.388003226300143	0.0102564102564103	1	0.388003226300143	SCZ	syngoAll	0.778750399023271	5.78503402316397
myTestGenes	pathway	0.131610315881607	7.50289478113049	1	151	0.388003226300143	0.00662251655629139	1	0.388003226300143	SCZ	syngoAll	0.994329871296185	56.6144412651833
myTestGenes	ligand.gated.ion.channel.activity.involved.in.regulation.of.presynaptic.membrane.potential	0.138039609356782	7.10866381687369	1	152	0.388003226300143	0.00657894736842105	1	0.388003226300143	SCZ	syngoAll	0.944707490078232	53.4907384476696
