Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	GO_CELLULAR_AMINO_ACID_CATABOLIC_PROCESS	0.000855047549022618	7.34585743971324	5	225	1	0.0222222222222222	1	1	SCZ	msigdbSetsPruned	2.94012807257785	18.3534935188309
myTestGenes	GO_CELL_CYCLE_G2_M_PHASE_TRANSITION	0.00117943384961592	4.66827982679764	7	365	1	0.0191780821917808	1	1	SCZ	msigdbSetsPruned	2.1500617696368	10.1359118370665
myTestGenes	GO_CELLULAR_AMINO_ACID_BIOSYNTHETIC_PROCESS	0.00131586688444729	9.11144105909529	4	184	1	0.0217391304347826	1	1	SCZ	msigdbSetsPruned	3.27151742524458	25.3761014790135
myTestGenes	GO_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE	0.00164982595786607	14.1505983639138	3	146	1	0.0205479452054795	1	1	SCZ	msigdbSetsPruned	4.28693224184283	46.709260319618
myTestGenes	GO_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	0.00172780985506466	4.35429972310326	7	383	1	0.0182767624020888	1	1	SCZ	msigdbSetsPruned	2.00674763903308	9.4480868993336
myTestGenes	GO_RESPONSE_TO_FUNGICIDE	0.00200253346882112	36.359924125159	2	120	1	0.0166666666666667	1	1	SCZ	msigdbSetsPruned	7.76585674750219	170.238020784061
myTestGenes	GO_SCF_DEPENDENT_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	0.00206474266484825	8.00926261809277	4	194	1	0.0206185567010309	1	1	SCZ	msigdbSetsPruned	2.88470139205874	22.2374100356353
myTestGenes	GO_NEGATIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	0.00273707228397823	7.38409205739745	4	201	1	0.0199004975124378	1	1	SCZ	msigdbSetsPruned	2.66422912572969	20.4655128890938
myTestGenes	GO_POSITIVE_REGULATION_OF_GLUCONEOGENESIS	0.00281715027636614	29.7609416576477	2	122	1	0.0163934426229508	1	1	SCZ	msigdbSetsPruned	6.51958703728771	135.854256302464
myTestGenes	GO_NEGATIVE_REGULATION_OF_MEMBRANE_POTENTIAL	0.00327346126679403	27.2974748937934	2	123	1	0.016260162601626	1	1	SCZ	msigdbSetsPruned	6.03769528119776	123.416651697841
myTestGenes	GO_MRNA_METABOLIC_PROCESS	0.00341633345406418	2.67018462222598	12	887	1	0.0135287485907554	1	1	SCZ	msigdbSetsPruned	1.46042893744512	4.8820491938794
myTestGenes	GO_MITOCHONDRIAL_RNA_PROCESSING	0.0042820364209949	23.3693138318185	2	125	1	0.016	1	1	SCZ	msigdbSetsPruned	5.24819731625785	104.059507686237
myTestGenes	GO_RESPONSE_TO_EPINEPHRINE	0.0042820364209949	23.3693138318185	2	125	1	0.016	1	1	SCZ	msigdbSetsPruned	5.24819731625785	104.059507686237
