Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	presynapse.assembly	0.00315780436193925	27.4336583184252	2	109	0.328411653641682	0.018348623853211	0.328411653641682	0.328411653641682	SCZ	syngoAll	6.14846872383738	122.405373197114
myTestGenes	neurotransmitter.receptor.transport.to.plasma.membrane	0.06160165218617	17.2745101268602	1	106	1	0.00943396226415094	1	1	SCZ	syngoAll	2.20796014357003	135.151307414681
myTestGenes	synapse.assembly	0.0654782682530181	4.97387126015223	2	172	1	0.0116279069767442	1	1	SCZ	syngoAll	1.20402863351178	20.5471818725865
myTestGenes	neurotransmitter.receptor.transport	0.0665623022914206	15.8358022146808	1	107	1	0.00934579439252336	1	1	SCZ	syngoAll	2.03846319776525	123.020436207733
myTestGenes	integral.component.of.presynaptic.membrane	0.1132153877383	3.57356771078697	2	202	1	0.0099009900990099	1	1	SCZ	syngoAll	0.86933919760796	14.6897623145462
myTestGenes	postsynaptic.density	0.119906451051861	2.55954929115159	3	320	1	0.009375	1	1	SCZ	syngoAll	0.80447003037372	8.14361297063009
myTestGenes	regulation.of.postsynaptic.neurotransmitter.receptor.endocytosis	0.128737610859206	7.59879004983932	1	120	1	0.00833333333333333	1	1	SCZ	syngoAll	1.01910296448265	56.6592505702796
myTestGenes	presynaptic.membrane	0.136021536375156	3.18380874789725	2	215	1	0.00930232558139535	1	1	SCZ	syngoAll	0.775589576375803	13.0695904792246
myTestGenes	regulation.of.synaptic.vesicle.exocytosis	0.142493367324027	6.78302432030366	1	123	1	0.00813008130081301	1	1	SCZ	syngoAll	0.913436365452765	50.3695940625545
myTestGenes	transport	0.156034194052366	6.12618695202702	1	126	1	0.00793650793650794	1	1	SCZ	syngoAll	0.827721741335548	45.3415256564728
myTestGenes	postsynaptic.neurotransmitter.receptor.endocytosis	0.160500616622984	5.93447661222177	1	127	1	0.0078740157480315	1	1	SCZ	syngoAll	0.802595560220835	43.8801488651606
myTestGenes	postsynapse	0.172792904306092	1.74143703268323	5	648	1	0.00771604938271605	1	1	SCZ	syngoAll	0.704816041054047	4.30268717247885
myTestGenes	postsynaptic.specialization	0.18191522217831	2.08837530407613	3	370	1	0.00810810810810811	1	1	SCZ	syngoAll	0.657260546208976	6.63558985219901
myTestGenes	regulation.of.postsynapse.organization	0.212307517056931	4.31359499833381	1	139	1	0.00719424460431655	1	1	SCZ	syngoAll	0.588185837619304	31.6347327996933
myTestGenes	postsynapse.organization	0.27649270161659	3.16057023303484	1	155	1	0.00645161290322581	1	1	SCZ	syngoAll	0.433492656239075	23.0435373106685
myTestGenes	synaptic.vesicle.exocytosis	0.291712940095774	2.96237795556635	1	159	1	0.00628930817610063	1	1	SCZ	syngoAll	0.406718821758869	21.576781506385
myTestGenes	process.in.the.presynapse	0.331921299470166	1.71125179891818	2	317	1	0.00630914826498423	1	1	SCZ	syngoAll	0.419048791870592	6.98816647633965
myTestGenes	integral.component.of.postsynaptic.density.membrane	0.342530829847375	2.42888634677508	1	173	1	0.00578034682080925	1	1	SCZ	syngoAll	0.334379769606505	17.6430795813182
myTestGenes	synapse	0.359682669781404	1.2505244827946	6	1010	1	0.00594059405940594	1	1	SCZ	syngoAll	0.54563364655317	2.86604664493745
myTestGenes	integral.component.of.postsynaptic.membrane	0.376603707259528	2.15175812340053	1	183	1	0.00546448087431694	1	1	SCZ	syngoAll	0.296646584018466	15.6080105791205
myTestGenes	regulation.of.postsynaptic.membrane.neurotransmitter.receptor.levels	0.392978924450914	2.03545945324251	1	188	1	0.00531914893617021	1	1	SCZ	syngoAll	0.280779626107165	14.755683107196
myTestGenes	postsynaptic.density.membrane	0.399409187120722	1.99247858080652	1	190	1	0.00526315789473684	1	1	SCZ	syngoAll	0.274911007243384	14.4409310299389
myTestGenes	synapse.organization	0.402124872913778	1.46370666751128	2	354	1	0.00564971751412429	1	1	SCZ	syngoAll	0.358745366498868	5.97202753982814
myTestGenes	postsynaptic.membrane	0.424463121650297	1.83689138515401	1	198	1	0.00505050505050505	1	1	SCZ	syngoAll	0.253645018369592	13.302725133503
myTestGenes	presynapse	0.434260181321494	1.25501901418196	3	548	1	0.00547445255474453	1	1	SCZ	syngoAll	0.39592324480228	3.97822746362071
myTestGenes	process.in.the.synapse	0.565755527104466	1.00722823115575	4	843	1	0.00474495848161329	1	1	SCZ	syngoAll	0.369066837401576	2.74884819448913
myTestGenes	synaptic.vesicle.cycle	0.5731242039922	1.18618936534338	1	254	1	0.00393700787401575	1	1	SCZ	syngoAll	0.164338279200944	8.56188355686302
myTestGenes	process.in.the.postsynapse	0.58880167231823	1.13572457508556	1	261	1	0.00383141762452107	1	1	SCZ	syngoAll	0.157387290953339	8.19551758366361
myTestGenes	synaptic.signaling	1	0	0	257	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	metabolism	1	0	0	184	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	pathway	1	0	0	114	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	regulation.of.presynaptic.cytosolic.calcium.levels	1	0	0	121	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	regulation.of.presynaptic.membrane.potential	1	0	0	133	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	neurotransmitter.reuptake	1	0	0	105	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.cytosolic.calcium.levels	1	0	0	106	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.membrane.potential	1	0	0	144	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.neurotransmitter.receptor.activity	1	0	0	112	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	trans.synaptic.signaling	1	0	0	255	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	modification.of.synaptic.structure	1	0	0	125	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	regulation.of.synapse.organization	1	0	0	121	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	structural.constituent.of.synapse	1	0	0	126	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	synapse.adhesion.between.pre..and.post.synapse	1	0	0	130	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	synapse.maturation	1	0	0	108	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	maintenance.of.synapse.structure	1	0	0	109	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	postsynaptic.cytoskeleton.organization	1	0	0	115	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	protein.catabolic.process.at.synapse	1	0	0	108	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	protein.translation.at.synapse	1	0	0	149	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	axo.dendritic.transport	1	0	0	108	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	postsynaptic.signaling.pathway	1	0	0	113	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	ligand.gated.ion.channel.activity.involved.in.regulation.of.presynaptic.membrane.potential	1	0	0	115	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	voltage.gated.ion.channel.activity.involved.in.regulation.of.presynaptic.membrane.potential	1	0	0	111	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	regulation.of.synaptic.vesicle.cycle	1	0	0	109	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	synaptic.vesicle.proton.loading	1	0	0	109	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	synaptic.vesicle.endocytosis	1	0	0	141	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	transmitter.gated.ion.channel.activity.involved.in.regulation.of.postsynaptic.membrane.potential	1	0	0	133	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	neurotransmitter.receptor.localization.to.postsynaptic.specialization.membrane	1	0	0	134	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	trans.synaptic.signaling.by.trans.synaptic.complex	1	0	0	105	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	chemical.synaptic.transmission	1	0	0	232	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	modification.of.postsynaptic.structure	1	0	0	124	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	structural.constituent.of.postsynapse	1	0	0	117	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	regulation.of.synapse.assembly	1	0	0	136	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	postsynaptic.specialization.assembly	1	0	0	125	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	regulation.of.synapse.maturation	1	0	0	105	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	postsynaptic.actin.cytoskeleton.organization	1	0	0	112	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	protein.catabolic.process.at.postsynapse	1	0	0	105	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	protein.translation.at.presynapse	1	0	0	144	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	protein.translation.at.postsynapse	1	0	0	149	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	postsynapse.to.nucleus.signaling.pathway	1	0	0	111	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	calcium.dependent.activation.of.synaptic.vesicle.fusion	1	0	0	107	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	synaptic.vesicle.priming	1	0	0	108	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	regulation.of.synaptic.vesicle.endocytosis	1	0	0	109	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	regulation.of.neurotransmitter.receptor.localization.to.postsynaptic.specialization.membrane	1	0	0	112	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	modulation.of.chemical.synaptic.transmission	1	0	0	173	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	presynaptic.process.involved.in.chemical.synaptic.transmission	1	0	0	136	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	postsynaptic.process.involved.in.chemical.synaptic.transmission	1	0	0	118	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	modification.of.postsynaptic.actin.cytoskeleton	1	0	0	113	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	structural.constituent.of.postsynaptic.density	1	0	0	105	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	regulation.of.presynapse.assembly	1	0	0	121	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	postsynaptic.density.assembly	1	0	0	114	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	presynaptic.modulation.of.chemical.synaptic.transmission	1	0	0	136	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	postsynaptic.modulation.of.chemical.synaptic.transmission	1	0	0	117	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	regulation.of.postsynaptic.density.assembly	1	0	0	109	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	synaptic.membrane	1	0	0	110	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	synaptic.cleft	1	0	0	111	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	presynaptic.cytosol	1	0	0	121	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	presynaptic.active.zone	1	0	0	176	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	presynaptic.endocytic.zone	1	0	0	111	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	synaptic.vesicle	1	0	0	199	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	neuronal.dense.core.vesicle	1	0	0	108	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	presynaptic.ribosome	1	0	0	145	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	postsynaptic.cytosol	1	0	0	117	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	postsynaptic.cytoskeleton	1	0	0	115	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	postsynaptic.ribosome	1	0	0	163	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	presynaptic.active.zone.cytoplasmic.component	1	0	0	113	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	presynaptic.active.zone.membrane	1	0	0	147	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	presynaptic.endocytic.zone.membrane	1	0	0	107	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	synaptic.vesicle.membrane	1	0	0	173	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	postsynaptic.actin.cytoskeleton	1	0	0	110	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	postsynaptic.specialization.membrane	1	0	0	135	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	integral.component.of.presynaptic.active.zone.membrane	1	0	0	136	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	anchored.component.of.synaptic.vesicle.membrane	1	0	0	113	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	integral.component.of.synaptic.vesicle.membrane	1	0	0	137	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	integral.component.of.postsynaptic.specialization.membrane	1	0	0	131	1	0	1	1	SCZ	syngoAll	0	NA
myTestGenes	postsynaptic.density..intracellular.component	1	0	0	129	1	0	1	1	SCZ	syngoAll	0	NA
