Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	PID_TAP63_PATHWAY	0.000139891789927857	5.30868865044671	9	718	0.485307002610856	0.0125348189415042	0.65273509180338	0.485307002610856	AD	msigdbSetsPruned	2.58087526654585	10.9196192286734
myTestGenes	REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	0.000266295720328308	2.00166814887162	35	1135	0.485307002610856	0.0308370044052863	1	0.485307002610856	AD	msigdbSetsPruned	1.40687638995716	2.84792282165538
myTestGenes	GO_PROTEIN_LOCALIZATION_TO_MEMBRANE	0.000312027648485334	1.89043294597948	40	1233	0.485307002610856	0.032441200324412	1	0.485307002610856	AD	msigdbSetsPruned	1.35845800833765	2.63073035847303
myTestGenes	GO_REGULATION_OF_CELL_AGING	0.000432268712375427	5.05812404719485	8	715	0.504241452985935	0.0111888111888112	1	0.504241452985935	AD	msigdbSetsPruned	2.36195996298773	10.8319443503386
myTestGenes	GO_NON_MOTILE_CILIUM_ASSEMBLY	0.000653573719495857	4.71241379328147	8	718	0.596743314257752	0.011142061281337	1	0.596743314257752	AD	msigdbSetsPruned	2.20980126336499	10.0492492819439
myTestGenes	GO_VIRAL_GENE_EXPRESSION	0.000777057980588911	2.57798846273352	17	846	0.596743314257752	0.0200945626477541	1	0.596743314257752	AD	msigdbSetsPruned	1.55682075222499	4.26897220151306
myTestGenes	KEGG_RNA_POLYMERASE	0.000895242863224232	6.20900246943869	6	699	0.596743314257752	0.00858369098712446	1	0.596743314257752	AD	msigdbSetsPruned	2.53863572951508	15.1859958548916
myTestGenes	REACTOME_CIRCADIAN_CLOCK	0.00105098054571539	3.89041990781171	9	734	0.612984403288503	0.0122615803814714	1	0.612984403288503	AD	msigdbSetsPruned	1.92250026718416	7.87275160240475
myTestGenes	PID_IL5_PATHWAY	0.00144946844555195	10.3238065377732	4	684	0.637272143599309	0.00584795321637427	1	0.637272143599309	AD	msigdbSetsPruned	3.22952670037991	33.0020437412179
myTestGenes	REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	0.00171163351790001	6.79938073551705	5	693	0.637272143599309	0.00721500721500722	1	0.637272143599309	AD	msigdbSetsPruned	2.53112677470472	18.2652164437373
myTestGenes	GO_ORGAN_GROWTH	0.0017672474775801	2.53523162809408	15	828	0.637272143599309	0.0181159420289855	1	0.637272143599309	AD	msigdbSetsPruned	1.4835869119145	4.33233763150033
myTestGenes	GO_CELLULAR_RESPONSE_TO_HORMONE_STIMULUS	0.0018740646232041	1.69240342549736	41	1312	0.637272143599309	0.03125	1	0.637272143599309	AD	msigdbSetsPruned	1.22206898903159	2.34375422365058
myTestGenes	REACTOME_MICRORNA_MIRNA_BIOGENESIS	0.00207435783924864	6.45912497555565	5	694	0.637272143599309	0.00720461095100865	1	0.637272143599309	AD	msigdbSetsPruned	2.41682683196385	17.2624264585585
