Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	regulation.of.postsynaptic.membrane.potential	0.0195393838166787	3.0601458925889	6	831	1	0.0072202166064982	1	1	AD	syngoAll	1.29860583112162	7.21118961543586
myTestGenes	transmitter.gated.ion.channel.activity.involved.in.regulation.of.postsynaptic.membrane.potential	0.0241831119767441	3.32053114405359	5	821	1	0.00609013398294762	1	1	AD	syngoAll	1.29278611024352	8.52880997967474
myTestGenes	synapse	0.0363806486736542	1.32732077880107	52	1657	1	0.0313820156910078	1	1	AD	syngoAll	0.993781618454228	1.7728044241525
myTestGenes	process.in.the.postsynapse	0.0637325275576367	1.69996279201208	12	943	1	0.0127253446447508	1	1	AD	syngoAll	0.940747135956948	3.07189188653323
myTestGenes	neuronal.dense.core.vesicle	0.108721529270741	3.97464518057587	2	799	1	0.00250312891113892	1	1	AD	syngoAll	0.879480654844238	17.9626512811392
myTestGenes	integral.component.of.synaptic.vesicle.membrane	0.110704175918863	2.3035148902458	4	826	1	0.00484261501210654	1	1	AD	syngoAll	0.820094139537128	6.47020944763611
myTestGenes	synaptic.vesicle.membrane	0.126711493094712	1.82455655264192	6	860	1	0.00697674418604651	1	1	AD	syngoAll	0.790902049766801	4.20912629417277
myTestGenes	integral.component.of.postsynaptic.density.membrane	0.132382732338229	1.79951128789186	6	861	1	0.00696864111498258	1	1	AD	syngoAll	0.780386700880581	4.14953364991512
myTestGenes	synaptic.membrane	0.138314466428617	3.36265723115105	2	801	1	0.00249687890137328	1	1	AD	syngoAll	0.757515724853942	14.9270348894641
myTestGenes	voltage.gated.ion.channel.activity.involved.in.regulation.of.presynaptic.membrane.potential	0.153697015121939	3.12232047319268	2	802	1	0.00249376558603491	1	1	AD	syngoAll	0.708384603126698	13.7621358429984
myTestGenes	presynaptic.membrane	0.166792478842186	1.53668240942296	8	902	1	0.00886917960088692	1	1	AD	syngoAll	0.747647073039258	3.15843251794014
myTestGenes	synaptic.vesicle	0.171501497258452	1.57979804256833	7	885	1	0.00790960451977401	1	1	AD	syngoAll	0.73115967859457	3.41342928004465
myTestGenes	postsynaptic.membrane	0.171501497258452	1.57979804256833	7	885	1	0.00790960451977401	1	1	AD	syngoAll	0.73115967859457	3.41342928004465
myTestGenes	anchored.component.of.synaptic.vesicle.membrane	0.185328817970657	2.73177999866514	2	804	1	0.00248756218905473	1	1	AD	syngoAll	0.627015479811495	11.9018145506558
myTestGenes	integral.component.of.postsynaptic.membrane	0.195174725456987	1.58178749798156	6	871	1	0.0068886337543054	1	1	AD	syngoAll	0.688581009472031	3.63363446617443
myTestGenes	integral.component.of.presynaptic.membrane	0.20147702736162	1.50191945670095	7	890	1	0.00786516853932584	1	1	AD	syngoAll	0.695993082521395	3.24106964719372
myTestGenes	process.in.the.synapse	0.201553879230795	1.16950825210526	38	1502	1	0.0252996005326232	1	1	AD	syngoAll	0.837087146918625	1.63393925802957
myTestGenes	presynapse	0.204062751443214	1.21893390400533	24	1220	1	0.019672131147541	1	1	AD	syngoAll	0.802987512153339	1.85033993660656
myTestGenes	integral.component.of.postsynaptic.specialization.membrane	0.208205592143348	1.98739353535863	3	821	1	0.00365408038976857	1	1	AD	syngoAll	0.60819274228588	6.49421275489127
myTestGenes	postsynaptic.cytoskeleton.organization	0.217761650459268	2.4279930432031	2	806	1	0.00248138957816377	1	1	AD	syngoAll	0.562378021209618	10.4825402051858
myTestGenes	postsynaptic.density.membrane	0.244600528536076	1.4581692706736	6	878	1	0.00683371298405467	1	1	AD	syngoAll	0.636144770790732	3.34241153832616
