Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	GO_REGULATION_OF_CELL_MORPHOGENESIS	1.76429646745011e-06	4.621553213185	16	599	0.0082322073171222	0.0267111853088481	0.0082322073171222	0.0082322073171222	AD	msigdbSetsPruned	2.72891727521614	7.82682358907671
myTestGenes	GO_CELLULAR_COMPONENT_MORPHOGENESIS	3.6839964579982e-06	3.14857793495467	25	1215	0.00859476373650981	0.0205761316872428	0.0171895274730196	0.00859476373650981	AD	msigdbSetsPruned	2.04029128558266	4.85888612206286
myTestGenes	GO_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	2.67586535348172e-05	3.51294685038926	17	776	0.0416186257978191	0.0219072164948454	0.124855877393457	0.0416186257978191	AD	msigdbSetsPruned	2.1071950828875	5.85650359279938
myTestGenes	GO_CELLULAR_MACROMOLECULE_LOCALIZATION	9.02238075294554e-05	2.33027906539982	31	1943	0.0699705858656895	0.0159547092125579	0.420984285932439	0.0699705858656895	AD	msigdbSetsPruned	1.56480029899307	3.4702195073294
myTestGenes	GO_CYTOPLASMIC_TRANSLATION	9.40520951050894e-05	9.01623248037324	6	232	0.0699705858656895	0.0258620689655172	0.438847075760347	0.0699705858656895	AD	msigdbSetsPruned	3.87302420420696	20.9893984271609
myTestGenes	GO_REGULATION_OF_GTPASE_ACTIVITY	0.000108415674871118	3.75945784163098	13	589	0.0699705858656895	0.0220713073005093	0.505867538948638	0.0699705858656895	AD	msigdbSetsPruned	2.11198674693301	6.6920511142057
myTestGenes	REACTOME_RHO_GTPASE_CYCLE	0.000114950963474109	6.99023352379897	7	274	0.0699705858656895	0.0255474452554745	0.536361195570193	0.0699705858656895	AD	msigdbSetsPruned	3.20752798705579	15.2339636363064
myTestGenes	GO_CELL_PROJECTION_ORGANIZATION	0.000119966713871735	2.4628949495397	26	1549	0.0699705858656895	0.0167850225952227	0.559764686925516	0.0699705858656895	AD	msigdbSetsPruned	1.60810741186554	3.77204376256885
myTestGenes	GO_POSITIVE_REGULATION_OF_CELLULAR_AMIDE_METABOLIC_PROCESS	0.000158993017973192	6.61279117263709	7	281	0.0777720758660721	0.0249110320284698	0.741861421862914	0.0777720758660721	AD	msigdbSetsPruned	3.0375631907341	14.3960814465686
myTestGenes	GO_CALCIUM_ION_REGULATED_EXOCYTOSIS	0.000166678259464364	10.7460697784331	5	207	0.0777720758660721	0.0241545893719807	0.777720758660721	0.0777720758660721	AD	msigdbSetsPruned	4.24554811940211	27.19978962321
myTestGenes	PID_RAC1_REG_PATHWAY	0.000222562101781774	15.2317636075144	4	182	0.0920939272543769	0.021978021978022	1	0.0920939272543769	AD	msigdbSetsPruned	5.31882637781891	43.6198902003526
myTestGenes	GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	0.000268853729508466	5.20275936567272	8	341	0.0920939272543769	0.0234604105571848	1	0.0920939272543769	AD	msigdbSetsPruned	2.5164246491232	10.7568112665431
myTestGenes	REACTOME_SIGNALING_BY_RHO_GTPASES	0.000287622987541976	3.58698385596906	12	572	0.0920939272543769	0.020979020979021	1	0.0920939272543769	AD	msigdbSetsPruned	1.97302941657538	6.52116642301013
myTestGenes	GO_REGULATION_OF_ANATOMICAL_STRUCTURE_MORPHOGENESIS	0.000303525025139757	2.60043188974051	20	1146	0.0920939272543769	0.0174520069808028	1	0.0920939272543769	AD	msigdbSetsPruned	1.6170149132902	4.18193175437079
myTestGenes	PID_EPHB_FWD_PATHWAY	0.000304799383247943	13.9279377219642	4	185	0.0920939272543769	0.0216216216216216	1	0.0920939272543769	AD	msigdbSetsPruned	4.8874364588998	39.6910427006514
myTestGenes	REACTOME_ONCOGENIC_MAPK_SIGNALING	0.000315795721403779	9.27914010392718	5	216	0.0920939272543769	0.0231481481481481	1	0.0920939272543769	AD	msigdbSetsPruned	3.68422832821602	23.3705496504888
myTestGenes	GO_REGULATION_OF_VESICLE_MEDIATED_TRANSPORT	0.000358188417832317	3.3026466658501	13	648	0.0940755399689344	0.0200617283950617	1	0.0940755399689344	AD	msigdbSetsPruned	1.85702824424812	5.87361825714559
myTestGenes	GO_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION	0.000364253623407853	5.7306778479246	7	301	0.0940755399689344	0.0232558139534884	1	0.0940755399689344	AD	msigdbSetsPruned	2.63895723380672	12.4445626385998
