Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	synapse	0.00202789107022788	1.61717636352551	48	1482	0.2109006713037	0.0323886639676113	0.2109006713037	0.2109006713037	AD	syngoAll	1.19502632692191	2.18845336862315
myTestGenes	regulation.of.postsynaptic.density.assembly	0.0106425928756809	7.81316518475312	3	620	0.288896817025003	0.00483870967741936	1	0.288896817025003	AD	syngoAll	2.17410898217806	28.0784223351498
myTestGenes	synaptic.membrane	0.012973381582635	7.15980031913113	3	621	0.288896817025003	0.00483091787439614	1	0.288896817025003	AD	syngoAll	2.01519797889723	25.438066704435
myTestGenes	postsynapse.to.nucleus.signaling.pathway	0.0155720497403506	6.60944331890941	3	622	0.288896817025003	0.00482315112540193	1	0.288896817025003	AD	syngoAll	1.878520496585	23.2548652331938
myTestGenes	modulation.of.chemical.synaptic.transmission	0.0163968186850576	2.83348060636722	7	680	0.288896817025003	0.0102941176470588	1	0.288896817025003	AD	syngoAll	1.29796070634169	6.18555885970373
myTestGenes	synaptic.vesicle.endocytosis	0.0191352111486343	3.49917435662754	5	650	0.288896817025003	0.00769230769230769	1	0.288896817025003	AD	syngoAll	1.37787189992436	8.88632766133915
myTestGenes	postsynaptic.signaling.pathway	0.0215844495528622	5.72734562687635	3	624	0.288896817025003	0.00480769230769231	1	0.288896817025003	AD	syngoAll	1.65366814316699	19.8361975256285
myTestGenes	pathway	0.0250006860887022	5.36948860361971	3	625	0.288896817025003	0.0048	1	0.288896817025003	AD	syngoAll	1.56039000641162	18.4770523689169
myTestGenes	postsynaptic.density.assembly	0.0250006860887022	5.36948860361971	3	625	0.288896817025003	0.0048	1	0.288896817025003	AD	syngoAll	1.56039000641162	18.4770523689169
myTestGenes	postsynaptic.specialization	0.0278369693172257	1.76216418245837	16	871	0.289504480899147	0.0183696900114811	1	0.289504480899147	AD	syngoAll	1.05675816516387	2.93844202799007
myTestGenes	postsynapse	0.0406809747560488	1.47146237983448	27	1140	0.361550013126044	0.0236842105263158	1	0.361550013126044	AD	syngoAll	0.990893704782804	2.18509969819897
myTestGenes	chemical.synaptic.transmission	0.0434810626571395	2.02090576622612	9	737	0.361550013126044	0.0122116689280868	1	0.361550013126044	AD	syngoAll	1.02301118370867	3.9921949837931
myTestGenes	postsynaptic.density	0.047168469192056	1.7407338550005	13	824	0.361550013126044	0.0157766990291262	1	0.361550013126044	AD	syngoAll	0.988646420162252	3.06495253727577
myTestGenes	synaptic.vesicle.membrane	0.0486701940746598	2.3909081010864	6	681	0.361550013126044	0.00881057268722467	1	0.361550013126044	AD	syngoAll	1.03550031767252	5.52046334538007
myTestGenes	integral.component.of.synaptic.vesicle.membrane	0.0529104836825665	3.01592208061735	4	647	0.366846020199128	0.00618238021638331	1	0.366846020199128	AD	syngoAll	1.07297244907058	8.47718504257419
myTestGenes	synaptic.vesicle	0.0631010149602119	2.07096741812849	7	706	0.410156597241377	0.00991501416430595	1	0.410156597241377	AD	syngoAll	0.957574567069681	4.47892644024003
myTestGenes	regulation.of.synaptic.vesicle.cycle	0.0796408503307927	4.76584312124276	2	621	0.461589157754701	0.00322061191626409	1	0.461589157754701	AD	syngoAll	1.06429600643964	21.3411123586557
myTestGenes	postsynaptic.specialization.assembly	0.0798904311498522	3.18020722243112	3	636	0.461589157754701	0.00471698113207547	1	0.461589157754701	AD	syngoAll	0.962117601360956	10.511935301149
myTestGenes	trans.synaptic.signaling	0.0942649524730008	1.71082259669525	9	760	0.494487914158439	0.0118421052631579	1	0.494487914158439	AD	syngoAll	0.86896228168697	3.36828654021771
myTestGenes	presynapse	0.0962846894454302	1.39067816644653	21	1044	0.494487914158439	0.0201149425287356	1	0.494487914158439	AD	syngoAll	0.890680400749656	2.17135771821554
myTestGenes	synaptic.signaling	0.0998485211281463	1.68826300273437	9	762	0.494487914158439	0.0118110236220472	1	0.494487914158439	AD	syngoAll	0.857714325832418	3.3230551018668
myTestGenes	postsynaptic.density..intracellular.component	0.106862356277938	2.76929020039339	3	640	0.4948325581912	0.0046875	1	0.4948325581912	AD	syngoAll	0.844279907487628	9.08344276108126
myTestGenes	process.in.the.synapse	0.109434123446131	1.28278249887242	32	1329	0.4948325581912	0.0240782543265613	1	0.4948325581912	AD	syngoAll	0.891666107068496	1.84545641733914
myTestGenes	postsynaptic.membrane	0.141291421294161	1.7540119244809	6	707	0.612262825608032	0.00848656294200849	1	0.612262825608032	AD	syngoAll	0.766146706960479	4.01562494920428
myTestGenes	structural.constituent.of.postsynapse	0.169924158655029	2.85867924935718	2	629	0.706884500004922	0.00317965023847377	1	0.706884500004922	AD	syngoAll	0.66666568783426	12.2580885739795
myTestGenes	postsynaptic.process.involved.in.chemical.synaptic.transmission	0.18216669975986	2.72229093375602	2	630	0.707807462741908	0.00317460317460317	1	0.707807462741908	AD	syngoAll	0.636858540121939	11.6365997488096
myTestGenes	integral.component.of.postsynaptic.membrane	0.18375770667338	1.70384677166611	5	693	0.707807462741908	0.00721500721500722	1	0.707807462741908	AD	syngoAll	0.688664545965359	4.21554127960442
myTestGenes	integral.component.of.postsynaptic.density.membrane	0.279042129787507	1.52490754257348	4	684	0.864414741410474	0.00584795321637427	1	0.864414741410474	AD	syngoAll	0.555925050049197	4.18283546170784
myTestGenes	structural.constituent.of.synapse	0.282851782432055	1.97058909326584	2	638	0.864414741410474	0.00313479623824451	1	0.864414741410474	AD	syngoAll	0.469130395572629	8.27748832978165
myTestGenes	trans.synaptic.signaling.by.trans.synaptic.complex	0.291502011308855	3.17303471032101	1	618	0.864414741410474	0.00161812297734628	1	0.864414741410474	AD	syngoAll	0.401352568786791	25.0855483579835
myTestGenes	structural.constituent.of.postsynaptic.density	0.291502011308855	3.17303471032101	1	618	0.864414741410474	0.00161812297734628	1	0.864414741410474	AD	syngoAll	0.401352568786791	25.0855483579835
myTestGenes	synaptic.vesicle.cycle	0.299173121411186	1.30876141079188	7	762	0.864414741410474	0.00918635170603675	1	0.864414741410474	AD	syngoAll	0.610893393046421	2.8038548949371
myTestGenes	integral.component.of.presynaptic.membrane	0.309844962109917	1.37460475635415	5	713	0.864414741410474	0.00701262272089762	1	0.864414741410474	AD	syngoAll	0.558301549243248	3.38444025231998
myTestGenes	regulation.of.postsynaptic.cytosolic.calcium.levels	0.315508870214633	2.85562216378181	1	619	0.864414741410474	0.00161550888529887	1	0.864414741410474	AD	syngoAll	0.364960689719111	22.3437158356918
myTestGenes	synapse.adhesion.between.pre..and.post.synapse	0.33323806668566	1.73134283318742	2	642	0.864414741410474	0.00311526479750779	1	0.864414741410474	AD	syngoAll	0.41449063409144	7.23188356861197
myTestGenes	process.in.the.postsynapse	0.337295920009879	1.25099820937604	7	769	0.864414741410474	0.00910273081924577	1	0.864414741410474	AD	syngoAll	0.584352399176249	2.67817248986778
