Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	postsynaptic.cytosol	0.00240905652853278	8.24966780807393	4	493	0.192038002891447	0.00811359026369168	0.250541878967409	0.192038002891447	AD	syngoAll	2.78120304383136	24.4703525312617
myTestGenes	synaptic.membrane	0.006575921671877	9.26347811143274	3	487	0.192038002891447	0.00616016427104723	0.683895853875208	0.192038002891447	AD	syngoAll	2.60545156430215	32.9355678289025
myTestGenes	postsynaptic.actin.cytoskeleton	0.006575921671877	9.26347811143274	3	487	0.192038002891447	0.00616016427104723	0.683895853875208	0.192038002891447	AD	syngoAll	2.60545156430215	32.9355678289025
myTestGenes	postsynapse	0.0073860770342864	1.76926043476253	25	1008	0.192038002891447	0.0248015873015873	0.768152011565786	0.192038002891447	AD	syngoAll	1.1719796052309	2.67093597196122
myTestGenes	modification.of.postsynaptic.actin.cytoskeleton	0.0111219441973772	7.40852691055907	3	490	0.231336439305445	0.00612244897959184	1	0.231336439305445	AD	syngoAll	2.13753201481928	25.6774030068122
myTestGenes	postsynaptic.cytoskeleton	0.0149446504916829	6.53771600115179	3	492	0.259040608522504	0.00609756097560976	1	0.259040608522504	AD	syngoAll	1.90939790347078	22.384925862767
myTestGenes	synapse.organization	0.0218061038555702	1.95825452658089	13	723	0.3239764001399	0.0179806362378976	1	0.3239764001399	AD	syngoAll	1.11268788432241	3.44639394829917
myTestGenes	structural.constituent.of.postsynaptic.density	0.0272265550644452	9.24601115248259	2	483	0.350678870198888	0.0041407867494824	1	0.350678870198888	AD	syngoAll	1.95812411534836	43.6584798490281
myTestGenes	regulation.of.synapse.organization	0.0303472099210577	4.83121498918702	3	498	0.350678870198888	0.00602409638554217	1	0.350678870198888	AD	syngoAll	1.44554103315227	16.1466452604577
myTestGenes	modification.of.postsynaptic.structure	0.0402590877092115	4.27315901826028	3	501	0.380319596728845	0.00598802395209581	1	0.380319596728845	AD	syngoAll	1.28885177290672	14.167562460777
myTestGenes	postsynaptic.density	0.0403031865779493	1.8889560426329	11	692	0.380319596728845	0.0158959537572254	1	0.380319596728845	AD	syngoAll	1.02356522702385	3.48600639880492
myTestGenes	modification.of.synaptic.structure	0.0438830303917898	4.11446809052335	3	502	0.380319596728845	0.00597609561752988	1	0.380319596728845	AD	syngoAll	1.24382698165956	13.6102913970782
myTestGenes	presynaptic.active.zone.membrane	0.0481439606171744	3.08879166271477	4	523	0.385151684937395	0.00764818355640535	1	0.385151684937395	AD	syngoAll	1.10922980053511	8.60113380568547
myTestGenes	presynaptic.endocytic.zone	0.065455645616741	5.28234149933726	2	489	0.459108509635102	0.00408997955010225	1	0.459108509635102	AD	syngoAll	1.19714128456421	23.3081358695086
