Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM	0.000150248974279596	6.00889155885878	8	668	0.55747505883292	0.0119760479041916	0.701061713988596	0.55747505883292	AD	msigdbSetsPruned	2.78669278035456	12.9568562493388
myTestGenes	GO_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS	0.000614955267860067	1.69445435123852	51	1487	0.55747505883292	0.0342972427706792	1	0.55747505883292	AD	msigdbSetsPruned	1.26233558401914	2.27449466273432
myTestGenes	GO_APOPTOTIC_SIGNALING_PATHWAY	0.000680244815340781	1.87291526786135	36	1174	0.55747505883292	0.030664395229983	1	0.55747505883292	AD	msigdbSetsPruned	1.32366844667949	2.65006815671079
myTestGenes	PID_TNF_PATHWAY	0.000784032311530869	5.24799389151631	7	668	0.55747505883292	0.0104790419161677	1	0.55747505883292	AD	msigdbSetsPruned	2.33043389648267	11.8181596684467
myTestGenes	GO_REGULATION_OF_CATABOLIC_PROCESS	0.000950851524622268	1.65774700746947	51	1505	0.55747505883292	0.0338870431893688	1	0.55747505883292	AD	msigdbSetsPruned	1.23518272364208	2.2248733634088
myTestGenes	GO_REGULATION_OF_AXONOGENESIS	0.000978778711934442	2.70141887808073	15	786	0.55747505883292	0.0190839694656489	1	0.55747505883292	AD	msigdbSetsPruned	1.58047574035603	4.61738435365482
myTestGenes	GO_REGULATION_OF_RNA_POLYMERASE_II_TRANSCRIPTIONAL_PREINITIATION_COMPLEX_ASSEMBLY	0.00113469664036919	11.0566356307215	4	641	0.55747505883292	0.0062402496099844	1	0.55747505883292	AD	msigdbSetsPruned	3.45818842140042	35.3506450701243
myTestGenes	GO_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_INITIATION	0.00124091956024542	5.73289913187652	6	660	0.55747505883292	0.00909090909090909	1	0.55747505883292	AD	msigdbSetsPruned	2.37157123565095	13.8583787668725
myTestGenes	KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	0.00127787040226117	7.28333951319967	5	650	0.55747505883292	0.00769230769230769	1	0.55747505883292	AD	msigdbSetsPruned	2.71074425068915	19.5691771553327
myTestGenes	GO_CHONDROITIN_SULFATE_BIOSYNTHETIC_PROCESS	0.00127787040226117	7.28333951319967	5	650	0.55747505883292	0.00769230769230769	1	0.55747505883292	AD	msigdbSetsPruned	2.71074425068915	19.5691771553327
