Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	regulation.of.synaptic.vesicle.cycle	0.0255229829047961	5.5463576332572	3	856	1	0.00350467289719626	1	1	BD	syngoAll	1.54441267311627	19.9183052117279
myTestGenes	postsynaptic.cytoskeleton	0.0649797621174397	3.58783228619646	3	862	1	0.00348027842227378	1	1	BD	syngoAll	1.0493806570503	12.2667979702018
myTestGenes	postsynaptic.density..intracellular.component	0.0736089618659441	2.71208588761466	4	875	1	0.00457142857142857	1	1	BD	syngoAll	0.953261608603782	7.71604541231012
myTestGenes	modification.of.postsynaptic.structure	0.153673830046437	2.34464156838547	3	871	1	0.0034443168771527	1	1	BD	syngoAll	0.708235786564073	7.76202528662214
myTestGenes	postsynaptic.actin.cytoskeleton	0.154835421553375	3.12492692573916	2	858	1	0.00233100233100233	1	1	BD	syngoAll	0.704039392543966	13.8702015748355
myTestGenes	regulation.of.postsynapse.organization	0.159740148833103	1.98325683184526	4	886	1	0.00451467268623025	1	1	BD	syngoAll	0.708727957806394	5.54981303860935
myTestGenes	modification.of.synaptic.structure	0.165161289932607	2.25786079865959	3	872	1	0.00344036697247706	1	1	BD	syngoAll	0.683584434304525	7.45765282281529
myTestGenes	synapse.assembly	0.166703022971804	1.67168558211011	6	918	1	0.0065359477124183	1	1	BD	syngoAll	0.725097554014597	3.85400925704759
myTestGenes	voltage.gated.ion.channel.activity.involved.in.regulation.of.presynaptic.membrane.potential	0.171721557160857	2.90158524582759	2	859	1	0.00232828870779977	1	1	BD	syngoAll	0.658377895908584	12.7877879727198
myTestGenes	presynapse.assembly	0.171721557160857	2.90158524582759	2	859	1	0.00232828870779977	1	1	BD	syngoAll	0.658377895908584	12.7877879727198
myTestGenes	presynaptic.active.zone.cytoplasmic.component	0.206272182767486	2.53857919156542	2	861	1	0.00232288037166086	1	1	BD	syngoAll	0.582736081765641	11.0588386638476
myTestGenes	postsynaptic.density.assembly	0.223814901592503	2.38918832401767	2	862	1	0.00232018561484919	1	1	BD	syngoAll	0.551085515655962	10.3581398629717
myTestGenes	regulation.of.postsynaptic.membrane.neurotransmitter.receptor.levels	0.280228715542632	1.38553420430429	6	933	1	0.00643086816720257	1	1	BD	syngoAll	0.604224787143198	3.17713717170324
myTestGenes	postsynapse.organization	0.322005290027966	1.42523601962214	4	902	1	0.00443458980044346	1	1	BD	syngoAll	0.515908125692358	3.93732451665171
myTestGenes	synaptic.vesicle.cycle	0.338560243581676	1.21107315494851	9	996	1	0.00903614457831325	1	1	BD	syngoAll	0.615949734855384	2.38119785371982
myTestGenes	synapse.organization	0.344040315155402	1.1520767520672	14	1092	1	0.0128205128205128	1	1	BD	syngoAll	0.669387767213913	1.98282805223352
myTestGenes	regulation.of.presynaptic.cytosolic.calcium.levels	0.347136747199483	1.69170447081475	2	869	1	0.00230149597238205	1	1	BD	syngoAll	0.399140913010397	7.17005930309143
myTestGenes	regulation.of.postsynaptic.neurotransmitter.receptor.endocytosis	0.347136747199483	1.69170447081475	2	869	1	0.00230149597238205	1	1	BD	syngoAll	0.399140913010397	7.17005930309143
myTestGenes	presynaptic.cytosol	0.347136747199483	1.69170447081475	2	869	1	0.00230149597238205	1	1	BD	syngoAll	0.399140913010397	7.17005930309143
myTestGenes	trans.synaptic.signaling.by.trans.synaptic.complex	0.382088412786916	2.25487811827959	1	854	1	0.00117096018735363	1	1	BD	syngoAll	0.285337956716552	17.819134148167
myTestGenes	synapse	0.414360231484238	1.0442318411206	45	1721	1	0.0261475886112725	1	1	BD	syngoAll	0.767511062447704	1.42072237308557
myTestGenes	postsynaptic.specialization.assembly	0.414985802022408	1.44969831659579	2	873	1	0.00229095074455899	1	1	BD	syngoAll	0.344768116084325	6.09576440249087
myTestGenes	calcium.dependent.activation.of.synaptic.vesicle.fusion	0.438826302719458	1.844611155196	1	856	1	0.00116822429906542	1	1	BD	syngoAll	0.237865262241938	14.3046962040749
myTestGenes	transport	0.44757688954268	1.35290737717999	2	875	1	0.00228571428571429	1	1	BD	syngoAll	0.322776536954146	5.67066735550258
myTestGenes	postsynaptic.neurotransmitter.receptor.endocytosis	0.463485459032187	1.30920186655917	2	876	1	0.00228310502283105	1	1	BD	syngoAll	0.312800001269497	5.47957007815125
myTestGenes	axo.dendritic.transport	0.46521280175692	1.69088476834501	1	857	1	0.00116686114352392	1	1	BD	syngoAll	0.219599250336974	13.0195858839859
myTestGenes	synaptic.vesicle.priming	0.46521280175692	1.69088476834501	1	857	1	0.00116686114352392	1	1	BD	syngoAll	0.219599250336974	13.0195858839859
myTestGenes	neuronal.dense.core.vesicle	0.46521280175692	1.69088476834501	1	857	1	0.00116686114352392	1	1	BD	syngoAll	0.219599250336974	13.0195858839859
myTestGenes	protein.translation.at.synapse	0.469221652612123	1.19371219829327	3	896	1	0.00334821428571429	1	1	BD	syngoAll	0.371799918959531	3.83256891594228
myTestGenes	protein.translation.at.postsynapse	0.469221652612123	1.19371219829327	3	896	1	0.00334821428571429	1	1	BD	syngoAll	0.371799918959531	3.83256891594228
myTestGenes	trans.synaptic.signaling	0.48016221527562	1.06806162062658	8	997	1	0.00802407221664995	1	1	BD	syngoAll	0.522829370780656	2.18188894734847
