Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	regulation.of.presynaptic.cytosolic.calcium.levels	0.00197256678027495	6.50388049988247	5	660	0.205146945148595	0.00757575757575758	0.205146945148595	0.205146945148595	BD	syngoAll	2.44455262472966	17.3039684762072
myTestGenes	process.in.the.presynapse	0.0295413764160309	1.82745426781948	14	849	1	0.016489988221437	1	1	BD	syngoAll	1.05765728247498	3.15753425642452
myTestGenes	regulation.of.presynaptic.membrane.potential	0.044914830257288	3.20663505463871	4	673	1	0.00594353640416048	1	1	BD	syngoAll	1.13445829402174	9.06380466150548
myTestGenes	integral.component.of.presynaptic.active.zone.membrane	0.0567685995149636	2.94617685115027	4	676	1	0.00591715976331361	1	1	BD	syngoAll	1.04692704332643	8.29089103541988
myTestGenes	neurotransmitter.receptor.transport.to.plasma.membrane	0.0657344387896143	5.44117548877813	2	649	1	0.00308166409861325	1	1	BD	syngoAll	1.1897318070192	24.8849282880458
myTestGenes	neurotransmitter.receptor.transport	0.0759073088884497	4.94638806220707	2	650	1	0.00307692307692308	1	1	BD	syngoAll	1.09408691849049	22.3627158395252
myTestGenes	maintenance.of.synapse.structure	0.0865372599480952	4.53385143071734	2	651	1	0.00307219662058372	1	1	BD	syngoAll	1.01258873984962	20.3002541771009
myTestGenes	voltage.gated.ion.channel.activity.involved.in.regulation.of.presynaptic.membrane.potential	0.108990189686149	3.88618375033802	2	653	1	0.00306278713629403	1	1	BD	syngoAll	0.881348991931765	17.1355777105836
myTestGenes	presynaptic.active.zone.membrane	0.112718774883887	2.26975868106449	4	687	1	0.00582241630276565	1	1	BD	syngoAll	0.815941513877766	6.3139384167177
myTestGenes	modulation.of.chemical.synaptic.transmission	0.144046802401679	1.86582573682984	5	712	1	0.00702247191011236	1	1	BD	syngoAll	0.751400740232088	4.63308790345524
myTestGenes	ligand.gated.ion.channel.activity.involved.in.regulation.of.presynaptic.membrane.potential	0.157560696293996	3.02180632057054	2	657	1	0.0030441400304414	1	1	BD	syngoAll	0.699645600282617	13.0513411866687
myTestGenes	presynaptic.active.zone	0.160975800600377	1.79179750389925	5	715	1	0.00699300699300699	1	1	BD	syngoAll	0.722413278957325	4.44418505099105
myTestGenes	integral.component.of.synaptic.vesicle.membrane	0.186734151326688	2.0927921835745	3	678	1	0.00442477876106195	1	1	BD	syngoAll	0.645011105766599	6.79023831446305
myTestGenes	synaptic.vesicle.exocytosis	0.199757408043201	1.78466475279303	4	700	1	0.00571428571428571	1	1	BD	syngoAll	0.646950382230661	4.92314150720486
myTestGenes	integral.component.of.postsynaptic.membrane	0.209634505158039	1.62040484130244	5	723	1	0.00691562932226833	1	1	BD	syngoAll	0.655047475323214	4.00842984460144
myTestGenes	chemical.synaptic.transmission	0.215202556878344	1.46656494867203	7	769	1	0.00910273081924577	1	1	BD	syngoAll	0.68269793810279	3.15046029676094
myTestGenes	process.in.the.synapse	0.219834328434434	1.17551364782504	31	1360	1	0.0227941176470588	1	1	BD	syngoAll	0.813177661838231	1.69929942873642
myTestGenes	presynaptic.cytosol	0.235680167759017	2.26576467967556	2	663	1	0.00301659125188537	1	1	BD	syngoAll	0.534312585904636	9.60802668530353
