Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	synaptic.vesicle.exocytosis	0.0260775442169263	3.16934629748343	5	524	1	0.00954198473282443	1	1	BD	syngoAll	1.26680706788706	7.92919159357536
myTestGenes	synaptic.vesicle.priming	0.0429391506205443	6.88819133569892	2	475	1	0.00421052631578947	1	1	BD	syngoAll	1.52244096184911	31.1652018476761
myTestGenes	presynaptic.active.zone	0.0582575227231789	2.50009551754627	5	540	1	0.00925925925925926	1	1	BD	syngoAll	1.00670462195591	6.20884960745586
myTestGenes	synaptic.vesicle.cycle	0.120810245376001	1.73848861286769	7	617	1	0.0113452188006483	1	1	BD	syngoAll	0.810402508044931	3.72943398751558
myTestGenes	presynaptic.active.zone.membrane	0.150309142265487	2.31998433444911	3	513	1	0.00584795321637427	1	1	BD	syngoAll	0.720481661545	7.47045705583601
myTestGenes	presynaptic.membrane	0.207653451059382	1.62013711303033	5	581	1	0.00860585197934595	1	1	BD	syngoAll	0.658792128194626	3.98432851984958
myTestGenes	process.in.the.presynapse	0.22311476276779	1.40532478683674	8	680	1	0.0117647058823529	1	1	BD	syngoAll	0.689690550431606	2.86351285407902
myTestGenes	synapse.adhesion.between.pre..and.post.synapse	0.228108713753757	2.29368447173196	2	497	1	0.00402414486921529	1	1	BD	syngoAll	0.548736647239296	9.58745599065136
myTestGenes	trans.synaptic.signaling.by.trans.synaptic.complex	0.230084807163264	4.20137531652783	1	473	1	0.00211416490486258	1	1	BD	syngoAll	0.531171912570641	33.2313402357882
myTestGenes	integral.component.of.presynaptic.active.zone.membrane	0.285798792798537	1.94019228054023	2	503	1	0.00397614314115308	1	1	BD	syngoAll	0.46708944553751	8.05915466819425
myTestGenes	maintenance.of.synapse.structure	0.306570807891264	2.9081284174718	1	477	1	0.00209643605870021	1	1	BD	syngoAll	0.379625168936513	22.2777928981874
myTestGenes	modulation.of.chemical.synaptic.transmission	0.326746302396237	1.51350327184575	3	539	1	0.00556586270871985	1	1	BD	syngoAll	0.475546912899302	4.81696356711049
myTestGenes	synapse.assembly	0.333836481306824	1.49350757700681	3	540	1	0.00555555555555556	1	1	BD	syngoAll	0.469400835894569	4.75194058469415
myTestGenes	presynapse.assembly	0.341921211166634	2.52023070333038	1	479	1	0.00208768267223382	1	1	BD	syngoAll	0.332195580493319	19.1199497253303
myTestGenes	postsynapse.to.nucleus.signaling.pathway	0.341921211166634	2.52023070333038	1	479	1	0.00208768267223382	1	1	BD	syngoAll	0.332195580493319	19.1199497253303
myTestGenes	synaptic.cleft	0.341921211166634	2.52023070333038	1	479	1	0.00208768267223382	1	1	BD	syngoAll	0.332195580493319	19.1199497253303
myTestGenes	regulation.of.postsynaptic.neurotransmitter.receptor.activity	0.358916177383489	2.36252321716859	1	480	1	0.00208333333333333	1	1	BD	syngoAll	0.312641471782836	17.8527689235598
myTestGenes	postsynaptic.signaling.pathway	0.37547316801551	2.22353125245297	1	481	1	0.00207900207900208	1	1	BD	syngoAll	0.295278269124132	16.7438370771424
myTestGenes	presynaptic.active.zone.cytoplasmic.component	0.37547316801551	2.22353125245297	1	481	1	0.00207900207900208	1	1	BD	syngoAll	0.295278269124132	16.7438370771424
myTestGenes	anchored.component.of.synaptic.vesicle.membrane	0.37547316801551	2.22353125245297	1	481	1	0.00207900207900208	1	1	BD	syngoAll	0.295278269124132	16.7438370771424
myTestGenes	pathway	0.391603446336744	2.09981208267188	1	482	1	0.0020746887966805	1	1	BD	syngoAll	0.27971773064793	15.7630721953931
myTestGenes	ligand.gated.ion.channel.activity.involved.in.regulation.of.presynaptic.membrane.potential	0.407317986578303	1.98920903175743	1	483	1	0.0020703933747412	1	1	BD	syngoAll	0.265724030930888	14.8912108481995
myTestGenes	postsynaptic.cytosol	0.437542348753784	1.79953581456126	1	485	1	0.00206185567010309	1	1	BD	syngoAll	0.241540825698817	13.4069639719068
myTestGenes	postsynapse.organization	0.469360963334959	1.28106969301892	2	523	1	0.00382409177820268	1	1	BD	syngoAll	0.312061965698912	5.25901820395192
myTestGenes	postsynaptic.membrane	0.504979737614328	1.1222612106195	3	565	1	0.00530973451327434	1	1	BD	syngoAll	0.354636294748456	3.55144198016867
myTestGenes	integral.component.of.presynaptic.membrane	0.536604639587711	1.06899368940317	3	570	1	0.00526315789473684	1	1	BD	syngoAll	0.338066904289533	3.38024069639517
myTestGenes	postsynaptic.density..intracellular.component	0.589186754726947	1.14443622524557	1	497	1	0.00201207243460765	1	1	BD	syngoAll	0.156186802243509	8.38569107530826
myTestGenes	trans.synaptic.signaling	0.594925647279462	0.967838936091834	4	620	1	0.00645161290322581	1	1	BD	syngoAll	0.357191383265772	2.62243785852584
myTestGenes	synapse	0.595277026639943	0.965318722516161	23	1362	1	0.0168869309838473	1	1	BD	syngoAll	0.631377612055892	1.47588419077131
myTestGenes	synaptic.vesicle.membrane	0.601529101950412	0.993563808812917	2	540	1	0.0037037037037037	1	1	BD	syngoAll	0.243280529353539	4.05773961774089
