Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	synaptic.vesicle.priming	0.0189238093114924	10.8485470692792	2	309	1	0.00647249190938511	1	1	BD	syngoAll	2.39406892342071	49.1593923479056
myTestGenes	presynapse	0.0412604830020441	1.77526584920853	13	741	1	0.0175438596491228	1	1	BD	syngoAll	1.01019189497153	3.1197724422991
myTestGenes	presynaptic.cytosol	0.0685419175772899	4.97100329070759	2	322	1	0.0062111801242236	1	1	BD	syngoAll	1.16945061026176	21.1303269239345
myTestGenes	process.in.the.presynapse	0.0798959377451754	1.93627804581415	7	515	1	0.0135922330097087	1	1	BD	syngoAll	0.90414985969221	4.14662749820938
myTestGenes	synapse	0.0869823102765919	1.41385313508539	21	1198	1	0.0175292153589316	1	1	BD	syngoAll	0.902717931792303	2.21440232567653
myTestGenes	synaptic.vesicle	0.0945212721969427	2.39225719969734	4	398	1	0.0100502512562814	1	1	BD	syngoAll	0.874769362754243	6.5421752900502
myTestGenes	postsynaptic.density..intracellular.component	0.108684321637389	3.72709419585226	2	330	1	0.00606060606060606	1	1	BD	syngoAll	0.889082329372305	15.6242348833576
myTestGenes	synaptic.vesicle.cycle	0.127411886904121	1.92988891294674	5	453	1	0.011037527593819	1	1	BD	syngoAll	0.78619158103407	4.73735830574019
myTestGenes	neurotransmitter.reuptake	0.153921070254486	6.61083189169303	1	307	1	0.00325732899022801	1	1	BD	syngoAll	0.834859034050932	52.3478773274668
myTestGenes	presynaptic.endocytic.zone.membrane	0.181745940369258	5.40861109251141	1	309	1	0.00323624595469256	1	1	BD	syngoAll	0.696024329796067	42.0288094794166
myTestGenes	axo.dendritic.transport	0.19531445129071	4.95764286641516	1	310	1	0.0032258064516129	1	1	BD	syngoAll	0.642541914444466	38.2515478576479
myTestGenes	neuronal.dense.core.vesicle	0.19531445129071	4.95764286641516	1	310	1	0.0032258064516129	1	1	BD	syngoAll	0.642541914444466	38.2515478576479
myTestGenes	synaptic.vesicle.proton.loading	0.208658708025039	4.57634491557328	1	311	1	0.00321543408360129	1	1	BD	syngoAll	0.59671360388714	35.0971264101672
myTestGenes	protein.translation.at.synapse	0.225232001642533	2.29102076021025	2	350	1	0.00571428571428571	1	1	BD	syngoAll	0.555438744085896	9.4497839403559
myTestGenes	protein.translation.at.postsynapse	0.225232001642533	2.29102076021025	2	350	1	0.00571428571428571	1	1	BD	syngoAll	0.555438744085896	9.4497839403559
myTestGenes	postsynapse.to.nucleus.signaling.pathway	0.23468917467243	3.96572808757549	1	313	1	0.00319488817891374	1	1	BD	syngoAll	0.52213149766038	30.1207633231404
