Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	synapse	5.12122123268315e-05	1.86634635283409	54	1472	0.00532607008199047	0.0366847826086957	0.00532607008199047	0.00532607008199047	BD	syngoAll	1.39972230851789	2.48852839419656
myTestGenes	process.in.the.synapse	0.000932491945158968	1.75125016821642	42	1315	0.0304484507248149	0.0319391634980989	0.0969791622965327	0.0304484507248149	BD	syngoAll	1.26864086971201	2.41745100989396
myTestGenes	trans.synaptic.signaling	0.00103837832094281	2.79563561236779	14	751	0.0304484507248149	0.018641810918775	0.107991345378052	0.0304484507248149	BD	syngoAll	1.60574992100098	4.86724512635632
myTestGenes	synaptic.signaling	0.00117109425864673	2.75754371653942	14	753	0.0304484507248149	0.0185922974767596	0.12179380289926	0.0304484507248149	BD	syngoAll	1.58437884397234	4.79938707686935
myTestGenes	chemical.synaptic.transmission	0.00229391306302077	2.79279010589343	12	730	0.042385626322655	0.0164383561643836	0.23856695855416	0.042385626322655	BD	syngoAll	1.53583166557975	5.07847100068224
myTestGenes	postsynapse	0.00244532459553779	1.78908983819651	32	1131	0.042385626322655	0.0282935455349248	0.25431375793593	0.042385626322655	BD	syngoAll	1.24018036450414	2.5809491431658
myTestGenes	postsynaptic.cytoskeleton.organization	0.00399909682961501	7.21920392508404	4	621	0.0594151528971373	0.00644122383252818	0.415906070279961	0.0594151528971373	BD	syngoAll	2.40622136080372	21.659231424386
myTestGenes	modulation.of.chemical.synaptic.transmission	0.00464280516025863	3.31290586613606	8	675	0.0603564670833622	0.0118518518518519	0.482851736666898	0.0603564670833622	BD	syngoAll	1.58692470452663	6.91610965950183
myTestGenes	presynapse	0.00642631695299031	1.76980930190293	26	1035	0.0742596625678881	0.0251207729468599	0.668336963110993	0.0742596625678881	BD	syngoAll	1.1811156305104	2.6519206792214
myTestGenes	postsynapse.to.nucleus.signaling.pathway	0.0152999964071128	6.65487819357728	3	618	0.147905353933481	0.00485436893203883	1	0.147905353933481	BD	syngoAll	1.89140226409813	23.4151161876016
myTestGenes	synapse.organization	0.0156438355121951	1.89958325700348	16	850	0.147905353933481	0.0188235294117647	1	0.147905353933481	BD	syngoAll	1.13798728264879	3.17087598895565
myTestGenes	presynaptic.active.zone	0.0191814578880186	2.73682640167381	7	679	0.166239301696161	0.0103092783505155	1	0.166239301696161	BD	syngoAll	1.25541501834594	5.96632877848435
myTestGenes	postsynaptic.signaling.pathway	0.0212142562433155	5.76660976849783	3	620	0.167156012175254	0.00483870967741936	1	0.167156012175254	BD	syngoAll	1.66497676535359	19.972523889889
myTestGenes	postsynaptic.density	0.0225017708697458	1.89990399734718	14	819	0.167156012175254	0.0170940170940171	1	0.167156012175254	BD	syngoAll	1.09957693591737	3.28274910215743
myTestGenes	pathway	0.0245758737569691	5.40638617945572	3	621	0.170392724714985	0.00483091787439614	1	0.170392724714985	BD	syngoAll	1.57108581373744	18.6043380099508
myTestGenes	postsynaptic.density..intracellular.component	0.0264592306248227	3.84839327575851	4	635	0.171984999061347	0.0062992125984252	1	0.171984999061347	BD	syngoAll	1.35148142191628	10.9584420212776
myTestGenes	ligand.gated.ion.channel.activity.involved.in.regulation.of.presynaptic.membrane.potential	0.0282070696853258	5.08868798737028	3	622	0.172560896898464	0.00482315112540193	1	0.172560896898464	BD	syngoAll	1.48725726937591	17.4110733670662
myTestGenes	trans.synaptic.signaling.by.trans.synaptic.complex	0.0425145806349755	7.19864964548821	2	613	0.235698944664618	0.0032626427406199	1	0.235698944664618	BD	syngoAll	1.52539250284787	33.9719492666575
myTestGenes	postsynaptic.density.membrane	0.0430603841214205	2.27389428885562	7	694	0.235698944664618	0.0100864553314121	1	0.235698944664618	BD	syngoAll	1.04895537705779	4.9292804536578
myTestGenes	postsynaptic.specialization	0.0495932196129528	1.65440741809964	15	868	0.257884741987355	0.0172811059907834	1	0.257884741987355	BD	syngoAll	0.976977617530312	2.80156254959258
